task,cycle,task_1,task_2,task_3,task_4,average_accuracy,learning_accuracy
0,0,81.54,0.0,0.0,0.0,81.54,81.54
0,1,94.57,0.0,0.0,0.0,94.57,94.57
0,2,95.87,0.0,0.0,0.0,95.87,95.87
1,0,78.2,79.08,0.0,0.0,78.64,79.08
1,1,81.94,88.78,0.0,0.0,85.36,88.78
1,2,79.56,92.46,0.0,0.0,86.01,92.46
2,0,72.02,85.3,80.35,0.0,79.22,80.35
2,1,74.53,71.11,90.35,0.0,78.66,90.35
2,2,71.95,74.2,91.44,0.0,79.2,91.44
3,0,68.61,65.99,80.55,77.62,73.19,77.62
3,1,70.0,69.73,80.64,85.1,76.37,85.1
3,2,73.23,65.72,75.28,93.82,77.01,93.82
