task,cycle,task_1,task_2,task_3,task_4,average_accuracy,learning_accuracy
0,0,86.73,0.0,0.0,0.0,86.73,86.73
0,1,91.38,0.0,0.0,0.0,91.38,91.38
0,2,93.18,0.0,0.0,0.0,93.18,93.18
1,0,81.51,87.61,0.0,0.0,84.56,87.61
1,1,79.27,91.93,0.0,0.0,85.6,91.93
1,2,69.37,96.04,0.0,0.0,82.71,96.04
2,0,66.2,71.26,86.83,0.0,74.76,86.83
2,1,64.95,76.34,91.88,0.0,77.72,91.88
2,2,60.32,70.1,93.05,0.0,74.49,93.05
3,0,55.83,60.19,58.69,82.45,64.29,82.45
3,1,54.13,63.05,57.73,91.49,66.6,91.49
3,2,57.25,59.25,53.81,92.39,65.68,92.39
