task,cycle,task_1,task_2,task_3,task_4,average_accuracy,learning_accuracy
0,0,86.73,0.0,0.0,0.0,86.73,86.73
0,1,91.38,0.0,0.0,0.0,91.38,91.38
0,2,93.18,0.0,0.0,0.0,93.18,93.18
1,0,77.06,88.59,0.0,0.0,82.82,88.59
1,1,85.22,90.64,0.0,0.0,87.93,90.64
1,2,83.08,96.04,0.0,0.0,89.56,96.04
2,0,65.01,79.29,77.36,0.0,73.89,77.36
2,1,76.35,86.01,89.55,0.0,83.97,89.55
2,2,72.52,85.04,91.46,0.0,83.01,91.46
3,0,72.53,75.84,81.56,86.21,79.04,86.21
3,1,72.37,81.13,80.38,91.21,81.27,91.21
3,2,72.72,79.57,80.42,91.62,81.08,91.62
