task_1,task_2,task_3,task_4,task,cycle,average_accuracy,learning_accuracy
84.11,0.0,0.0,0.0,0,0,84.11,84.11
91.79,0.0,0.0,0.0,0,1,91.79,91.79
93.12,0.0,0.0,0.0,0,2,93.12,93.12
94.89,0.0,0.0,0.0,0,3,94.89,94.89
94.73,0.0,0.0,0.0,0,4,94.73,94.73
81.75,81.28,0.0,0.0,1,0,81.52,81.28
78.85,87.28,0.0,0.0,1,1,83.06,87.28
74.6,89.05,0.0,0.0,1,2,81.82,89.05
72.81,92.63,0.0,0.0,1,3,82.72,92.63
74.3,93.06,0.0,0.0,1,4,83.68,93.06
71.48,77.08,76.13,0.0,2,0,74.9,76.13
74.08,77.44,86.61,0.0,2,1,79.38,86.61
72.9,76.37,90.63,0.0,2,2,79.97,90.63
72.93,74.11,93.2,0.0,2,3,80.08,93.2
76.09,73.86,93.25,0.0,2,4,81.07,93.25
71.6,65.37,74.84,74.39,3,0,71.55,74.39
68.62,69.78,80.34,85.28,3,1,76.0,85.28
71.51,72.36,74.98,90.81,3,2,77.42,90.81
74.68,73.53,75.47,91.87,3,3,78.89,91.87
72.7,73.65,73.64,93.37,3,4,78.34,93.37
