task,cycle,task_1,task_2,task_3,task_4,average_accuracy,learning_accuracy
0,0,86.73,0.0,0.0,0.0,86.73,86.73
0,1,91.38,0.0,0.0,0.0,91.38,91.38
0,2,93.59,0.0,0.0,0.0,93.59,93.59
1,0,80.83,86.79,0.0,0.0,83.81,86.79
1,1,77.83,89.4,0.0,0.0,83.62,89.4
1,2,78.21,92.9,0.0,0.0,85.56,92.9
2,0,65.71,60.04,79.1,0.0,68.28,79.1
2,1,64.71,75.16,90.72,0.0,76.86,90.72
2,2,64.98,69.24,92.22,0.0,75.48,92.22
3,0,59.4,48.39,60.36,82.73,62.72,82.73
3,1,63.59,52.34,63.35,89.98,67.32,89.98
3,2,58.86,49.57,46.76,93.85,62.26,93.85
