task,cycle,task_1,task_2,task_3,task_4,average_accuracy,learning_accuracy
0,0,86.73,0.0,0.0,0.0,86.73,86.73
0,1,91.38,0.0,0.0,0.0,91.38,91.38
0,2,93.59,0.0,0.0,0.0,93.59,93.59
1,0,73.09,89.5,0.0,0.0,81.3,89.5
1,1,77.88,94.06,0.0,0.0,85.97,94.06
1,2,79.65,94.42,0.0,0.0,87.04,94.42
2,0,72.81,89.74,82.65,0.0,81.73,82.65
2,1,76.18,87.43,89.65,0.0,84.42,89.65
2,2,78.95,82.06,91.51,0.0,84.17,91.51
3,0,73.42,76.75,75.81,79.7,76.42,79.7
3,1,73.55,75.46,76.19,90.88,79.02,90.88
3,2,76.0,80.53,73.08,94.51,81.03,94.51
