task_1,task_2,task_3,task_4,task,cycle,average_accuracy,learning_accuracy
84.11,0.0,0.0,0.0,0,0,84.11,84.11
86.45,0.0,0.0,0.0,0,1,86.45,86.45
87.08,0.0,0.0,0.0,0,2,87.08,87.08
88.96,0.0,0.0,0.0,0,3,88.96,88.96
90.72,0.0,0.0,0.0,0,4,90.72,90.72
78.34,79.11,0.0,0.0,1,0,78.72,79.11
81.07,84.4,0.0,0.0,1,1,82.74,84.4
81.62,90.26,0.0,0.0,1,2,85.94,90.26
80.71,91.25,0.0,0.0,1,3,85.98,91.25
80.5,92.04,0.0,0.0,1,4,86.27,92.04
77.87,71.3,70.97,0.0,2,0,73.38,70.97
80.24,75.06,82.3,0.0,2,1,79.2,82.3
80.2,75.06,83.83,0.0,2,2,79.7,83.83
80.38,74.9,84.21,0.0,2,3,79.83,84.21
81.42,78.52,86.0,0.0,2,4,81.98,86.0
71.18,74.73,66.99,74.4,3,0,71.83,74.4
68.27,70.39,70.6,81.88,3,1,72.78,81.88
67.54,70.97,71.41,86.68,3,2,74.15,86.68
68.94,71.99,71.58,90.06,3,3,75.64,90.06
69.23,72.06,69.56,90.11,3,4,75.24,90.11
