task_1,task_2,task_3,task_4,task,cycle,average_learning_accuracy,average_accuracy,average_forgetting
60.105,0.0,0.0,0.0,0,0,15.02625,60.105,0.0
78.80499999999999,0.0,0.0,0.0,0,1,19.701249999999998,78.80499999999999,-18.699999999999996
79.44500000000001,0.0,0.0,0.0,0,2,19.861250000000002,79.44500000000001,-0.6400000000000148
87.68833333333333,0.0,0.0,0.0,0,3,21.922083333333333,87.68833333333333,-8.243333333333325
88.42166666666667,0.0,0.0,0.0,0,4,22.105416666666667,88.42166666666667,-0.7333333333333343
78.10166666666667,64.79,0.0,0.0,1,0,35.72291666666667,71.44583333333334,10.319999999999993
80.19500000000001,80.33,0.0,0.0,1,1,40.13125,80.2625,-3.6566666666666663
81.60833333333333,83.87333333333333,0.0,0.0,1,2,41.37041666666667,82.74083333333334,1.634999999999998
81.30499999999999,84.80499999999999,0.0,0.0,1,3,41.527499999999996,83.05499999999999,3.0925000000000082
81.07833333333333,85.68333333333334,0.0,0.0,1,4,41.690416666666664,83.38083333333333,3.2324999999999946
74.73666666666666,69.67999999999999,62.455000000000005,0.0,2,0,51.71791666666667,68.95722222222223,14.844166666666673
70.67833333333333,69.025,75.52499999999999,0.0,2,1,53.807083333333324,71.74277777777776,7.110555555555561
71.40666666666667,72.12833333333334,76.93833333333333,0.0,2,2,55.11833333333334,73.49111111111112,9.718888888888884
71.69833333333334,72.02166666666666,79.40833333333335,0.0,2,3,55.78208333333333,74.37611111111111,9.304999999999998
70.94166666666666,72.14666666666666,80.58833333333332,0.0,2,4,55.919166666666655,74.55888888888887,9.945555555555567
68.375,63.43,67.56333333333333,51.275,3,0,62.660833333333336,62.660833333333336,18.441666666666666
63.30833333333334,66.33166666666666,70.05166666666666,71.83833333333332,3,1,67.8825,67.8825,8.609583333333335
63.464,63.908,71.24,73.372,3,2,67.996,67.996,13.636916666666664
62.746,64.336,72.434,73.862,3,3,68.3445,68.3445,13.671833333333334
64.412,65.566,72.534,76.256,3,4,69.69200000000001,69.69200000000001,12.446833333333327
