task_1,task_2,task_3,task_4,task,cycle,average_learning_accuracy,average_accuracy,average_forgetting
60.842,0.0,0.0,0.0,0,0,15.2105,60.842,0.0
69.88,0.0,0.0,0.0,0,1,17.47,69.88,-9.037999999999997
69.788,0.0,0.0,0.0,0,2,17.447,69.788,0.09199999999999875
80.466,0.0,0.0,0.0,0,3,20.1165,80.466,-10.585999999999999
80.916,0.0,0.0,0.0,0,4,20.229,80.916,-0.45000000000000284
79.636,55.604,0.0,0.0,1,0,33.81,67.62,1.2800000000000011
82.52000000000001,82.97200000000001,0.0,0.0,1,1,41.373000000000005,82.74600000000001,-14.486000000000011
87.726,86.894,0.0,0.0,1,2,43.655,87.31,-4.563999999999993
87.92999999999999,88.016,0.0,0.0,1,3,43.9865,87.973,-0.6629999999999967
87.024,89.88199999999999,0.0,0.0,1,4,44.2265,88.453,-0.4799999999999969
77.654,76.284,50.146,0.0,2,0,51.021,68.028,11.93699999999999
74.026,74.77799999999999,68.512,0.0,2,1,54.32899999999999,72.43866666666666,3.547333333333332
74.35799999999999,75.838,77.19800000000001,0.0,2,2,56.848499999999994,75.79799999999999,6.309999999999998
75.098,76.49600000000001,77.94,0.0,2,3,57.3835,76.51133333333333,8.491999999999996
73.47200000000001,76.418,78.36800000000001,0.0,2,4,57.06450000000001,76.08600000000001,9.164666666666653
67.54400000000001,75.02799999999999,71.084,35.256,3,0,62.228,62.228,14.174666666666662
70.244,69.256,66.324,71.272,3,1,69.274,69.274,3.5849999999999973
71.67999999999999,69.054,68.78399999999999,72.446,3,2,70.49099999999999,70.49099999999999,11.372000000000003
69.058,68.314,68.548,74.24,3,3,70.04,70.04,12.116499999999998
67.61800000000001,68.374,68.15,76.22999999999999,3,4,70.093,70.093,12.511999999999997
