task_1,task_2,task_3,task_4,task,cycle,average_learning_accuracy,average_accuracy,average_forgetting
60.842,0.0,0.0,0.0,0,0,15.2105,60.842,0.0
69.88,0.0,0.0,0.0,0,1,17.47,69.88,-9.037999999999997
69.788,0.0,0.0,0.0,0,2,17.447,69.788,0.09199999999999875
80.466,0.0,0.0,0.0,0,3,20.1165,80.466,-10.585999999999999
80.916,0.0,0.0,0.0,0,4,20.229,80.916,-0.45000000000000284
76.79400000000001,70.22999999999999,0.0,0.0,1,0,36.756,73.512,4.121999999999986
77.364,80.44399999999999,0.0,0.0,1,1,39.452,78.904,-3.331000000000003
82.684,83.162,0.0,0.0,1,2,41.4615,82.923,-2.243000000000009
81.10799999999999,83.588,0.0,0.0,1,3,41.17399999999999,82.34799999999998,0.57500000000001
82.56,86.282,0.0,0.0,1,4,42.210499999999996,84.42099999999999,-1.2850000000000037
72.02000000000001,75.02000000000001,65.17999999999999,0.0,2,0,53.05500000000001,70.74000000000001,10.962999999999987
71.656,71.534,76.774,0.0,2,1,54.991,73.32133333333333,4.727333333333324
70.782,71.07000000000001,78.872,0.0,2,2,55.181,73.57466666666666,8.338666666666663
71.464,72.12,79.05,0.0,2,3,55.658500000000004,74.21133333333334,8.401333333333332
72.412,73.05999999999999,80.026,0.0,2,4,56.3745,75.166,7.506
65.336,67.45599999999999,66.28999999999999,58.062,3,0,64.28599999999999,64.28599999999999,16.63666666666667
61.536,68.26,71.038,75.248,3,1,69.0205,69.0205,7.742999999999995
61.263999999999996,68.24,71.49,75.91600000000001,3,2,69.22749999999999,69.22749999999999,11.8325
59.782000000000004,65.462,72.434,78.44,3,3,69.0295,69.0295,12.1975
60.022000000000006,65.72,75.314,80.58,3,4,70.40899999999999,70.40899999999999,11.448999999999998
