task,cycle,task_1,task_2,task_3,task_4,average_accuracy,learning_accuracy
0,0,86.73,0.0,0.0,0.0,86.73,86.73
0,1,93.65,0.0,0.0,0.0,93.65,93.65
0,2,94.93,0.0,0.0,0.0,94.93,94.93
1,0,77.08,83.97,0.0,0.0,80.53,83.97
1,1,72.07,94.86,0.0,0.0,83.46,94.86
1,2,71.32,96.06,0.0,0.0,83.69,96.06
2,0,81.75,88.02,85.71,0.0,85.16,85.71
2,1,76.96,86.14,91.14,0.0,84.75,91.14
2,2,76.56,80.14,94.16,0.0,83.62,94.16
3,0,76.4,79.75,84.37,82.6,80.78,82.6
3,1,75.15,69.74,83.82,90.74,79.86,90.74
3,2,78.4,73.93,83.78,95.43,82.88,95.43
