task,cycle,task_1,task_2,task_3,task_4,average_accuracy,learning_accuracy
0,0,81.54,0.0,0.0,0.0,81.54,81.54
0,1,92.38,0.0,0.0,0.0,92.38,92.38
0,2,94.08,0.0,0.0,0.0,94.08,94.08
1,0,77.0,86.16,0.0,0.0,81.58,86.16
1,1,73.45,91.59,0.0,0.0,82.52,91.59
1,2,73.8,92.75,0.0,0.0,83.28,92.75
2,0,65.18,71.27,75.51,0.0,70.65,75.51
2,1,62.62,68.84,84.27,0.0,71.91,84.27
2,2,65.89,65.22,90.73,0.0,73.95,90.73
3,0,52.1,47.66,55.71,75.12,57.65,75.12
3,1,44.87,45.38,53.46,85.03,57.18,85.03
3,2,50.72,47.43,53.87,91.83,60.96,91.83
