task,cycle,task_1,task_2,task_3,task_4,average_accuracy,learning_accuracy
0,0,81.54,0.0,0.0,0.0,81.54,81.54
0,1,92.38,0.0,0.0,0.0,92.38,92.38
0,2,94.08,0.0,0.0,0.0,94.08,94.08
1,0,75.54,87.11,0.0,0.0,81.32,87.11
1,1,75.41,90.23,0.0,0.0,82.82,90.23
1,2,79.22,93.36,0.0,0.0,86.29,93.36
2,0,73.99,77.91,80.29,0.0,77.4,80.29
2,1,74.01,86.12,88.98,0.0,83.04,88.98
2,2,68.53,82.5,92.45,0.0,81.16,92.45
3,0,68.05,72.88,66.22,75.07,70.56,75.07
3,1,67.63,75.82,79.58,86.06,77.27,86.06
3,2,67.26,73.39,73.65,87.55,75.46,87.55
