task,cycle,task_1,task_2,task_3,task_4,average_accuracy,learning_accuracy
0,0,81.54,0.0,0.0,0.0,81.54,81.54
0,1,92.38,0.0,0.0,0.0,92.38,92.38
0,2,94.08,0.0,0.0,0.0,94.08,94.08
1,0,77.0,86.16,0.0,0.0,81.58,86.16
1,1,76.04,91.94,0.0,0.0,83.99,91.94
1,2,73.36,92.37,0.0,0.0,82.86,92.37
2,0,64.45,69.04,81.04,0.0,71.51,81.04
2,1,67.82,71.69,88.01,0.0,75.84,88.01
2,2,68.79,63.21,91.09,0.0,74.36,91.09
3,0,55.42,52.95,61.88,76.73,61.74,76.73
3,1,56.49,50.91,62.05,87.01,64.11,87.01
3,2,52.07,50.15,55.32,92.57,62.53,92.57
