task,cycle,task_1,task_2,task_3,task_4,average_accuracy,learning_accuracy
0,0,81.54,0.0,0.0,0.0,81.54,81.54
0,1,92.38,0.0,0.0,0.0,92.38,92.38
0,2,94.08,0.0,0.0,0.0,94.08,94.08
1,0,75.54,87.11,0.0,0.0,81.32,87.11
1,1,81.23,93.14,0.0,0.0,87.18,93.14
1,2,77.24,93.89,0.0,0.0,85.56,93.89
2,0,75.61,88.92,77.8,0.0,80.78,77.8
2,1,77.69,85.08,85.12,0.0,82.63,85.12
2,2,75.2,79.25,93.75,0.0,82.73,93.75
3,0,70.22,75.35,86.47,75.93,76.99,75.93
3,1,66.31,69.21,76.83,90.79,75.78,90.79
3,2,67.39,67.49,77.59,94.67,76.78,94.67
