task,cycle,task_1,task_2,task_3,task_4,average_accuracy,learning_accuracy
0,0,81.54,0.0,0.0,0.0,81.54,81.54
0,1,92.38,0.0,0.0,0.0,92.38,92.38
0,2,94.08,0.0,0.0,0.0,94.08,94.08
1,0,77.0,86.16,0.0,0.0,81.58,86.16
1,1,74.05,93.55,0.0,0.0,83.8,93.55
1,2,72.87,94.82,0.0,0.0,83.84,94.82
2,0,62.73,67.0,80.43,0.0,70.05,80.43
2,1,62.89,61.41,91.85,0.0,72.05,91.85
2,2,58.94,58.87,93.35,0.0,70.39,93.35
3,0,49.52,48.71,62.64,75.88,59.19,75.88
3,1,47.56,44.56,59.67,88.54,60.08,88.54
3,2,50.01,43.52,55.85,96.24,61.4,96.24
