task,cycle,task_1,task_2,task_3,task_4,average_accuracy,learning_accuracy
0,0,81.54,0.0,0.0,0.0,81.54,81.54
0,1,92.38,0.0,0.0,0.0,92.38,92.38
0,2,94.08,0.0,0.0,0.0,94.08,94.08
1,0,75.54,87.11,0.0,0.0,81.32,87.11
1,1,80.5,90.66,0.0,0.0,85.58,90.66
1,2,75.86,93.17,0.0,0.0,84.52,93.17
2,0,73.43,84.15,82.07,0.0,79.88,82.07
2,1,67.76,80.14,89.94,0.0,79.28,89.94
2,2,73.57,79.81,91.15,0.0,81.51,91.15
3,0,73.32,67.3,74.35,73.01,72.0,73.01
3,1,70.92,62.74,80.11,85.64,74.85,85.64
3,2,71.91,71.89,81.06,88.94,78.45,88.94
