task_1,task_2,task_3,task_4,task,cycle,average_learning_accuracy,average_accuracy,average_forgetting
66.31,0.0,0.0,0.0,0,0,16.5775,66.31,0.0
77.99199999999999,0.0,0.0,0.0,0,1,19.497999999999998,77.99199999999999,-11.681999999999988
78.562,0.0,0.0,0.0,0,2,19.6405,78.562,-0.5700000000000074
78.792,0.0,0.0,0.0,0,3,19.698,78.792,-0.23000000000000398
81.06,0.0,0.0,0.0,0,4,20.265,81.06,-2.2680000000000007
69.938,68.38,0.0,0.0,1,0,34.579499999999996,69.15899999999999,11.122
75.49600000000001,77.828,0.0,0.0,1,1,38.331,76.662,-1.9420000000000073
78.32000000000001,82.884,0.0,0.0,1,2,40.301,80.602,-1.1580000000000013
80.95,86.118,0.0,0.0,1,3,41.766999999999996,83.53399999999999,-1.5619999999999976
81.36800000000001,87.2,0.0,0.0,1,4,42.142,84.284,-0.6950000000000074
68.292,71.424,64.228,0.0,2,0,50.986000000000004,67.98133333333334,14.426000000000002
62.54600000000001,73.072,74.598,0.0,2,1,52.554,70.072,7.526666666666666
60.028,75.464,82.52000000000001,0.0,2,2,54.503,72.67066666666666,8.384666666666668
57.676,77.934,86.58200000000001,0.0,2,3,55.548,74.06400000000001,9.632000000000005
59.336,77.402,86.21000000000001,0.0,2,4,55.737,74.316,10.734000000000004
56.088,69.74199999999999,76.32000000000001,62.217999999999996,3,0,66.092,66.092,17.666666666666675
56.41600000000001,67.032,76.708,73.85,3,1,68.5015,68.5015,10.840500000000004
57.251999999999995,65.608,76.84,75.666,3,2,68.8415,68.8415,13.408500000000004
55.572,64.044,76.62199999999999,81.856,3,3,69.5235,69.5235,13.18050000000001
51.898,59.946000000000005,78.376,84.16,3,4,68.595,68.595,15.656500000000001
