task_1,task_2,task_3,task_4,task,cycle,average_accuracy,learning_accuracy
82.14,0.0,0.0,0.0,0,0,82.14,82.14
83.06,0.0,0.0,0.0,0,1,83.06,83.06
85.08,0.0,0.0,0.0,0,2,85.08,85.08
96.13,89.64,0.0,0.0,1,0,92.88,89.64
98.16,95.71,0.0,0.0,1,1,96.94,95.71
99.08,95.38,0.0,0.0,1,2,97.23,95.38
95.4,95.26,81.78,0.0,2,0,90.81,81.78
93.74,94.49,89.37,0.0,2,1,92.53,89.37
87.11,88.46,90.23,0.0,2,2,88.6,90.23
95.4,94.23,92.84,77.29,3,0,89.94,77.29
90.79,91.23,92.83,90.24,3,1,91.27,90.24
89.32,88.79,91.4,90.09,3,2,89.9,90.09
