task_1,task_2,task_3,task_4,task,cycle
56.05,0.0,0.0,0.0,0,0
90.905,0.0,0.0,0.0,0,1
90.72,0.0,0.0,0.0,0,2
86.945,0.0,0.0,0.0,0,3
89.975,0.0,0.0,0.0,0,4
81.13,60.68,0.0,0.0,1,0
87.535,82.375,0.0,0.0,1,1
86.035,84.22,0.0,0.0,1,2
92.62,86.66,0.0,0.0,1,3
92.99000000000001,88.06,0.0,0.0,1,4
86.095,77.03999999999999,65.33,0.0,2,0
83.89,85.015,75.755,0.0,2,1
81.955,79.125,75.025,0.0,2,2
84.55,83.785,76.715,0.0,2,3
85.285,84.795,78.91999999999999,0.0,2,4
76.88499999999999,75.00999999999999,74.53,54.055,3,0
78.82,74.015,73.405,71.00999999999999,3,1
81.32,72.675,75.89,76.99000000000001,3,2
76.61500000000001,67.015,77.82,80.64500000000001,3,3
71.43,61.010000000000005,77.99000000000001,86.08,3,4
