task_1,task_2,task_3,task_4,task,cycle,average_accuracy,learning_accuracy
82.14,0.0,0.0,0.0,0,0,82.14,82.14
83.06,0.0,0.0,0.0,0,1,83.06,83.06
85.08,0.0,0.0,0.0,0,2,85.08,85.08
96.5,90.97,0.0,0.0,1,0,93.74,90.97
97.42,93.23,0.0,0.0,1,1,95.32,93.23
97.98,94.04,0.0,0.0,1,2,96.01,94.04
95.4,95.97,87.56,0.0,2,0,92.98,87.56
96.13,97.11,94.91,0.0,2,1,96.05,94.91
94.29,95.19,95.25,0.0,2,2,94.91,95.25
93.56,93.3,96.0,78.6,3,0,90.36,78.6
92.27,92.34,94.68,89.68,3,1,92.24,89.68
92.08,91.31,95.02,90.77,3,2,92.29,90.77
