task_1,task_2,task_3,task_4,task,cycle,average_accuracy,learning_accuracy
63.17,0.0,0.0,0.0,0,0,63.17,63.17
76.48,0.0,0.0,0.0,0,1,76.48,76.48
84.59,0.0,0.0,0.0,0,2,84.59,84.59
88.9,0.0,0.0,0.0,0,3,88.9,88.9
90.66,0.0,0.0,0.0,0,4,90.66,90.66
65.55,76.71,0.0,0.0,1,0,71.13,76.71
68.62,89.65,0.0,0.0,1,1,79.14,89.65
66.07,91.53,0.0,0.0,1,2,78.8,91.53
64.85,94.42,0.0,0.0,1,3,79.63,94.42
66.79,94.97,0.0,0.0,1,4,80.88,94.97
64.96,77.12,69.32,0.0,2,0,70.47,69.32
68.98,67.83,87.48,0.0,2,1,74.76,87.48
70.45,72.87,90.99,0.0,2,2,78.1,90.99
70.36,72.73,92.53,0.0,2,3,78.54,92.53
71.85,70.08,94.5,0.0,2,4,78.81,94.5
69.14,73.01,70.1,75.18,3,0,71.86,75.18
65.5,71.35,72.01,86.49,3,1,73.84,86.49
62.04,71.01,69.49,90.71,3,2,73.31,90.71
60.79,68.78,68.2,91.15,3,3,72.23,91.15
62.83,66.53,65.28,93.57,3,4,72.05,93.57
