task_1,task_2,task_3,task_4,task,cycle,average_learning_accuracy,average_accuracy,average_forgetting
66.31,0.0,0.0,0.0,0,0,16.5775,66.31,0.0
77.99199999999999,0.0,0.0,0.0,0,1,19.497999999999998,77.99199999999999,-11.681999999999988
78.562,0.0,0.0,0.0,0,2,19.6405,78.562,-0.5700000000000074
78.792,0.0,0.0,0.0,0,3,19.698,78.792,-0.23000000000000398
81.06,0.0,0.0,0.0,0,4,20.265,81.06,-2.2680000000000007
73.382,63.936,0.0,0.0,1,0,34.3295,68.659,7.677999999999997
73.298,80.426,0.0,0.0,1,1,38.431,76.862,-4.364000000000001
80.194,82.864,0.0,0.0,1,2,40.7645,81.529,-0.7860000000000014
82.97999999999999,86.80199999999999,0.0,0.0,1,3,42.445499999999996,84.89099999999999,-2.928999999999988
84.44,89.72200000000001,0.0,0.0,1,4,43.5405,87.081,-2.190000000000012
74.372,75.56,54.104,0.0,2,0,51.009,68.012,12.115000000000002
68.476,77.096,72.654,0.0,2,1,54.5565,72.742,3.346666666666669
66.074,79.46000000000001,81.07000000000001,0.0,2,2,56.650999999999996,75.53466666666667,6.737333333333329
64.212,79.042,83.86800000000001,0.0,2,3,56.7805,75.70733333333334,9.37
62.718,74.526,84.168,0.0,2,4,55.353,73.804,12.206000000000003
66.21799999999999,73.974,73.92,45.012,3,0,64.781,64.781,14.73933333333334
59.772000000000006,66.9,74.42999999999999,73.412,3,1,68.6285,68.6285,7.207000000000001
59.260000000000005,66.7,79.50800000000001,78.624,3,2,71.023,71.023,11.912500000000001
57.14,65.01599999999999,81.25800000000001,83.124,3,3,71.6345,71.6345,12.604000000000003
56.194,65.606,81.726,85.124,3,4,72.1625,72.1625,13.201000000000004
