task_1,task_2,task_3,task_4,task,cycle,average_accuracy,learning_accuracy
63.17,0.0,0.0,0.0,0,0,63.17,63.17
76.48,0.0,0.0,0.0,0,1,76.48,76.48
84.59,0.0,0.0,0.0,0,2,84.59,84.59
88.9,0.0,0.0,0.0,0,3,88.9,88.9
90.66,0.0,0.0,0.0,0,4,90.66,90.66
65.55,76.71,0.0,0.0,1,0,71.13,76.71
64.72,89.71,0.0,0.0,1,1,77.22,89.71
61.77,93.56,0.0,0.0,1,2,77.67,93.56
63.58,93.99,0.0,0.0,1,3,78.78,93.99
64.81,94.19,0.0,0.0,1,4,79.5,94.19
66.19,73.0,74.43,0.0,2,0,71.21,74.43
70.83,69.46,84.83,0.0,2,1,75.04,84.83
70.63,72.24,87.07,0.0,2,2,76.65,87.07
69.26,71.29,91.34,0.0,2,3,77.3,91.34
69.25,70.72,91.32,0.0,2,4,77.1,91.32
70.47,71.62,59.35,76.7,3,0,69.54,76.7
67.65,68.46,63.29,87.71,3,1,71.78,87.71
65.64,67.12,64.29,88.91,3,2,71.49,88.91
62.44,69.3,62.87,93.55,3,3,72.04,93.55
63.09,68.78,64.4,94.16,3,4,72.61,94.16
