task_1,task_2,task_3,task_4,task,cycle,average_learning_accuracy,average_accuracy,average_forgetting
62.684000000000005,0.0,0.0,0.0,0,0,15.671000000000001,62.684000000000005,0.0
67.046,0.0,0.0,0.0,0,1,16.7615,67.046,-4.362000000000002
70.55999999999999,0.0,0.0,0.0,0,2,17.639999999999997,70.55999999999999,-3.5139999999999816
70.912,0.0,0.0,0.0,0,3,17.728,70.912,-0.3520000000000181
79.732,0.0,0.0,0.0,0,4,19.933,79.732,-8.819999999999993
74.44,71.074,0.0,0.0,1,0,36.3785,72.757,5.292000000000002
78.42999999999999,78.0,0.0,0.0,1,1,39.1075,78.215,-2.8119999999999976
77.94200000000001,79.13,0.0,0.0,1,2,39.268,78.536,0.3299999999999983
79.766,82.288,0.0,0.0,1,3,40.5135,81.027,-1.5960000000000036
80.50399999999999,82.28399999999999,0.0,0.0,1,4,40.696999999999996,81.39399999999999,-0.3669999999999902
72.45,75.26599999999999,56.806,0.0,2,0,51.1305,68.17399999999999,7.537999999999997
62.89,68.8,71.62,0.0,2,1,50.8275,67.77,5.429333333333328
64.564,73.99000000000001,77.69,0.0,2,2,54.061,72.08133333333333,6.055999999999997
65.89200000000001,71.06800000000001,80.54,0.0,2,3,54.375000000000014,72.50000000000001,7.6606666666666525
64.942,71.03999999999999,83.31,0.0,2,4,54.82299999999999,73.09733333333332,8.013333333333335
63.88199999999999,68.678,67.30199999999999,56.708000000000006,3,0,64.1425,64.1425,15.413333333333336
63.258,63.044000000000004,71.124,75.54400000000001,3,1,68.2425,68.2425,7.4599999999999955
60.077999999999996,60.632000000000005,74.982,79.378,3,2,68.7675,68.7675,11.644
60.589999999999996,62.674,76.726,84.012,3,3,71.0005,71.0005,10.369499999999999
62.898,66.242,75.76599999999999,84.786,3,4,72.423,72.423,10.105499999999997
