task_1,task_2,task_3,task_4,task,cycle,average_learning_accuracy,average_accuracy,average_forgetting
62.9,0.0,0.0,0.0,0,0,15.725,62.9,0.0
61.38399999999999,0.0,0.0,0.0,0,1,15.345999999999998,61.38399999999999,1.5160000000000053
69.872,0.0,0.0,0.0,0,2,17.468,69.872,-6.972000000000001
82.128,0.0,0.0,0.0,0,3,20.532,82.128,-12.256
83.80799999999999,0.0,0.0,0.0,0,4,20.951999999999998,83.80799999999999,-1.6799999999999926
92.532,0.0,0.0,0.0,0,5,23.133,92.532,-8.724000000000004
93.64,0.0,0.0,0.0,0,6,23.41,93.64,-1.108000000000004
94.20599999999999,0.0,0.0,0.0,0,7,23.551499999999997,94.20599999999999,-0.5659999999999883
93.85,0.0,0.0,0.0,0,8,23.4625,93.85,0.35599999999999454
93.744,0.0,0.0,0.0,0,9,23.436,93.744,0.4619999999999891
72.148,79.27799999999999,0.0,0.0,1,0,37.8565,75.713,22.057999999999993
71.64,85.39,0.0,0.0,1,1,39.2575,78.515,8.22699999999999
71.042,88.186,0.0,0.0,1,2,39.807,79.614,10.18399999999999
70.036,91.42,0.0,0.0,1,3,40.364000000000004,80.72800000000001,10.467999999999996
70.638,93.006,0.0,0.0,1,4,40.911,81.822,10.990999999999993
70.838,93.81,0.0,0.0,1,5,41.162,82.324,11.281999999999996
72.016,95.76599999999999,0.0,0.0,1,6,41.945499999999996,83.89099999999999,10.116999999999997
71.692,96.298,0.0,0.0,1,7,41.9975,83.995,10.990999999999993
73.744,96.84,0.0,0.0,1,8,42.646,85.292,9.959999999999994
72.214,97.022,0.0,0.0,1,9,42.309,84.618,10.904999999999994
63.51800000000001,82.708,68.34400000000001,0.0,2,0,53.6425,71.52333333333333,22.500999999999994
69.638,80.53,80.078,0.0,2,1,57.5615,76.74866666666667,9.77533333333333
71.264,81.324,82.44,0.0,2,2,58.757,78.34266666666666,12.092666666666668
73.572,79.47,88.94,0.0,2,3,60.4955,80.66066666666667,10.561999999999998
68.23400000000001,76.28399999999999,91.366,0.0,2,4,58.971000000000004,78.628,14.761333333333331
69.056,75.58,94.38199999999999,0.0,2,5,59.75449999999999,79.67266666666666,14.525333333333336
70.848,74.904,95.148,0.0,2,6,60.225,80.3,14.90333333333333
71.066,75.614,95.42,0.0,2,7,60.525000000000006,80.7,14.758666666666661
71.36,75.90799999999999,95.42,0.0,2,8,60.672,80.896,14.653333333333336
71.536,76.58399999999999,95.46600000000001,0.0,2,9,60.8965,81.19533333333334,14.354
70.014,75.766,71.08,69.856,3,0,71.679,71.679,23.278000000000002
62.676,69.43199999999999,56.922000000000004,85.96600000000001,3,1,68.749,68.749,20.3885
65.78999999999999,71.47999999999999,63.41799999999999,89.256,3,2,72.48599999999999,72.48599999999999,20.67900000000001
64.31,70.69800000000001,63.751999999999995,90.878,3,3,72.4095,72.4095,21.578
61.698,64.672,61.378,93.15599999999999,3,4,70.226,70.226,24.167000000000005
63.470000000000006,68.97,64.06,93.976,3,5,72.619,72.619,22.343499999999995
62.838,66.098,65.774,95.67999999999999,3,6,72.5975,72.5975,22.570000000000004
63.262,67.31,67.542,95.9,3,7,73.5035,73.5035,22.089999999999996
62.666,68.048,68.236,95.78999999999999,3,8,73.685,73.685,21.963500000000003
62.688,68.16,68.99199999999999,95.724,3,9,73.891,73.891,21.757500000000004
