task_1,task_2,task_3,task_4,task,cycle,average_accuracy,learning_accuracy
63.17,0.0,0.0,0.0,0,0,63.17,63.17
65.28,0.0,0.0,0.0,0,1,65.28,65.28
65.38,0.0,0.0,0.0,0,2,65.38,65.38
71.74,0.0,0.0,0.0,0,3,71.74,71.74
76.32,0.0,0.0,0.0,0,4,76.32,76.32
63.34,79.49,0.0,0.0,1,0,71.41,79.49
73.64,88.46,0.0,0.0,1,1,81.05,88.46
69.35,89.26,0.0,0.0,1,2,79.31,89.26
68.03,90.66,0.0,0.0,1,3,79.34,90.66
64.04,92.1,0.0,0.0,1,4,78.07,92.1
70.91,77.4,71.2,0.0,2,0,73.17,71.2
66.14,75.54,82.34,0.0,2,1,74.67,82.34
68.22,67.92,90.9,0.0,2,2,75.68,90.9
70.05,69.25,91.13,0.0,2,3,76.81,91.13
71.67,66.55,91.09,0.0,2,4,76.44,91.09
66.16,70.12,65.1,72.34,3,0,68.43,72.34
65.37,67.53,66.45,85.87,3,1,71.31,85.87
64.87,66.46,70.01,91.3,3,2,73.16,91.3
61.4,65.93,68.51,91.53,3,3,71.84,91.53
61.01,65.7,68.67,91.8,3,4,71.8,91.8
