task_1,task_2,task_3,task_4,task,cycle,average_learning_accuracy,average_accuracy,average_forgetting
62.9,0.0,0.0,0.0,0,0,15.725,62.9,0.0
61.38399999999999,0.0,0.0,0.0,0,1,15.345999999999998,61.38399999999999,1.5160000000000053
69.872,0.0,0.0,0.0,0,2,17.468,69.872,-6.972000000000001
82.128,0.0,0.0,0.0,0,3,20.532,82.128,-12.256
83.80799999999999,0.0,0.0,0.0,0,4,20.951999999999998,83.80799999999999,-1.6799999999999926
92.532,0.0,0.0,0.0,0,5,23.133,92.532,-8.724000000000004
93.64,0.0,0.0,0.0,0,6,23.41,93.64,-1.108000000000004
94.20599999999999,0.0,0.0,0.0,0,7,23.551499999999997,94.20599999999999,-0.5659999999999883
93.85,0.0,0.0,0.0,0,8,23.4625,93.85,0.35599999999999454
93.744,0.0,0.0,0.0,0,9,23.436,93.744,0.4619999999999891
72.148,79.27799999999999,0.0,0.0,1,0,37.8565,75.713,22.057999999999993
75.898,85.872,0.0,0.0,1,1,40.442499999999995,80.88499999999999,5.856999999999992
68.616,89.25399999999999,0.0,0.0,1,2,39.4675,78.935,11.104
70.684,92.904,0.0,0.0,1,3,40.897,81.794,9.935999999999993
67.764,93.486,0.0,0.0,1,4,40.3125,80.625,12.929999999999993
69.52799999999999,94.50399999999999,0.0,0.0,1,5,41.007999999999996,82.01599999999999,11.830000000000005
69.646,95.498,0.0,0.0,1,6,41.286,82.572,11.782999999999987
71.286,96.676,0.0,0.0,1,7,41.9905,83.981,10.870999999999995
71.53,96.63,0.0,0.0,1,8,42.04,84.08,11.360999999999997
71.88399999999999,96.74199999999999,0.0,0.0,1,9,42.156499999999994,84.31299999999999,11.128000000000007
63.348,78.272,77.434,0.0,2,0,54.7635,73.018,24.663999999999987
64.856,79.912,85.888,0.0,2,1,57.664,76.88533333333334,12.575333333333324
66.762,78.53,89.114,0.0,2,2,58.6015,78.13533333333334,14.143333333333326
66.416,78.93199999999999,89.92999999999999,0.0,2,3,58.81949999999999,78.42599999999999,14.928000000000003
68.59200000000001,75.214,91.434,0.0,2,4,58.81,78.41333333333334,15.212666666666655
67.274,75.418,91.66,0.0,2,5,58.588,78.11733333333333,16.00999999999999
68.382,75.424,92.842,0.0,2,6,59.162000000000006,78.88266666666668,15.319999999999988
68.084,74.25800000000001,94.596,0.0,2,7,59.234500000000004,78.97933333333334,15.61733333333332
69.39200000000001,73.81800000000001,95.038,0.0,2,8,59.56200000000001,79.41600000000001,15.765333333333322
70.06800000000001,75.274,95.46000000000001,0.0,2,9,60.200500000000005,80.26733333333334,15.061333333333318
66.752,76.682,67.628,73.34,3,0,71.10050000000001,71.10050000000001,25.11533333333333
59.84400000000001,67.112,63.146,85.32000000000001,3,1,68.8555,68.8555,21.081499999999995
61.105999999999995,74.344,62.803999999999995,89.976,3,2,72.0575,72.0575,20.8745
62.20799999999999,73.258,64.642,92.102,3,3,73.0525,73.0525,21.0435
65.00399999999999,74.916,67.21000000000001,93.202,3,4,75.083,75.083,19.5445
63.512,74.954,66.768,95.022,3,5,75.06400000000001,75.06400000000001,19.838499999999996
63.226,75.106,66.618,95.042,3,6,74.99799999999999,74.99799999999999,20.3595
63.044000000000004,73.42999999999999,67.036,95.64,3,7,74.7875,74.7875,20.575
63.696000000000005,74.396,67.24,96.062,3,8,75.3485,75.3485,20.1635
63.52,74.416,67.598,96.03999999999999,3,9,75.39349999999999,75.39349999999999,20.224
