task_1,task_2,task_3,task_4,task,cycle,average_accuracy,learning_accuracy
63.17,0.0,0.0,0.0,0,0,63.17,63.17
65.28,0.0,0.0,0.0,0,1,65.28,65.28
65.38,0.0,0.0,0.0,0,2,65.38,65.38
71.74,0.0,0.0,0.0,0,3,71.74,71.74
76.32,0.0,0.0,0.0,0,4,76.32,76.32
63.34,79.49,0.0,0.0,1,0,71.41,79.49
72.51,89.14,0.0,0.0,1,1,80.82,89.14
73.55,90.24,0.0,0.0,1,2,81.9,90.24
75.04,91.77,0.0,0.0,1,3,83.4,91.77
69.24,93.08,0.0,0.0,1,4,81.16,93.08
64.88,77.61,69.54,0.0,2,0,70.68,69.54
69.57,75.21,80.36,0.0,2,1,75.05,80.36
64.65,70.47,87.93,0.0,2,2,74.35,87.93
65.99,70.57,90.71,0.0,2,3,75.76,90.71
67.9,71.31,91.75,0.0,2,4,76.99,91.75
67.34,72.85,66.79,74.13,3,0,70.28,74.13
61.26,69.54,70.61,87.46,3,1,72.22,87.46
60.75,67.75,67.62,89.78,3,2,71.47,89.78
62.04,68.14,68.18,89.98,3,3,72.09,89.98
63.18,68.2,66.07,91.51,3,4,72.24,91.51
