run,task,cycle,task_1,task_2,task_3,task_4,task_5,task_6
0,0,0,54.52,0.0,0.0,0.0,0.0,0.0
0,0,1,69.33,0.0,0.0,0.0,0.0,0.0
0,0,2,69.78,0.0,0.0,0.0,0.0,0.0
0,0,3,94.22,0.0,0.0,0.0,0.0,0.0
0,0,4,95.85,0.0,0.0,0.0,0.0,0.0
0,1,0,89.48,58.82,0.0,0.0,0.0,0.0
0,1,1,88.74,66.62,0.0,0.0,0.0,0.0
0,1,2,86.07,80.15,0.0,0.0,0.0,0.0
0,1,3,86.37,85.59,0.0,0.0,0.0,0.0
0,1,4,86.22,87.35,0.0,0.0,0.0,0.0
0,2,0,74.81,40.44,81.5,0.0,0.0,0.0
0,2,1,81.78,34.26,91.74,0.0,0.0,0.0
0,2,2,85.63,33.53,93.58,0.0,0.0,0.0
0,2,3,85.63,32.5,94.5,0.0,0.0,0.0
0,2,4,84.59,30.0,95.11,0.0,0.0,0.0
0,3,0,88.3,30.59,69.72,63.58,0.0,0.0
0,3,1,87.41,29.56,71.71,67.16,0.0,0.0
0,3,2,80.0,34.41,61.77,74.93,0.0,0.0
0,3,3,84.59,29.12,65.6,78.66,0.0,0.0
0,3,4,81.48,22.94,60.7,85.07,0.0,0.0
0,4,0,72.0,23.68,60.24,52.09,55.81,0.0
0,4,1,68.15,39.26,61.47,49.85,79.03,0.0
0,4,2,64.44,38.68,59.79,42.09,85.52,0.0
0,4,3,55.41,32.65,53.67,44.33,91.86,0.0
0,4,4,62.52,40.29,63.3,45.22,85.97,0.0
0,5,0,62.22,24.71,58.72,40.3,59.13,43.71
0,5,1,66.81,16.32,57.49,32.09,46.76,66.32
0,5,2,63.85,18.09,51.83,35.22,48.27,77.84
0,5,3,64.15,18.53,52.91,37.31,49.02,78.14
0,5,4,69.04,15.29,56.57,29.85,44.65,80.69
1,0,0,59.16,0.0,0.0,0.0,0.0,0.0
1,0,1,64.97,0.0,0.0,0.0,0.0,0.0
1,0,2,73.4,0.0,0.0,0.0,0.0,0.0
1,0,3,77.18,0.0,0.0,0.0,0.0,0.0
1,0,4,76.45,0.0,0.0,0.0,0.0,0.0
1,1,0,35.76,91.8,0.0,0.0,0.0,0.0
1,1,1,38.52,96.93,0.0,0.0,0.0,0.0
1,1,2,37.06,96.78,0.0,0.0,0.0,0.0
1,1,3,40.12,96.78,0.0,0.0,0.0,0.0
1,1,4,40.55,97.36,0.0,0.0,0.0,0.0
1,2,0,44.04,72.04,32.67,0.0,0.0,0.0
1,2,1,35.17,62.96,60.15,0.0,0.0,0.0
1,2,2,29.07,63.1,74.81,0.0,0.0,0.0
1,2,3,32.7,63.25,78.32,0.0,0.0,0.0
1,2,4,34.01,62.81,74.35,0.0,0.0,0.0
1,3,0,37.35,64.13,45.5,52.04,0.0,0.0
1,3,1,36.48,60.61,43.97,71.14,0.0,0.0
1,3,2,29.65,59.0,36.03,81.63,0.0,0.0
1,3,3,31.98,63.4,39.85,80.47,0.0,0.0
1,3,4,34.88,54.03,37.25,86.44,0.0,0.0
1,4,0,23.4,57.83,32.52,52.62,37.35,0.0
1,4,1,23.11,61.05,32.37,48.4,63.54,0.0
1,4,2,28.78,56.52,30.84,50.29,73.96,0.0
1,4,3,24.56,56.81,37.1,50.15,77.53,0.0
1,4,4,24.27,60.03,37.4,49.27,81.85,0.0
1,5,0,26.45,42.9,33.44,49.27,37.95,57.14
1,5,1,29.65,41.58,39.24,49.71,31.25,82.22
1,5,2,26.89,44.36,36.49,47.08,32.14,85.71
1,5,3,26.89,39.39,36.49,48.1,35.27,90.12
1,5,4,25.44,38.07,38.63,46.79,35.57,94.98
2,0,0,51.1,0.0,0.0,0.0,0.0,0.0
2,0,1,75.85,0.0,0.0,0.0,0.0,0.0
2,0,2,72.16,0.0,0.0,0.0,0.0,0.0
2,0,3,74.37,0.0,0.0,0.0,0.0,0.0
2,0,4,74.67,0.0,0.0,0.0,0.0,0.0
2,1,0,21.94,58.41,0.0,0.0,0.0,0.0
2,1,1,31.37,85.84,0.0,0.0,0.0,0.0
2,1,2,42.86,84.37,0.0,0.0,0.0,0.0
2,1,3,44.18,83.48,0.0,0.0,0.0,0.0
2,1,4,45.66,80.24,0.0,0.0,0.0,0.0
2,2,0,50.66,48.67,37.91,0.0,0.0,0.0
2,2,1,48.75,30.68,63.43,0.0,0.0,0.0
2,2,2,49.48,31.42,63.43,0.0,0.0,0.0
2,2,3,49.63,32.74,63.43,0.0,0.0,0.0
2,2,4,49.93,32.74,63.58,0.0,0.0,0.0
2,3,0,48.16,29.65,8.96,55.66,0.0,0.0
2,3,1,50.52,32.89,12.84,53.95,0.0,0.0
2,3,2,53.9,34.51,17.01,46.98,0.0,0.0
2,3,3,53.76,35.1,17.46,46.82,0.0,0.0
2,3,4,53.9,40.12,24.18,49.92,0.0,0.0
2,4,0,40.21,33.63,16.27,27.91,81.62,0.0
2,4,1,30.93,30.09,19.1,37.83,95.8,0.0
2,4,2,40.5,34.22,27.46,28.99,96.09,0.0
2,4,3,40.94,34.96,29.4,29.46,95.8,0.0
2,4,4,44.18,36.87,33.88,32.87,98.12,0.0
2,5,0,40.06,32.6,10.3,20.16,93.49,38.96
2,5,1,45.07,29.94,12.09,20.62,91.17,52.99
2,5,2,45.36,32.89,13.28,17.21,80.32,61.64
2,5,3,42.56,27.73,22.39,22.64,88.42,70.45
2,5,4,43.15,25.37,21.79,21.86,88.57,69.4
3,0,0,94.28,0.0,0.0,0.0,0.0,0.0
3,0,1,92.52,0.0,0.0,0.0,0.0,0.0
3,0,2,91.35,0.0,0.0,0.0,0.0,0.0
3,0,3,98.39,0.0,0.0,0.0,0.0,0.0
3,0,4,98.97,0.0,0.0,0.0,0.0,0.0
3,1,0,70.09,91.1,0.0,0.0,0.0,0.0
3,1,1,68.04,96.88,0.0,0.0,0.0,0.0
3,1,2,48.68,98.07,0.0,0.0,0.0,0.0
3,1,3,58.36,98.66,0.0,0.0,0.0,0.0
3,1,4,49.27,98.81,0.0,0.0,0.0,0.0
3,2,0,64.37,86.2,70.78,0.0,0.0,0.0
3,2,1,55.28,64.24,93.83,0.0,0.0,0.0
3,2,2,55.28,58.75,97.21,0.0,0.0,0.0
3,2,3,54.25,59.35,97.5,0.0,0.0,0.0
3,2,4,50.88,66.62,97.65,0.0,0.0,0.0
3,3,0,45.6,66.91,56.83,57.27,0.0,0.0
3,3,1,38.27,68.69,66.08,78.94,0.0,0.0
3,3,2,35.34,67.51,49.78,92.42,0.0,0.0
3,3,3,31.67,66.02,60.35,90.0,0.0,0.0
3,3,4,31.67,64.54,53.6,91.06,0.0,0.0
3,4,0,33.58,64.99,64.46,61.82,44.89,0.0
3,4,1,42.38,60.98,55.36,48.94,70.53,0.0
3,4,2,32.11,64.69,55.95,46.82,78.63,0.0
3,4,3,41.06,62.02,60.5,46.97,73.89,0.0
3,4,4,46.48,58.16,59.62,48.18,82.9,0.0
3,5,0,43.84,64.39,47.58,33.48,31.45,44.54
3,5,1,34.16,58.9,55.07,31.52,35.73,53.1
3,5,2,28.15,59.79,52.28,41.67,29.92,70.5
3,5,3,29.77,60.09,51.54,44.7,24.73,74.78
3,5,4,37.54,62.91,56.83,45.15,26.11,81.56
4,0,0,76.78,0.0,0.0,0.0,0.0,0.0
4,0,1,80.5,0.0,0.0,0.0,0.0,0.0
