run,task,cycle,task_1,task_2,task_3,task_4,task_5,task_6
0,0,0,49.93,0.0,0.0,0.0,0.0,0.0
0,0,1,49.63,0.0,0.0,0.0,0.0,0.0
0,0,2,52.15,0.0,0.0,0.0,0.0,0.0
0,0,3,89.78,0.0,0.0,0.0,0.0,0.0
0,0,4,93.48,0.0,0.0,0.0,0.0,0.0
0,1,0,64.15,50.59,0.0,0.0,0.0,0.0
0,1,1,62.22,59.12,0.0,0.0,0.0,0.0
0,1,2,63.7,67.21,0.0,0.0,0.0,0.0
0,1,3,60.74,70.0,0.0,0.0,0.0,0.0
0,1,4,61.63,67.35,0.0,0.0,0.0,0.0
0,2,0,38.67,30.88,71.71,0.0,0.0,0.0
0,2,1,47.56,14.71,93.12,0.0,0.0,0.0
0,2,2,49.33,19.85,92.2,0.0,0.0,0.0
0,2,3,54.67,22.06,93.58,0.0,0.0,0.0
0,2,4,54.22,22.06,93.88,0.0,0.0,0.0
0,3,0,52.44,25.44,55.5,44.33,0.0,0.0
0,3,1,43.11,26.62,61.01,72.84,0.0,0.0
0,3,2,47.85,25.74,60.7,68.06,0.0,0.0
0,3,3,46.96,26.18,54.43,76.42,0.0,0.0
0,3,4,45.33,28.82,56.57,79.4,0.0,0.0
0,4,0,20.0,21.76,47.25,54.63,64.71,0.0
0,4,1,22.52,14.56,47.25,44.33,84.77,0.0
0,4,2,22.22,20.59,44.8,34.93,84.46,0.0
0,4,3,18.22,18.97,48.01,40.0,85.67,0.0
0,4,4,17.63,17.79,46.33,40.3,86.43,0.0
0,5,0,25.19,19.26,47.71,28.51,46.91,47.01
0,5,1,17.63,16.18,46.18,23.58,52.34,54.04
0,5,2,20.3,16.18,46.79,18.06,43.59,64.97
0,5,3,22.67,17.65,46.33,19.4,44.34,66.32
0,5,4,18.52,13.38,49.54,32.09,45.85,67.81
1,0,0,57.85,0.0,0.0,0.0,0.0,0.0
1,0,1,61.34,0.0,0.0,0.0,0.0,0.0
1,0,2,60.76,0.0,0.0,0.0,0.0,0.0
1,0,3,65.99,0.0,0.0,0.0,0.0,0.0
1,0,4,67.59,0.0,0.0,0.0,0.0,0.0
1,1,0,26.6,79.5,0.0,0.0,0.0,0.0
1,1,1,9.59,94.58,0.0,0.0,0.0,0.0
1,1,2,27.62,94.0,0.0,0.0,0.0,0.0
1,1,3,28.92,97.22,0.0,0.0,0.0,0.0
1,1,4,21.8,97.51,0.0,0.0,0.0,0.0
1,2,0,33.87,74.23,26.56,0.0,0.0,0.0
1,2,1,26.31,67.94,45.5,0.0,0.0,0.0
1,2,2,27.18,67.06,54.5,0.0,0.0,0.0
1,2,3,23.11,67.64,73.89,0.0,0.0,0.0
1,2,4,25.73,66.47,76.03,0.0,0.0,0.0
1,3,0,24.27,59.59,41.07,44.9,0.0,0.0
1,3,1,26.02,53.44,29.77,61.95,0.0,0.0
1,3,2,22.38,61.2,24.89,80.76,0.0,0.0
1,3,3,22.97,56.66,28.55,88.48,0.0,0.0
1,3,4,25.58,53.88,30.08,87.03,0.0,0.0
1,4,0,22.82,52.42,24.89,46.36,38.69,0.0
1,4,1,20.78,59.15,26.87,43.73,51.04,0.0
1,4,2,21.51,60.03,21.83,43.29,56.99,0.0
1,4,3,25.29,56.95,26.56,35.28,66.37,0.0
1,4,4,20.35,55.93,24.27,32.8,72.62,0.0
1,5,0,22.67,56.37,26.56,32.51,36.31,37.84
1,5,1,19.91,47.58,24.43,22.89,14.88,76.6
1,5,2,24.13,42.46,24.12,23.76,22.02,84.35
1,5,3,27.76,42.31,26.87,23.76,14.73,88.6
1,5,4,27.33,41.58,26.56,21.57,18.3,93.01
2,0,0,50.96,0.0,0.0,0.0,0.0,0.0
2,0,1,51.99,0.0,0.0,0.0,0.0,0.0
2,0,2,51.99,0.0,0.0,0.0,0.0,0.0
2,0,3,52.87,0.0,0.0,0.0,0.0,0.0
2,0,4,54.49,0.0,0.0,0.0,0.0,0.0
2,1,0,10.6,73.16,0.0,0.0,0.0,0.0
2,1,1,2.95,78.91,0.0,0.0,0.0,0.0
2,1,2,6.33,84.51,0.0,0.0,0.0,0.0
2,1,3,4.42,89.53,0.0,0.0,0.0,0.0
2,1,4,4.42,94.54,0.0,0.0,0.0,0.0
2,2,0,4.27,48.82,33.13,0.0,0.0,0.0
2,2,1,3.39,24.93,58.96,0.0,0.0,0.0
2,2,2,4.12,29.79,63.43,0.0,0.0,0.0
2,2,3,4.57,23.89,67.76,0.0,0.0,0.0
2,2,4,6.19,26.11,74.93,0.0,0.0,0.0
2,3,0,4.86,14.6,17.76,56.28,0.0,0.0
2,3,1,5.45,13.42,20.45,57.52,0.0,0.0
2,3,2,6.63,20.35,26.87,57.52,0.0,0.0
2,3,3,8.84,19.91,18.66,57.05,0.0,0.0
2,3,4,8.98,27.58,24.78,75.04,0.0,0.0
2,4,0,5.01,39.38,28.36,31.94,87.55,0.0
2,4,1,5.45,33.63,31.49,35.04,94.21,0.0
2,4,2,8.39,34.96,33.58,36.12,98.12,0.0
2,4,3,9.43,32.01,33.88,37.36,98.41,0.0
2,4,4,9.87,33.19,35.82,35.04,98.84,0.0
2,5,0,5.6,21.39,21.04,25.27,90.88,37.16
2,5,1,7.07,27.73,22.54,15.5,95.95,51.79
2,5,2,5.74,23.3,24.78,13.49,87.41,69.55
2,5,3,5.6,26.4,25.37,15.66,90.88,66.87
2,5,4,6.19,25.07,25.22,18.91,87.55,81.94
3,0,0,64.22,0.0,0.0,0.0,0.0,0.0
3,0,1,58.8,0.0,0.0,0.0,0.0,0.0
3,0,2,58.36,0.0,0.0,0.0,0.0,0.0
3,0,3,56.3,0.0,0.0,0.0,0.0,0.0
3,0,4,55.13,0.0,0.0,0.0,0.0,0.0
3,1,0,55.43,43.03,0.0,0.0,0.0,0.0
3,1,1,37.54,89.91,0.0,0.0,0.0,0.0
3,1,2,23.17,98.81,0.0,0.0,0.0,0.0
3,1,3,29.18,98.37,0.0,0.0,0.0,0.0
3,1,4,27.71,98.81,0.0,0.0,0.0,0.0
3,2,0,41.94,58.16,65.2,0.0,0.0,0.0
3,2,1,22.73,55.04,88.69,0.0,0.0,0.0
3,2,2,24.05,49.85,96.48,0.0,0.0,0.0
3,2,3,27.86,53.86,98.38,0.0,0.0,0.0
3,2,4,29.03,53.41,98.38,0.0,0.0,0.0
3,3,0,25.07,47.03,72.54,44.09,0.0,0.0
3,3,1,22.73,43.18,53.01,76.06,0.0,0.0
