run,task,cycle,task_1,task_2,task_3,task_4,task_5,task_6
0,0,0,49.93,0.0,0.0,0.0,0.0,0.0
0,0,1,49.63,0.0,0.0,0.0,0.0,0.0
0,0,2,52.15,0.0,0.0,0.0,0.0,0.0
0,0,3,89.78,0.0,0.0,0.0,0.0,0.0
0,0,4,93.48,0.0,0.0,0.0,0.0,0.0
0,1,0,57.78,51.32,0.0,0.0,0.0,0.0
0,1,1,62.81,56.76,0.0,0.0,0.0,0.0
0,1,2,64.15,59.71,0.0,0.0,0.0,0.0
0,1,3,59.26,57.94,0.0,0.0,0.0,0.0
0,1,4,60.59,70.29,0.0,0.0,0.0,0.0
0,2,0,41.93,42.65,66.67,0.0,0.0,0.0
0,2,1,48.89,9.85,96.02,0.0,0.0,0.0
0,2,2,52.44,10.74,94.65,0.0,0.0,0.0
0,2,3,53.78,12.21,94.19,0.0,0.0,0.0
0,2,4,51.56,23.24,95.57,0.0,0.0,0.0
0,3,0,54.07,29.71,61.31,56.12,0.0,0.0
0,3,1,54.37,24.41,55.2,79.85,0.0,0.0
0,3,2,53.93,24.56,55.2,78.36,0.0,0.0
0,3,3,46.67,10.0,60.7,88.96,0.0,0.0
0,3,4,49.48,10.15,60.7,88.36,0.0,0.0
0,4,0,33.63,21.47,53.67,20.3,67.72,0.0
0,4,1,23.85,14.12,53.82,11.34,87.18,0.0
0,4,2,22.67,20.59,48.93,15.07,91.25,0.0
0,4,3,20.44,17.5,50.92,18.81,92.61,0.0
0,4,4,21.63,15.0,51.38,10.15,96.08,0.0
0,5,0,37.63,21.91,52.6,11.34,51.43,34.28
0,5,1,34.52,14.85,49.69,5.52,49.92,67.96
0,5,2,33.93,14.12,49.54,5.07,49.47,67.96
0,5,3,32.74,11.76,56.12,7.76,46.61,73.35
0,5,4,30.37,16.32,51.83,11.49,48.11,70.36
1,0,0,57.85,0.0,0.0,0.0,0.0,0.0
1,0,1,61.34,0.0,0.0,0.0,0.0,0.0
1,0,2,60.76,0.0,0.0,0.0,0.0,0.0
1,0,3,65.99,0.0,0.0,0.0,0.0,0.0
1,0,4,67.59,0.0,0.0,0.0,0.0,0.0
1,1,0,43.46,69.11,0.0,0.0,0.0,0.0
1,1,1,25.44,92.24,0.0,0.0,0.0,0.0
1,1,2,28.05,94.58,0.0,0.0,0.0,0.0
1,1,3,26.89,96.19,0.0,0.0,0.0,0.0
1,1,4,26.31,96.34,0.0,0.0,0.0,0.0
1,2,0,38.37,72.33,30.38,0.0,0.0,0.0
1,2,1,22.97,63.84,60.31,0.0,0.0,0.0
1,2,2,25.0,59.3,73.44,0.0,0.0,0.0
1,2,3,24.85,63.98,75.42,0.0,0.0,0.0
1,2,4,27.03,60.91,81.98,0.0,0.0,0.0
1,3,0,22.09,58.27,45.95,52.62,0.0,0.0
1,3,1,23.69,54.9,36.03,79.74,0.0,0.0
1,3,2,25.0,59.0,26.41,81.63,0.0,0.0
1,3,3,23.4,58.27,32.67,87.9,0.0,0.0
1,3,4,25.73,56.52,29.31,93.59,0.0,0.0
1,4,0,20.49,55.2,36.18,65.01,31.99,0.0
1,4,1,20.2,58.71,24.12,48.69,54.02,0.0
1,4,2,20.35,60.03,21.98,49.42,59.97,0.0
1,4,3,20.06,55.2,28.85,47.67,74.4,0.0
1,4,4,23.11,54.76,32.37,43.29,76.19,0.0
1,5,0,21.8,50.81,31.15,46.21,38.24,42.1
1,5,1,17.88,39.82,28.55,51.02,24.4,79.03
1,5,2,25.15,38.36,30.23,39.5,23.66,87.54
1,5,3,20.06,33.24,30.53,37.46,26.49,90.73
1,5,4,21.22,33.09,29.92,41.84,27.53,93.31
2,0,0,50.96,0.0,0.0,0.0,0.0,0.0
2,0,1,51.99,0.0,0.0,0.0,0.0,0.0
2,0,2,51.99,0.0,0.0,0.0,0.0,0.0
2,0,3,52.87,0.0,0.0,0.0,0.0,0.0
2,0,4,54.49,0.0,0.0,0.0,0.0,0.0
2,1,0,17.67,64.6,0.0,0.0,0.0,0.0
2,1,1,5.01,77.58,0.0,0.0,0.0,0.0
2,1,2,5.6,78.91,0.0,0.0,0.0,0.0
2,1,3,8.25,94.4,0.0,0.0,0.0,0.0
2,1,4,8.1,93.81,0.0,0.0,0.0,0.0
2,2,0,8.1,49.56,42.99,0.0,0.0,0.0
2,2,1,4.71,20.21,66.87,0.0,0.0,0.0
2,2,2,6.77,14.45,73.13,0.0,0.0,0.0
2,2,3,6.04,23.45,74.63,0.0,0.0,0.0
2,2,4,6.92,22.71,77.91,0.0,0.0,0.0
2,3,0,4.57,11.5,19.55,48.06,0.0,0.0
2,3,1,7.66,10.47,11.94,64.96,0.0,0.0
2,3,2,6.63,10.18,12.54,62.79,0.0,0.0
2,3,3,6.92,15.78,16.27,70.08,0.0,0.0
2,3,4,7.95,21.24,23.88,69.46,0.0,0.0
2,4,0,8.39,26.7,30.9,30.39,87.99,0.0
2,4,1,9.87,17.55,39.4,33.33,94.93,0.0
2,4,2,6.63,24.04,37.01,36.43,97.54,0.0
2,4,3,9.28,30.53,37.61,29.46,97.83,0.0
2,4,4,10.16,32.3,38.21,29.92,98.41,0.0
2,5,0,9.13,24.34,31.19,21.24,89.0,32.54
2,5,1,7.22,21.98,21.64,17.52,87.41,63.13
2,5,2,9.13,24.48,25.67,15.5,92.19,68.81
2,5,3,9.13,22.27,25.37,19.53,91.75,65.97
2,5,4,8.98,23.01,24.03,17.05,85.53,70.9
3,0,0,64.22,0.0,0.0,0.0,0.0,0.0
3,0,1,58.8,0.0,0.0,0.0,0.0,0.0
3,0,2,58.36,0.0,0.0,0.0,0.0,0.0
3,0,3,56.3,0.0,0.0,0.0,0.0,0.0
3,0,4,55.13,0.0,0.0,0.0,0.0,0.0
3,1,0,61.0,40.95,0.0,0.0,0.0,0.0
3,1,1,16.57,90.95,0.0,0.0,0.0,0.0
3,1,2,22.43,98.52,0.0,0.0,0.0,0.0
3,1,3,21.85,99.41,0.0,0.0,0.0,0.0
3,1,4,21.41,99.41,0.0,0.0,0.0,0.0
3,2,0,30.5,48.96,53.3,0.0,0.0,0.0
3,2,1,38.56,52.37,93.54,0.0,0.0,0.0
3,2,2,27.86,53.86,97.06,0.0,0.0,0.0
3,2,3,31.96,54.75,97.94,0.0,0.0,0.0
3,2,4,32.99,54.9,98.09,0.0,0.0,0.0
3,3,0,22.14,39.61,72.25,48.94,0.0,0.0
3,3,1,20.38,43.32,46.99,88.79,0.0,0.0
