run,task,cycle,task_1,task_2,task_3,task_4,task_5,task_6
0,0,0,54.52,0.0,0.0,0.0,0.0,0.0
0,0,1,69.33,0.0,0.0,0.0,0.0,0.0
0,0,2,69.78,0.0,0.0,0.0,0.0,0.0
0,0,3,94.22,0.0,0.0,0.0,0.0,0.0
0,0,4,95.85,0.0,0.0,0.0,0.0,0.0
0,1,0,89.48,58.24,0.0,0.0,0.0,0.0
0,1,1,90.52,61.32,0.0,0.0,0.0,0.0
0,1,2,90.67,61.32,0.0,0.0,0.0,0.0
0,1,3,84.15,85.44,0.0,0.0,0.0,0.0
0,1,4,84.0,85.0,0.0,0.0,0.0,0.0
0,2,0,75.56,48.09,80.58,0.0,0.0,0.0
0,2,1,78.81,32.35,96.48,0.0,0.0,0.0
0,2,2,81.33,29.12,97.71,0.0,0.0,0.0
0,2,3,82.37,32.06,97.25,0.0,0.0,0.0
0,2,4,81.19,32.35,98.62,0.0,0.0,0.0
0,3,0,78.96,38.53,75.54,61.49,0.0,0.0
0,3,1,79.7,17.65,68.35,79.55,0.0,0.0
0,3,2,79.7,30.59,68.96,85.37,0.0,0.0
0,3,3,76.89,24.56,70.18,84.33,0.0,0.0
0,3,4,77.48,25.74,60.86,89.25,0.0,0.0
0,4,0,63.56,31.62,59.33,49.55,73.6,0.0
0,4,1,57.19,32.94,59.48,50.3,81.75,0.0
0,4,2,61.19,38.97,67.43,45.22,88.69,0.0
0,4,3,59.26,39.26,68.04,42.24,90.05,0.0
0,4,4,58.22,39.71,68.5,44.78,90.2,0.0
0,5,0,68.59,32.21,65.6,33.88,60.18,45.36
0,5,1,67.7,26.18,64.37,26.12,61.24,66.17
0,5,2,63.11,21.47,60.24,31.49,55.51,77.54
0,5,3,66.22,18.82,63.91,29.1,57.92,78.44
0,5,4,65.48,20.74,64.07,31.04,59.28,78.14
1,0,0,59.16,0.0,0.0,0.0,0.0,0.0
1,0,1,64.97,0.0,0.0,0.0,0.0,0.0
1,0,2,73.4,0.0,0.0,0.0,0.0,0.0
1,0,3,77.18,0.0,0.0,0.0,0.0,0.0
1,0,4,76.45,0.0,0.0,0.0,0.0,0.0
1,1,0,55.81,78.33,0.0,0.0,0.0,0.0
1,1,1,44.77,92.39,0.0,0.0,0.0,0.0
1,1,2,40.12,95.17,0.0,0.0,0.0,0.0
1,1,3,40.84,95.46,0.0,0.0,0.0,0.0
1,1,4,40.41,95.46,0.0,0.0,0.0,0.0
1,2,0,52.03,70.86,32.52,0.0,0.0,0.0
1,2,1,29.36,59.15,70.38,0.0,0.0,0.0
1,2,2,25.73,60.76,79.24,0.0,0.0,0.0
1,2,3,29.65,57.69,83.05,0.0,0.0,0.0
1,2,4,27.33,66.33,86.87,0.0,0.0,0.0
1,3,0,36.63,59.3,58.17,44.31,0.0,0.0
1,3,1,28.78,59.88,39.24,71.72,0.0,0.0
1,3,2,33.14,53.59,41.37,84.84,0.0,0.0
1,3,3,30.52,56.81,47.18,86.15,0.0,0.0
1,3,4,32.27,58.71,39.69,89.21,0.0,0.0
1,4,0,34.59,59.59,44.43,63.41,37.35,0.0
1,4,1,31.69,54.76,36.79,46.21,61.9,0.0
1,4,2,25.29,60.91,34.66,42.86,77.53,0.0
1,4,3,25.29,55.78,45.95,44.31,80.06,0.0
1,4,4,27.76,57.25,45.04,43.73,80.95,0.0
1,5,0,30.38,39.68,42.9,39.94,52.23,56.38
1,5,1,28.78,36.75,43.51,37.03,43.45,76.75
1,5,2,32.12,39.68,38.17,37.03,43.01,85.71
1,5,3,27.47,31.19,37.56,33.53,32.44,88.75
1,5,4,28.05,34.7,37.86,33.67,32.44,88.6
2,0,0,51.1,0.0,0.0,0.0,0.0,0.0
2,0,1,75.85,0.0,0.0,0.0,0.0,0.0
2,0,2,72.16,0.0,0.0,0.0,0.0,0.0
2,0,3,74.37,0.0,0.0,0.0,0.0,0.0
2,0,4,74.67,0.0,0.0,0.0,0.0,0.0
2,1,0,44.18,48.38,0.0,0.0,0.0,0.0
2,1,1,26.8,83.19,0.0,0.0,0.0,0.0
2,1,2,41.09,83.04,0.0,0.0,0.0,0.0
2,1,3,43.74,82.15,0.0,0.0,0.0,0.0
2,1,4,43.0,86.43,0.0,0.0,0.0,0.0
2,2,0,53.9,27.43,47.01,0.0,0.0,0.0
2,2,1,55.38,28.47,69.55,0.0,0.0,0.0
2,2,2,54.93,29.65,68.96,0.0,0.0,0.0
2,2,3,56.55,28.47,69.7,0.0,0.0,0.0
2,2,4,53.9,32.15,72.84,0.0,0.0,0.0
2,3,0,60.97,31.56,14.33,39.38,0.0,0.0
2,3,1,58.62,38.79,21.94,57.21,0.0,0.0
2,3,2,55.82,37.02,21.94,55.19,0.0,0.0
2,3,3,55.23,37.91,20.15,58.91,0.0,0.0
2,3,4,56.11,38.2,21.04,58.45,0.0,0.0
2,4,0,43.15,43.95,26.72,33.8,89.0,0.0
2,4,1,35.2,41.89,36.72,27.29,97.54,0.0
2,4,2,36.82,41.74,37.61,31.01,97.68,0.0
2,4,3,37.26,42.48,39.25,29.15,97.54,0.0
2,4,4,37.26,46.31,40.3,29.46,97.11,0.0
2,5,0,50.22,35.1,21.94,24.65,84.37,35.82
2,5,1,51.69,37.91,11.19,20.0,79.31,53.88
2,5,2,48.9,30.09,18.06,20.47,86.25,72.99
2,5,3,45.66,33.63,16.27,19.22,87.84,69.4
2,5,4,49.93,36.73,20.6,23.41,86.69,73.43
3,0,0,94.28,0.0,0.0,0.0,0.0,0.0
3,0,1,92.52,0.0,0.0,0.0,0.0,0.0
3,0,2,91.35,0.0,0.0,0.0,0.0,0.0
3,0,3,98.39,0.0,0.0,0.0,0.0,0.0
3,0,4,98.97,0.0,0.0,0.0,0.0,0.0
3,1,0,92.23,73.15,0.0,0.0,0.0,0.0
3,1,1,69.65,94.51,0.0,0.0,0.0,0.0
3,1,2,64.81,97.18,0.0,0.0,0.0,0.0
3,1,3,61.73,98.66,0.0,0.0,0.0,0.0
3,1,4,63.2,98.81,0.0,0.0,0.0,0.0
3,2,0,63.05,78.93,73.86,0.0,0.0,0.0
3,2,1,45.01,66.02,96.33,0.0,0.0,0.0
3,2,2,47.07,70.03,97.36,0.0,0.0,0.0
3,2,3,46.19,70.62,97.21,0.0,0.0,0.0
3,2,4,48.39,64.09,95.89,0.0,0.0,0.0
3,3,0,42.82,77.6,70.04,59.7,0.0,0.0
3,3,1,31.38,72.7,54.04,87.42,0.0,0.0
3,3,2,30.35,71.07,57.71,91.82,0.0,0.0
3,3,3,32.7,63.95,59.62,91.21,0.0,0.0
3,3,4,39.0,68.84,58.0,95.3,0.0,0.0
3,4,0,39.0,66.47,62.11,58.18,45.19,0.0
3,4,1,32.11,59.79,57.56,62.73,72.06,0.0
3,4,2,31.96,57.72,56.39,64.39,82.14,0.0
3,4,3,35.63,60.83,56.24,66.06,80.92,0.0
3,4,4,36.22,58.61,57.86,65.0,82.14,0.0
3,5,0,39.0,66.47,55.65,57.27,19.54,36.14
3,5,1,37.24,59.94,56.83,51.06,19.24,63.42
3,5,2,43.84,68.55,53.01,55.61,13.13,72.27
3,5,3,43.84,57.57,49.49,46.82,23.51,73.89
3,5,4,40.03,65.88,50.95,57.42,24.27,77.29
4,0,0,76.78,0.0,0.0,0.0,0.0,0.0
4,0,1,80.5,0.0,0.0,0.0,0.0,0.0
