run,task,cycle,task_1,task_2,task_3,task_4,task_5,task_6
0,0,0,65.78,0.0,0.0,0.0,0.0,0.0
0,0,1,67.11,0.0,0.0,0.0,0.0,0.0
0,0,2,64.89,0.0,0.0,0.0,0.0,0.0
0,0,3,64.44,0.0,0.0,0.0,0.0,0.0
0,0,4,64.59,0.0,0.0,0.0,0.0,0.0
0,1,0,42.96,48.09,0.0,0.0,0.0,0.0
0,1,1,50.52,64.41,0.0,0.0,0.0,0.0
0,1,2,53.78,69.12,0.0,0.0,0.0,0.0
0,1,3,50.81,68.97,0.0,0.0,0.0,0.0
0,1,4,52.59,66.32,0.0,0.0,0.0,0.0
0,2,0,59.11,28.09,86.24,0.0,0.0,0.0
0,2,1,58.81,9.71,97.55,0.0,0.0,0.0
0,2,2,57.19,8.68,97.25,0.0,0.0,0.0
0,2,3,56.44,6.91,97.71,0.0,0.0,0.0
0,2,4,56.15,7.21,97.25,0.0,0.0,0.0
0,3,0,64.89,28.68,66.51,59.4,0.0,0.0
0,3,1,62.96,24.12,60.24,73.88,0.0,0.0
0,3,2,64.44,12.65,62.84,75.37,0.0,0.0
0,3,3,64.44,13.09,64.07,76.42,0.0,0.0
0,3,4,65.78,13.97,63.0,75.82,0.0,0.0
0,4,0,68.89,34.56,60.24,38.21,66.67,0.0
0,4,1,54.81,34.12,59.63,39.85,75.41,0.0
0,4,2,60.74,22.65,62.08,42.39,80.84,0.0
0,4,3,57.78,21.47,58.72,44.63,84.16,0.0
0,4,4,57.63,20.29,59.48,44.93,86.12,0.0
0,5,0,69.19,22.21,51.22,33.13,43.44,50.75
0,5,1,66.07,16.32,62.23,17.01,49.02,65.12
0,5,2,70.81,18.24,61.31,24.78,43.89,60.48
0,5,3,71.56,19.26,60.4,25.37,45.25,62.13
0,5,4,73.48,19.56,59.94,26.57,42.23,61.68
1,0,0,59.16,0.0,0.0,0.0,0.0,0.0
1,0,1,63.37,0.0,0.0,0.0,0.0,0.0
1,0,2,59.59,0.0,0.0,0.0,0.0,0.0
1,0,3,65.26,0.0,0.0,0.0,0.0,0.0
1,0,4,66.72,0.0,0.0,0.0,0.0,0.0
1,1,0,53.78,61.35,0.0,0.0,0.0,0.0
1,1,1,34.16,84.63,0.0,0.0,0.0,0.0
1,1,2,33.28,83.75,0.0,0.0,0.0,0.0
1,1,3,33.87,83.02,0.0,0.0,0.0,0.0
1,1,4,34.16,82.14,0.0,0.0,0.0,0.0
1,2,0,34.74,50.51,34.05,0.0,0.0,0.0
1,2,1,23.11,51.54,59.85,0.0,0.0,0.0
1,2,2,23.55,50.07,61.07,0.0,0.0,0.0
1,2,3,24.42,49.93,59.69,0.0,0.0,0.0
1,2,4,25.87,50.37,59.69,0.0,0.0,0.0
1,3,0,25.29,52.12,12.52,65.6,0.0,0.0
1,3,1,21.95,44.07,15.11,74.93,0.0,0.0
1,3,2,25.15,49.93,14.5,76.09,0.0,0.0
1,3,3,25.73,51.1,17.25,76.24,0.0,0.0
1,3,4,25.87,55.78,15.11,80.32,0.0,0.0
1,4,0,19.77,48.61,16.79,53.64,50.15,0.0
1,4,1,13.37,49.78,19.39,51.31,60.86,0.0
1,4,2,21.8,55.2,17.71,43.29,61.01,0.0
1,4,3,17.44,53.0,16.95,45.19,63.24,0.0
1,4,4,17.73,53.15,17.1,44.02,65.18,0.0
1,5,0,14.53,31.92,13.59,37.9,26.19,68.54
1,5,1,12.35,27.38,11.45,42.42,19.64,82.67
1,5,2,11.63,29.43,11.45,41.84,18.9,81.61
1,5,3,23.98,17.86,6.41,34.55,21.28,85.26
1,5,4,22.53,17.72,6.26,35.28,20.24,86.17
2,0,0,57.29,0.0,0.0,0.0,0.0,0.0
2,0,1,55.23,0.0,0.0,0.0,0.0,0.0
2,0,2,54.79,0.0,0.0,0.0,0.0,0.0
2,0,3,69.22,0.0,0.0,0.0,0.0,0.0
2,0,4,70.69,0.0,0.0,0.0,0.0,0.0
2,1,0,9.28,81.71,0.0,0.0,0.0,0.0
2,1,1,32.4,87.02,0.0,0.0,0.0,0.0
2,1,2,32.7,88.5,0.0,0.0,0.0,0.0
2,1,3,36.38,87.91,0.0,0.0,0.0,0.0
2,1,4,36.67,87.76,0.0,0.0,0.0,0.0
2,2,0,58.76,41.15,56.57,0.0,0.0,0.0
2,2,1,64.06,42.04,62.54,0.0,0.0,0.0
2,2,2,62.44,37.32,61.34,0.0,0.0,0.0
2,2,3,63.03,36.73,62.09,0.0,0.0,0.0
2,2,4,62.44,37.61,62.84,0.0,0.0,0.0
2,3,0,65.98,38.64,45.82,24.19,0.0,0.0
2,3,1,70.25,35.69,17.01,45.89,0.0,0.0
2,3,2,72.31,36.28,20.0,47.75,0.0,0.0
2,3,3,66.57,35.99,23.58,53.18,0.0,0.0
2,3,4,69.22,33.04,20.75,55.35,0.0,0.0
2,4,0,38.0,36.14,35.67,31.47,88.86,0.0
2,4,1,37.7,26.99,40.3,37.21,92.47,0.0
2,4,2,40.8,23.89,42.99,36.9,93.05,0.0
2,4,3,38.59,25.52,43.73,38.14,93.49,0.0
2,4,4,38.88,24.48,41.79,37.52,93.92,0.0
2,5,0,55.23,33.63,15.07,10.85,78.58,47.31
2,5,1,59.06,25.66,12.99,9.77,74.38,46.12
2,5,2,59.06,25.37,12.84,9.77,76.12,46.27
2,5,3,58.32,26.7,12.99,11.01,80.17,52.39
2,5,4,57.73,27.14,13.73,11.78,80.03,51.34
3,0,0,87.39,0.0,0.0,0.0,0.0,0.0
3,0,1,95.45,0.0,0.0,0.0,0.0,0.0
3,0,2,97.95,0.0,0.0,0.0,0.0,0.0
3,0,3,98.39,0.0,0.0,0.0,0.0,0.0
3,0,4,99.12,0.0,0.0,0.0,0.0,0.0
3,1,0,79.03,89.32,0.0,0.0,0.0,0.0
3,1,1,68.48,96.59,0.0,0.0,0.0,0.0
3,1,2,64.37,96.44,0.0,0.0,0.0,0.0
3,1,3,64.66,98.07,0.0,0.0,0.0,0.0
3,1,4,64.37,98.22,0.0,0.0,0.0,0.0
3,2,0,53.96,86.35,75.62,0.0,0.0,0.0
3,2,1,40.91,53.86,90.01,0.0,0.0,0.0
3,2,2,42.23,58.01,89.28,0.0,0.0,0.0
3,2,3,43.4,57.72,88.99,0.0,0.0,0.0
3,2,4,45.75,70.77,88.55,0.0,0.0,0.0
3,3,0,37.98,72.55,46.7,75.0,0.0,0.0
3,3,1,39.88,74.93,53.45,81.67,0.0,0.0
3,3,2,43.99,69.88,48.31,86.06,0.0,0.0
3,3,3,33.43,68.84,46.84,90.0,0.0,0.0
3,3,4,34.6,69.29,49.05,91.21,0.0,0.0
3,4,0,47.95,68.55,55.51,43.03,61.22,0.0
3,4,1,44.72,57.57,59.03,35.3,72.82,0.0
3,4,2,44.43,62.61,58.88,36.67,71.76,0.0
3,4,3,47.8,59.64,58.88,45.61,79.39,0.0
3,4,4,49.41,61.72,57.86,47.58,79.69,0.0
3,5,0,42.23,71.96,56.39,41.06,22.75,47.94
3,5,1,43.11,76.26,52.86,39.55,23.66,58.41
3,5,2,45.31,78.04,51.84,42.73,24.58,63.72
3,5,3,41.06,76.71,53.16,44.24,29.77,58.11
3,5,4,41.5,76.26,53.45,44.24,29.47,59.73
4,0,0,72.91,0.0,0.0,0.0,0.0,0.0
4,0,1,73.99,0.0,0.0,0.0,0.0,0.0
4,0,2,74.46,0.0,0.0,0.0,0.0,0.0
4,0,3,74.46,0.0,0.0,0.0,0.0,0.0
4,0,4,73.68,0.0,0.0,0.0,0.0,0.0
4,1,0,42.72,81.2,0.0,0.0,0.0,0.0
4,1,1,49.69,86.2,0.0,0.0,0.0,0.0
4,1,2,56.81,89.28,0.0,0.0,0.0,0.0
4,1,3,58.51,91.19,0.0,0.0,0.0,0.0
4,1,4,58.98,92.51,0.0,0.0,0.0,0.0
4,2,0,58.05,72.39,28.08,0.0,0.0,0.0
4,2,1,40.09,60.94,54.8,0.0,0.0,0.0
4,2,2,40.56,66.52,60.66,0.0,0.0,0.0
4,2,3,53.87,61.97,59.61,0.0,0.0,0.0
4,2,4,52.94,61.67,61.26,0.0,0.0,0.0
4,3,0,43.19,63.58,17.72,47.62,0.0,0.0
4,3,1,39.47,58.74,10.21,58.93,0.0,0.0
4,3,2,33.9,62.56,7.96,65.03,0.0,0.0
4,3,3,30.8,60.21,7.81,65.62,0.0,0.0
4,3,4,30.34,60.79,7.81,64.88,0.0,0.0
4,4,0,30.96,61.09,27.78,28.12,80.3,0.0
4,4,1,26.16,57.56,28.98,30.36,86.02,0.0
4,4,2,25.23,59.32,32.13,31.55,90.68,0.0
4,4,3,21.52,53.45,27.93,27.98,90.98,0.0
4,4,4,26.01,63.73,31.38,27.23,91.13,0.0
4,5,0,17.96,60.65,19.07,36.01,42.11,76.32
4,5,1,24.92,64.17,26.13,28.42,32.33,78.22
4,5,2,24.46,66.96,23.42,30.65,41.8,81.43
4,5,3,29.57,62.11,27.78,33.48,38.8,82.16
4,5,4,27.4,63.58,26.13,35.42,40.6,81.73
0,0,0,65.78,0.0,0.0,0.0,0.0,0.0
0,0,1,67.11,0.0,0.0,0.0,0.0,0.0
0,0,2,64.89,0.0,0.0,0.0,0.0,0.0
0,0,3,64.44,0.0,0.0,0.0,0.0,0.0
0,0,4,64.59,0.0,0.0,0.0,0.0,0.0
0,1,0,42.96,48.09,0.0,0.0,0.0,0.0
0,1,1,50.52,64.41,0.0,0.0,0.0,0.0
0,1,2,53.78,69.12,0.0,0.0,0.0,0.0
0,1,3,50.81,68.97,0.0,0.0,0.0,0.0
0,1,4,52.59,66.32,0.0,0.0,0.0,0.0
0,2,0,59.11,28.09,86.24,0.0,0.0,0.0
0,2,1,58.81,9.71,97.55,0.0,0.0,0.0
0,2,2,57.19,8.68,97.25,0.0,0.0,0.0
0,2,3,56.44,6.91,97.71,0.0,0.0,0.0
0,2,4,56.15,7.21,97.25,0.0,0.0,0.0
0,3,0,64.89,28.68,66.51,59.4,0.0,0.0
0,3,1,62.96,24.12,60.24,73.88,0.0,0.0
0,3,2,64.44,12.65,62.84,75.37,0.0,0.0
0,3,3,64.44,13.09,64.07,76.42,0.0,0.0
0,3,4,65.78,13.97,63.0,75.82,0.0,0.0
0,4,0,68.89,34.56,60.24,38.21,66.67,0.0
0,4,1,54.81,34.12,59.63,39.85,75.41,0.0
0,4,2,60.74,22.65,62.08,42.39,80.84,0.0
0,4,3,57.78,21.47,58.72,44.63,84.16,0.0
0,4,4,57.63,20.29,59.48,44.93,86.12,0.0
0,5,0,69.19,22.21,51.22,33.13,43.44,50.75
0,5,1,66.07,16.32,62.23,17.01,49.02,65.12
0,5,2,70.81,18.24,61.31,24.78,43.89,60.48
0,5,3,71.56,19.26,60.4,25.37,45.25,62.13
0,5,4,73.48,19.56,59.94,26.57,42.23,61.68
1,0,0,59.16,0.0,0.0,0.0,0.0,0.0
1,0,1,63.37,0.0,0.0,0.0,0.0,0.0
1,0,2,59.59,0.0,0.0,0.0,0.0,0.0
1,0,3,65.26,0.0,0.0,0.0,0.0,0.0
1,0,4,66.72,0.0,0.0,0.0,0.0,0.0
1,1,0,53.78,61.35,0.0,0.0,0.0,0.0
1,1,1,34.16,84.63,0.0,0.0,0.0,0.0
1,1,2,33.28,83.75,0.0,0.0,0.0,0.0
1,1,3,33.87,83.02,0.0,0.0,0.0,0.0
1,1,4,34.16,82.14,0.0,0.0,0.0,0.0
1,2,0,34.74,50.51,34.05,0.0,0.0,0.0
1,2,1,23.11,51.54,59.85,0.0,0.0,0.0
1,2,2,23.55,50.07,61.07,0.0,0.0,0.0
