run,task,cycle,task_1,task_2,task_3,task_4,task_5,task_6
0,0,0,60.74,0.0,0.0,0.0,0.0,0.0
0,0,1,60.15,0.0,0.0,0.0,0.0,0.0
0,0,2,61.63,0.0,0.0,0.0,0.0,0.0
0,0,3,86.81,0.0,0.0,0.0,0.0,0.0
0,0,4,89.48,0.0,0.0,0.0,0.0,0.0
0,1,0,84.15,52.65,0.0,0.0,0.0,0.0
0,1,1,86.67,60.59,0.0,0.0,0.0,0.0
0,1,2,74.96,69.41,0.0,0.0,0.0,0.0
0,1,3,74.52,70.44,0.0,0.0,0.0,0.0
0,1,4,73.48,76.47,0.0,0.0,0.0,0.0
0,2,0,63.41,44.41,72.94,0.0,0.0,0.0
0,2,1,74.07,33.82,81.65,0.0,0.0,0.0
0,2,2,77.04,28.82,88.69,0.0,0.0,0.0
0,2,3,78.67,30.44,86.7,0.0,0.0,0.0
0,2,4,75.26,31.03,93.58,0.0,0.0,0.0
0,3,0,75.7,31.32,67.43,57.61,0.0,0.0
0,3,1,72.74,28.38,65.44,74.18,0.0,0.0
0,3,2,76.44,31.32,67.43,73.88,0.0,0.0
0,3,3,69.93,27.65,62.54,78.06,0.0,0.0
0,3,4,71.26,32.06,68.35,78.81,0.0,0.0
0,4,0,65.19,29.26,61.47,40.0,50.98,0.0
0,4,1,58.37,30.44,59.63,46.12,66.67,0.0
0,4,2,55.41,28.68,61.47,41.04,81.15,0.0
0,4,3,57.63,29.41,59.63,44.03,81.75,0.0
0,4,4,53.63,26.32,58.1,46.57,87.78,0.0
0,5,0,60.44,17.21,57.65,47.01,45.25,39.97
0,5,1,64.15,22.21,57.19,44.63,42.08,48.2
0,5,2,62.07,15.29,57.95,32.39,40.72,67.37
0,5,3,65.63,16.62,58.56,30.3,41.33,62.72
0,5,4,62.07,18.09,56.88,30.15,44.34,71.26
1,0,0,56.1,0.0,0.0,0.0,0.0,0.0
1,0,1,55.96,0.0,0.0,0.0,0.0,0.0
1,0,2,57.12,0.0,0.0,0.0,0.0,0.0
1,0,3,59.45,0.0,0.0,0.0,0.0,0.0
1,0,4,60.17,0.0,0.0,0.0,0.0,0.0
1,1,0,13.08,84.77,0.0,0.0,0.0,0.0
1,1,1,12.06,80.23,0.0,0.0,0.0,0.0
1,1,2,13.37,75.99,0.0,0.0,0.0,0.0
1,1,3,10.76,74.23,0.0,0.0,0.0,0.0
1,1,4,31.83,91.95,0.0,0.0,0.0,0.0
1,2,0,41.72,69.84,14.05,0.0,0.0,0.0
1,2,1,35.03,65.59,43.21,0.0,0.0,0.0
1,2,2,30.67,63.98,61.37,0.0,0.0,0.0
1,2,3,33.43,62.66,71.3,0.0,0.0,0.0
1,2,4,33.14,63.1,70.99,0.0,0.0,0.0
1,3,0,29.94,64.71,21.22,53.5,0.0,0.0
1,3,1,29.07,59.44,18.02,66.18,0.0,0.0
1,3,2,29.94,58.27,16.79,73.03,0.0,0.0
1,3,3,25.73,59.0,15.88,74.2,0.0,0.0
1,3,4,25.29,58.13,16.79,75.66,0.0,0.0
1,4,0,21.37,50.37,23.21,49.71,34.52,0.0
1,4,1,25.73,52.86,18.47,50.58,44.94,0.0
1,4,2,17.59,53.88,22.6,52.92,53.42,0.0
1,4,3,15.55,52.12,23.66,47.81,60.86,0.0
1,4,4,15.12,51.39,18.93,44.61,68.9,0.0
1,5,0,21.51,42.46,16.49,41.69,40.18,41.49
1,5,1,21.37,34.11,13.28,36.15,23.96,65.5
1,5,2,17.59,40.41,15.42,47.52,19.64,73.4
1,5,3,20.49,41.73,11.6,44.9,15.62,77.66
1,5,4,18.46,42.02,12.06,48.1,20.68,80.24
2,0,0,56.85,0.0,0.0,0.0,0.0,0.0
2,0,1,57.14,0.0,0.0,0.0,0.0,0.0
2,0,2,55.08,0.0,0.0,0.0,0.0,0.0
2,0,3,53.46,0.0,0.0,0.0,0.0,0.0
2,0,4,53.46,0.0,0.0,0.0,0.0,0.0
2,1,0,13.55,71.09,0.0,0.0,0.0,0.0
2,1,1,13.25,75.81,0.0,0.0,0.0,0.0
2,1,2,12.08,86.58,0.0,0.0,0.0,0.0
2,1,3,13.25,85.99,0.0,0.0,0.0,0.0
2,1,4,13.4,84.66,0.0,0.0,0.0,0.0
