run,task,cycle,task_1,task_2,task_3,task_4,task_5,task_6
0,0,0,93.19,0.0,0.0,0.0,0.0,0.0
0,1,0,83.41,67.21,0.0,0.0,0.0,0.0
0,2,0,46.81,1.62,98.93,0.0,0.0,0.0
0,3,0,62.96,4.26,32.57,87.31,0.0,0.0
0,4,0,1.33,0.44,23.39,11.94,95.93,0.0
0,5,0,33.48,0.44,24.31,12.54,34.39,72.9
1,0,0,57.99,0.0,0.0,0.0,0.0,0.0
1,1,0,27.33,87.41,0.0,0.0,0.0,0.0
1,2,0,8.28,45.97,50.84,0.0,0.0,0.0
1,3,0,0.0,0.73,0.76,80.17,0.0,0.0
1,4,0,1.31,43.78,2.9,20.12,51.04,0.0
1,5,0,0.0,4.69,0.46,8.89,2.38,95.9
2,0,0,61.86,0.0,0.0,0.0,0.0,0.0
2,1,0,13.84,59.44,0.0,0.0,0.0,0.0
2,2,0,11.63,58.26,1.04,0.0,0.0,0.0
2,3,0,7.95,56.93,0.75,0.62,0.0,0.0
2,4,0,0.0,1.62,1.34,22.48,87.12,0.0
2,5,0,2.5,17.11,5.67,5.74,66.28,40.75
3,0,0,91.79,0.0,0.0,0.0,0.0,0.0
3,1,0,54.84,80.56,0.0,0.0,0.0,0.0
3,2,0,10.56,44.66,91.34,0.0,0.0,0.0
3,3,0,9.82,44.66,4.99,87.73,0.0,0.0
3,4,0,28.3,43.62,8.52,2.58,88.24,0.0
3,5,0,35.19,58.01,13.22,3.48,9.62,54.13
4,0,0,80.34,0.0,0.0,0.0,0.0,0.0
4,1,0,47.83,88.25,0.0,0.0,0.0,0.0
4,2,0,16.87,74.3,32.58,0.0,0.0,0.0
4,3,0,13.78,51.4,4.65,55.06,0.0,0.0
4,4,0,2.94,51.84,7.81,23.81,86.77,0.0
4,5,0,10.22,61.53,18.32,9.23,17.74,82.75
