run,task,cycle,task_1,task_2,task_3,task_4,task_5,task_6
0,0,0,69.93,0.0,0.0,0.0,0.0,0.0
0,0,1,75.7,0.0,0.0,0.0,0.0,0.0
0,0,2,73.33,0.0,0.0,0.0,0.0,0.0
0,0,3,72.0,0.0,0.0,0.0,0.0,0.0
0,0,4,71.56,0.0,0.0,0.0,0.0,0.0
0,1,0,64.44,65.74,0.0,0.0,0.0,0.0
0,1,1,66.37,77.65,0.0,0.0,0.0,0.0
0,1,2,66.07,76.91,0.0,0.0,0.0,0.0
0,1,3,68.3,73.68,0.0,0.0,0.0,0.0
0,1,4,66.81,74.85,0.0,0.0,0.0,0.0
0,2,0,68.3,35.29,79.97,0.0,0.0,0.0
0,2,1,70.81,13.24,97.09,0.0,0.0,0.0
0,2,2,71.56,14.56,96.64,0.0,0.0,0.0
0,2,3,71.7,15.15,95.72,0.0,0.0,0.0
0,2,4,72.89,16.18,96.02,0.0,0.0,0.0
0,3,0,74.67,26.76,56.73,74.93,0.0,0.0
0,3,1,76.59,19.71,56.88,83.73,0.0,0.0
0,3,2,77.33,20.44,57.03,83.13,0.0,0.0
0,3,3,77.19,19.56,55.35,84.78,0.0,0.0
0,3,4,77.33,18.38,55.35,84.33,0.0,0.0
0,4,0,67.26,20.44,63.15,53.88,78.28,0.0
0,4,1,60.3,22.94,57.49,48.66,85.37,0.0
0,4,2,60.59,18.53,56.12,37.16,91.1,0.0
0,4,3,58.37,15.44,55.2,42.54,90.2,0.0
0,4,4,59.56,14.12,56.88,40.9,92.46,0.0
0,5,0,68.15,25.0,53.67,27.16,42.68,66.02
0,5,1,66.07,21.47,55.2,14.78,48.87,73.05
0,5,2,67.26,20.59,52.29,20.0,47.51,75.75
0,5,3,67.85,21.18,52.14,17.61,46.15,74.7
0,5,4,67.7,21.62,52.14,15.97,43.74,74.1
1,0,0,59.74,0.0,0.0,0.0,0.0,0.0
1,0,1,61.48,0.0,0.0,0.0,0.0,0.0
1,0,2,59.3,0.0,0.0,0.0,0.0,0.0
1,0,3,61.63,0.0,0.0,0.0,0.0,0.0
1,0,4,60.03,0.0,0.0,0.0,0.0,0.0
1,1,0,58.14,77.75,0.0,0.0,0.0,0.0
1,1,1,18.31,94.88,0.0,0.0,0.0,0.0
1,1,2,24.85,95.46,0.0,0.0,0.0,0.0
1,1,3,27.18,94.58,0.0,0.0,0.0,0.0
1,1,4,30.67,95.46,0.0,0.0,0.0,0.0
1,2,0,47.67,64.71,31.15,0.0,0.0,0.0
1,2,1,41.86,57.69,61.37,0.0,0.0,0.0
1,2,2,34.88,58.57,66.11,0.0,0.0,0.0
1,2,3,31.69,57.83,67.18,0.0,0.0,0.0
1,2,4,31.25,58.86,68.09,0.0,0.0,0.0
1,3,0,25.44,57.69,21.98,74.78,0.0,0.0
1,3,1,37.79,59.15,16.64,78.57,0.0,0.0
1,3,2,27.18,54.9,19.69,85.71,0.0,0.0
1,3,3,25.87,55.2,20.76,86.44,0.0,0.0
1,3,4,26.31,55.34,23.05,85.28,0.0,0.0
1,4,0,26.74,56.95,33.28,46.94,59.08,0.0
1,4,1,20.78,54.76,23.05,44.31,72.32,0.0
1,4,2,19.04,55.05,23.36,44.17,73.51,0.0
1,4,3,19.48,54.61,23.21,45.04,71.73,0.0
1,4,4,17.44,53.0,22.6,43.29,72.77,0.0
1,5,0,22.38,29.72,32.82,38.92,24.85,74.77
1,5,1,21.66,16.11,23.36,45.77,17.86,87.84
1,5,2,21.51,21.52,23.21,42.71,12.95,87.84
1,5,3,21.22,20.2,22.9,42.42,13.54,87.39
1,5,4,25.29,18.3,23.82,43.59,15.62,86.93
2,0,0,56.11,0.0,0.0,0.0,0.0,0.0
2,0,1,55.96,0.0,0.0,0.0,0.0,0.0
2,0,2,57.73,0.0,0.0,0.0,0.0,0.0
2,0,3,59.79,0.0,0.0,0.0,0.0,0.0
2,0,4,55.23,0.0,0.0,0.0,0.0,0.0
2,1,0,15.91,76.25,0.0,0.0,0.0,0.0
2,1,1,7.81,80.68,0.0,0.0,0.0,0.0
