run,task,cycle,task_1,task_2,task_3,task_4,task_5,task_6
0,0,0,63.41,0.0,0.0,0.0,0.0,0.0
0,0,1,61.78,0.0,0.0,0.0,0.0,0.0
0,0,2,60.3,0.0,0.0,0.0,0.0,0.0
0,0,3,92.74,0.0,0.0,0.0,0.0,0.0
0,0,4,97.19,0.0,0.0,0.0,0.0,0.0
0,1,0,92.89,57.79,0.0,0.0,0.0,0.0
0,1,1,90.07,73.68,0.0,0.0,0.0,0.0
0,1,2,88.15,78.68,0.0,0.0,0.0,0.0
0,1,3,89.33,82.06,0.0,0.0,0.0,0.0
0,1,4,89.63,81.76,0.0,0.0,0.0,0.0
0,2,0,77.33,51.62,75.99,0.0,0.0,0.0
0,2,1,80.15,40.44,90.83,0.0,0.0,0.0
0,2,2,82.81,38.68,92.81,0.0,0.0,0.0
0,2,3,81.04,40.88,90.98,0.0,0.0,0.0
0,2,4,81.63,42.35,90.52,0.0,0.0,0.0
0,3,0,83.26,30.0,68.65,65.37,0.0,0.0
0,3,1,86.67,39.12,65.6,73.43,0.0,0.0
0,3,2,86.07,31.32,63.76,80.6,0.0,0.0
0,3,3,81.78,37.65,70.18,83.73,0.0,0.0
0,3,4,81.48,37.79,69.42,84.93,0.0,0.0
0,4,0,73.19,33.82,64.98,49.7,67.27,0.0
0,4,1,63.85,35.0,60.24,55.82,89.44,0.0
0,4,2,60.74,30.44,58.1,49.7,93.82,0.0
0,4,3,54.07,28.97,59.48,48.21,93.67,0.0
0,4,4,58.96,29.56,63.3,49.85,95.48,0.0
0,5,0,65.04,24.41,55.05,39.1,51.28,53.74
0,5,1,66.07,23.38,59.79,38.36,59.73,78.14
0,5,2,67.26,27.5,59.94,34.93,61.69,79.64
0,5,3,64.0,22.5,56.88,35.37,56.56,83.23
0,5,4,60.15,19.71,57.19,26.87,57.32,86.53
1,0,0,56.69,0.0,0.0,0.0,0.0,0.0
1,0,1,61.19,0.0,0.0,0.0,0.0,0.0
