run,task,cycle,task_1,task_2,task_3,task_4,task_5,task_6
0,0,0,58.22,0.0,0.0,0.0,0.0,0.0
0,0,1,64.0,0.0,0.0,0.0,0.0,0.0
0,0,2,78.07,0.0,0.0,0.0,0.0,0.0
0,0,3,77.04,0.0,0.0,0.0,0.0,0.0
0,0,4,77.33,0.0,0.0,0.0,0.0,0.0
0,0,5,77.93,0.0,0.0,0.0,0.0,0.0
0,0,6,81.78,0.0,0.0,0.0,0.0,0.0
0,1,0,57.63,55.44,0.0,0.0,0.0,0.0
0,1,1,57.19,67.94,0.0,0.0,0.0,0.0
0,1,2,56.74,67.5,0.0,0.0,0.0,0.0
0,1,3,56.44,66.32,0.0,0.0,0.0,0.0
0,1,4,56.0,66.76,0.0,0.0,0.0,0.0
0,1,5,55.7,66.76,0.0,0.0,0.0,0.0
0,1,6,55.7,66.62,0.0,0.0,0.0,0.0
0,2,0,60.3,50.29,60.55,0.0,0.0,0.0
0,2,1,68.15,43.38,86.54,0.0,0.0,0.0
0,2,2,69.63,39.85,87.61,0.0,0.0,0.0
0,2,3,69.48,40.0,87.46,0.0,0.0,0.0
0,2,4,69.48,40.0,87.46,0.0,0.0,0.0
0,2,5,68.74,42.79,90.83,0.0,0.0,0.0
0,2,6,68.74,42.35,90.67,0.0,0.0,0.0
0,3,0,71.56,46.62,72.32,42.54,0.0,0.0
0,3,1,73.04,39.56,62.08,59.1,0.0,0.0
0,3,2,73.04,40.59,61.93,59.1,0.0,0.0
0,3,3,73.04,41.03,61.77,59.1,0.0,0.0
0,3,4,73.04,40.88,61.77,59.4,0.0,0.0
0,3,5,73.33,41.32,61.93,59.1,0.0,0.0
0,3,6,73.33,41.18,61.77,58.81,0.0,0.0
0,4,0,68.44,35.59,68.96,29.4,44.04,0.0
0,4,1,68.44,34.85,69.27,28.06,49.02,0.0
0,4,2,68.59,34.56,68.65,28.21,48.87,0.0
0,4,3,68.59,34.71,68.65,28.51,49.02,0.0
0,4,4,68.59,34.71,68.35,28.81,48.87,0.0
0,4,5,68.59,34.41,68.04,29.1,48.72,0.0
0,4,6,68.89,33.68,67.89,29.4,48.57,0.0
0,5,0,74.07,28.24,66.36,34.48,42.53,19.46
0,5,1,74.52,16.03,56.88,18.06,35.14,52.1
0,5,2,73.19,15.0,53.52,13.13,37.71,53.74
0,5,3,73.19,14.85,53.36,12.84,37.71,53.44
0,5,4,73.04,14.71,53.36,12.39,37.41,53.44
0,5,5,73.04,14.41,53.36,12.54,36.95,53.44
0,5,6,73.19,13.53,53.36,12.69,36.95,52.99
1,0,0,66.72,0.0,0.0,0.0,0.0,0.0
1,0,1,67.3,0.0,0.0,0.0,0.0,0.0
1,0,2,67.59,0.0,0.0,0.0,0.0,0.0
1,0,3,68.31,0.0,0.0,0.0,0.0,0.0
1,0,4,72.09,0.0,0.0,0.0,0.0,0.0
