run,task,cycle,task_1,task_2,task_3,task_4,task_5,task_6
0,0,0,61.66,0.0,0.0,0.0,0.0,0.0
0,0,1,70.55,0.0,0.0,0.0,0.0,0.0
0,0,2,70.95,0.0,0.0,0.0,0.0,0.0
0,0,3,72.92,0.0,0.0,0.0,0.0,0.0
0,0,4,65.02,0.0,0.0,0.0,0.0,0.0
0,1,0,35.97,47.42,0.0,0.0,0.0,0.0
0,1,1,41.9,52.58,0.0,0.0,0.0,0.0
0,1,2,52.37,60.68,0.0,0.0,0.0,0.0
0,1,3,51.78,60.38,0.0,0.0,0.0,0.0
0,1,4,51.58,60.53,0.0,0.0,0.0,0.0
0,2,0,36.96,54.79,50.61,0.0,0.0,0.0
0,2,1,55.53,49.34,66.52,0.0,0.0,0.0
0,2,2,56.92,42.86,64.39,0.0,0.0,0.0
0,2,3,55.73,50.37,66.06,0.0,0.0,0.0
0,2,4,55.53,49.04,65.76,0.0,0.0,0.0
0,3,0,56.92,51.1,63.33,17.27,0.0,0.0
0,3,1,63.64,48.6,56.67,22.82,0.0,0.0
0,3,2,64.03,49.78,56.52,22.82,0.0,0.0
0,3,3,66.8,59.79,58.48,34.53,0.0,0.0
0,3,4,66.8,49.48,63.48,39.79,0.0,0.0
0,4,0,57.51,49.93,58.33,42.94,16.09,0.0
0,4,1,62.45,41.38,54.85,45.05,48.42,0.0
0,4,2,62.45,41.97,52.27,36.64,53.23,0.0
0,4,3,65.22,37.26,51.97,40.54,54.59,0.0
0,4,4,61.26,43.45,53.79,41.44,53.23,0.0
0,5,0,64.82,37.11,55.61,40.39,50.68,13.49
0,5,1,64.82,32.55,49.55,30.18,52.48,26.39
0,5,2,65.81,34.17,48.94,23.12,52.03,37.93
0,5,3,65.81,33.87,48.64,23.27,51.58,37.63
0,5,4,65.81,33.87,48.79,23.57,52.03,37.63
1,0,0,62.02,0.0,0.0,0.0,0.0,0.0
1,0,1,62.98,0.0,0.0,0.0,0.0,0.0
1,0,2,64.73,0.0,0.0,0.0,0.0,0.0
1,0,3,59.3,0.0,0.0,0.0,0.0,0.0
1,0,4,60.47,0.0,0.0,0.0,0.0,0.0
1,1,0,52.52,51.02,0.0,0.0,0.0,0.0
1,1,1,45.54,50.73,0.0,0.0,0.0,0.0
1,1,2,45.16,50.73,0.0,0.0,0.0,0.0
1,1,3,44.77,50.58,0.0,0.0,0.0,0.0
1,1,4,44.57,50.73,0.0,0.0,0.0,0.0
1,2,0,44.77,50.29,14.95,0.0,0.0,0.0
1,2,1,41.28,42.11,21.9,0.0,0.0,0.0
1,2,2,42.05,41.23,23.41,0.0,0.0,0.0
1,2,3,42.05,40.5,24.92,0.0,0.0,0.0
1,2,4,42.05,40.06,25.83,0.0,0.0,0.0
1,3,0,54.46,24.71,10.12,3.69,0.0,0.0
1,3,1,57.17,25.29,8.31,6.93,0.0,0.0
1,3,2,57.17,25.44,8.31,6.64,0.0,0.0
1,3,3,56.4,25.29,8.76,6.49,0.0,0.0
1,3,4,56.4,26.17,8.91,6.49,0.0,0.0
1,4,0,57.56,26.61,9.37,6.19,2.37,0.0
1,4,1,58.14,26.75,9.37,6.49,2.37,0.0
1,4,2,59.3,23.25,5.44,2.36,1.33,0.0
1,4,3,58.53,28.95,7.1,2.51,2.96,0.0
1,4,4,61.05,35.67,9.21,2.65,2.81,0.0
1,5,0,63.76,22.37,3.78,0.88,2.22,12.1
1,5,1,64.15,28.22,6.04,1.47,1.78,9.53
1,5,2,63.95,25.29,4.23,1.47,1.48,10.44
1,5,3,63.95,24.85,4.23,1.47,1.63,11.35
1,5,4,63.95,24.42,4.23,1.47,1.78,11.5
2,0,0,53.05,0.0,0.0,0.0,0.0,0.0
2,0,1,55.4,0.0,0.0,0.0,0.0,0.0
2,0,2,56.58,0.0,0.0,0.0,0.0,0.0
2,0,3,57.76,0.0,0.0,0.0,0.0,0.0
2,0,4,59.53,0.0,0.0,0.0,0.0,0.0
2,1,0,17.49,47.05,0.0,0.0,0.0,0.0
2,1,1,4.52,54.57,0.0,0.0,0.0,0.0
2,1,2,4.72,55.31,0.0,0.0,0.0,0.0
2,1,3,4.91,55.6,0.0,0.0,0.0,0.0
2,1,4,5.11,56.05,0.0,0.0,0.0,0.0
2,2,0,10.22,41.15,40.48,0.0,0.0,0.0
2,2,1,7.07,28.47,51.04,0.0,0.0,0.0
2,2,2,6.88,28.76,51.04,0.0,0.0,0.0
2,2,3,6.88,28.61,51.04,0.0,0.0,0.0
2,2,4,6.88,29.06,50.74,0.0,0.0,0.0
2,3,0,6.29,34.37,39.73,15.67,0.0,0.0
2,3,1,7.86,34.07,28.27,23.2,0.0,0.0
2,3,2,9.04,21.24,24.26,36.41,0.0,0.0
2,3,3,9.04,20.94,24.11,36.71,0.0,0.0
2,3,4,9.04,20.35,23.81,36.71,0.0,0.0
2,4,0,13.16,29.65,29.76,28.11,46.32,0.0
2,4,1,9.63,23.01,26.19,31.64,49.85,0.0
2,4,2,9.82,23.75,26.04,31.49,49.56,0.0
2,4,3,10.41,23.89,26.04,31.49,49.26,0.0
2,4,4,10.41,23.75,26.04,32.57,48.68,0.0
