run,task,cycle,task_1,task_2,task_3,task_4,task_5,task_6
0,0,0,61.66,0.0,0.0,0.0,0.0,0.0
0,0,1,70.55,0.0,0.0,0.0,0.0,0.0
0,0,2,70.95,0.0,0.0,0.0,0.0,0.0
0,0,3,72.92,0.0,0.0,0.0,0.0,0.0
0,0,4,65.02,0.0,0.0,0.0,0.0,0.0
0,1,0,41.9,58.47,0.0,0.0,0.0,0.0
0,1,1,42.29,58.32,0.0,0.0,0.0,0.0
0,1,2,41.9,57.88,0.0,0.0,0.0,0.0
0,1,3,42.29,57.44,0.0,0.0,0.0,0.0
0,1,4,41.9,57.29,0.0,0.0,0.0,0.0
0,2,0,32.81,59.94,49.39,0.0,0.0,0.0
0,2,1,36.76,58.91,42.12,0.0,0.0,0.0
0,2,2,37.55,59.06,41.82,0.0,0.0,0.0
0,2,3,45.45,55.67,53.64,0.0,0.0,0.0
0,2,4,45.65,55.96,53.64,0.0,0.0,0.0
0,3,0,55.73,47.72,46.06,36.04,0.0,0.0
0,3,1,56.32,43.15,45.61,51.5,0.0,0.0
0,3,2,56.13,43.45,45.61,51.5,0.0,0.0
0,3,3,56.13,43.89,45.45,51.65,0.0,0.0
0,3,4,56.13,44.04,45.61,51.95,0.0,0.0
0,4,0,59.09,43.0,38.18,49.55,34.89,0.0
0,4,1,49.41,37.26,37.12,59.61,46.47,0.0
0,4,2,49.01,36.97,36.52,60.21,46.92,0.0
0,4,3,58.5,35.05,35.45,52.1,60.75,0.0
0,4,4,58.3,34.9,35.15,51.8,60.6,0.0
0,5,0,60.08,33.58,35.15,55.26,55.19,18.29
0,5,1,51.38,25.63,28.03,48.5,53.23,22.49
0,5,2,51.58,26.07,28.33,48.35,53.08,22.49
0,5,3,51.78,27.1,28.48,48.05,53.08,22.19
0,5,4,51.58,27.1,28.94,48.2,53.08,22.19
1,0,0,62.02,0.0,0.0,0.0,0.0,0.0
1,0,1,62.98,0.0,0.0,0.0,0.0,0.0
1,0,2,64.73,0.0,0.0,0.0,0.0,0.0
1,0,3,59.3,0.0,0.0,0.0,0.0,0.0
1,0,4,60.47,0.0,0.0,0.0,0.0,0.0
1,1,0,40.31,45.47,0.0,0.0,0.0,0.0
1,1,1,48.64,53.65,0.0,0.0,0.0,0.0
1,1,2,47.09,52.92,0.0,0.0,0.0,0.0
1,1,3,46.32,53.51,0.0,0.0,0.0,0.0
1,1,4,46.12,53.65,0.0,0.0,0.0,0.0
1,2,0,32.17,42.4,22.81,0.0,0.0,0.0
1,2,1,15.7,41.08,37.16,0.0,0.0,0.0
1,2,2,18.22,40.79,39.12,0.0,0.0,0.0
1,2,3,18.22,41.52,38.37,0.0,0.0,0.0
1,2,4,18.22,37.57,41.99,0.0,0.0,0.0
1,3,0,35.85,44.88,31.57,12.09,0.0,0.0
1,3,1,19.96,33.19,28.25,24.48,0.0,0.0
1,3,2,22.09,33.19,27.95,23.6,0.0,0.0
1,3,3,22.48,32.46,27.19,23.16,0.0,0.0
1,3,4,22.67,32.31,26.89,23.45,0.0,0.0
1,4,0,25.97,45.61,34.44,16.08,4.88,0.0
1,4,1,15.12,44.01,30.36,31.12,22.63,0.0
1,4,2,16.47,40.64,27.64,29.5,31.95,0.0
1,4,3,14.15,42.4,32.63,26.99,36.98,0.0
1,4,4,14.34,42.54,32.48,26.7,36.83,0.0
1,5,0,18.22,46.2,35.35,27.43,24.7,28.9
1,5,1,15.7,44.15,31.12,24.48,23.96,36.61
1,5,2,15.89,41.67,29.61,23.3,22.93,36.46
1,5,3,17.64,41.08,29.76,22.57,23.08,36.61
1,5,4,17.44,41.23,29.91,22.57,22.78,36.76
2,0,0,53.05,0.0,0.0,0.0,0.0,0.0
2,0,1,55.4,0.0,0.0,0.0,0.0,0.0
2,0,2,56.58,0.0,0.0,0.0,0.0,0.0
2,0,3,57.76,0.0,0.0,0.0,0.0,0.0
2,0,4,59.53,0.0,0.0,0.0,0.0,0.0
2,1,0,23.18,45.87,0.0,0.0,0.0,0.0
2,1,1,5.3,55.46,0.0,0.0,0.0,0.0
2,1,2,3.14,59.88,0.0,0.0,0.0,0.0
2,1,3,3.14,59.88,0.0,0.0,0.0,0.0
2,1,4,3.14,59.88,0.0,0.0,0.0,0.0
2,2,0,20.43,34.22,37.5,0.0,0.0,0.0
2,2,1,6.48,37.91,52.23,0.0,0.0,0.0
2,2,2,6.68,38.5,52.23,0.0,0.0,0.0
2,2,3,6.29,39.38,52.08,0.0,0.0,0.0
2,2,4,6.48,39.97,51.34,0.0,0.0,0.0
2,3,0,13.56,35.4,44.79,16.28,0.0,0.0
2,3,1,7.07,27.73,40.18,23.35,0.0,0.0
2,3,2,7.47,27.88,34.52,32.87,0.0,0.0
2,3,3,7.47,28.17,33.48,32.26,0.0,0.0
2,3,4,7.27,28.17,33.48,33.33,0.0,0.0
2,4,0,26.33,27.14,27.83,36.56,46.76,0.0
2,4,1,20.24,26.7,17.86,39.63,52.5,0.0
2,4,2,20.83,26.84,17.71,39.78,52.35,0.0
2,4,3,20.83,26.99,17.71,39.63,52.35,0.0
2,4,4,20.63,27.14,17.56,39.78,52.21,0.0
