run,task,cycle,task_1,task_2,task_3,task_4,task_5,task_6
0,0,0,61.66,0.0,0.0,0.0,0.0,0.0
0,0,1,70.55,0.0,0.0,0.0,0.0,0.0
0,0,2,70.95,0.0,0.0,0.0,0.0,0.0
0,0,3,72.92,0.0,0.0,0.0,0.0,0.0
0,0,4,65.02,0.0,0.0,0.0,0.0,0.0
0,1,0,32.41,51.1,0.0,0.0,0.0,0.0
0,1,1,53.95,65.98,0.0,0.0,0.0,0.0
0,1,2,53.75,66.13,0.0,0.0,0.0,0.0
0,1,3,54.15,66.42,0.0,0.0,0.0,0.0
0,1,4,54.15,66.27,0.0,0.0,0.0,0.0
0,2,0,43.68,59.06,45.61,0.0,0.0,0.0
0,2,1,57.11,61.86,47.73,0.0,0.0,0.0
0,2,2,60.87,57.73,60.45,0.0,0.0,0.0
0,2,3,64.23,57.88,62.42,0.0,0.0,0.0
0,2,4,67.39,57.29,63.18,0.0,0.0,0.0
0,3,0,59.09,59.65,59.39,16.22,0.0,0.0
0,3,1,65.61,54.49,53.94,45.95,0.0,0.0
0,3,2,66.4,54.79,53.94,45.65,0.0,0.0
0,3,3,70.95,49.63,52.42,46.7,0.0,0.0
0,3,4,71.15,50.07,51.36,46.7,0.0,0.0
0,4,0,61.07,48.31,54.09,34.23,29.32,0.0
0,4,1,59.88,43.15,52.27,36.94,32.93,0.0
0,4,2,57.11,41.09,50.61,37.09,35.94,0.0
0,4,3,58.89,41.38,50.45,36.79,35.79,0.0
0,4,4,59.29,41.38,50.45,36.64,35.64,0.0
0,5,0,61.86,45.07,51.52,36.19,37.14,13.49
0,5,1,63.04,42.12,54.55,26.73,42.11,16.94
0,5,2,64.82,43.74,53.64,28.53,43.16,19.64
0,5,3,63.64,42.71,53.48,28.23,41.05,21.14
0,5,4,62.25,41.83,53.48,28.53,40.0,21.89
1,0,0,62.02,0.0,0.0,0.0,0.0,0.0
1,0,1,62.98,0.0,0.0,0.0,0.0,0.0
1,0,2,64.73,0.0,0.0,0.0,0.0,0.0
1,0,3,59.3,0.0,0.0,0.0,0.0,0.0
1,0,4,60.47,0.0,0.0,0.0,0.0,0.0
1,1,0,51.36,51.61,0.0,0.0,0.0,0.0
1,1,1,52.33,50.0,0.0,0.0,0.0,0.0
1,1,2,52.13,49.27,0.0,0.0,0.0,0.0
1,1,3,43.99,49.27,0.0,0.0,0.0,0.0
1,1,4,43.8,49.56,0.0,0.0,0.0,0.0
1,2,0,41.28,40.64,20.39,0.0,0.0,0.0
1,2,1,35.08,44.3,28.7,0.0,0.0,0.0
1,2,2,36.24,45.91,29.15,0.0,0.0,0.0
1,2,3,37.21,45.76,30.06,0.0,0.0,0.0
1,2,4,37.21,45.76,29.91,0.0,0.0,0.0
1,3,0,40.7,30.41,14.8,4.28,0.0,0.0
1,3,1,39.92,19.15,19.03,11.8,0.0,0.0
1,3,2,40.31,20.76,19.64,12.39,0.0,0.0
1,3,3,40.31,21.78,20.09,12.54,0.0,0.0
1,3,4,41.09,22.81,20.09,12.39,0.0,0.0
1,4,0,40.89,23.25,20.54,11.95,2.66,0.0
1,4,1,48.26,26.61,13.6,6.93,4.73,0.0
1,4,2,47.67,29.39,14.35,7.37,5.18,0.0
1,4,3,47.48,28.65,14.65,7.67,5.62,0.0
1,4,4,47.87,28.36,13.75,8.26,5.77,0.0
1,5,0,48.26,25.73,11.33,5.9,2.66,12.1
1,5,1,47.29,37.72,11.78,5.01,2.07,8.47
1,5,2,46.9,36.99,10.88,5.75,1.92,10.14
1,5,3,47.48,35.96,10.73,5.75,2.07,10.44
1,5,4,47.48,35.82,11.03,5.9,2.07,11.04
2,0,0,53.05,0.0,0.0,0.0,0.0,0.0
2,0,1,55.4,0.0,0.0,0.0,0.0,0.0
2,0,2,56.58,0.0,0.0,0.0,0.0,0.0
2,0,3,57.76,0.0,0.0,0.0,0.0,0.0
2,0,4,59.53,0.0,0.0,0.0,0.0,0.0
2,1,0,23.18,43.66,0.0,0.0,0.0,0.0
2,1,1,8.45,52.21,0.0,0.0,0.0,0.0
2,1,2,10.22,51.18,0.0,0.0,0.0,0.0
2,1,3,10.41,51.18,0.0,0.0,0.0,0.0
2,1,4,5.89,61.21,0.0,0.0,0.0,0.0
2,2,0,2.75,45.72,29.17,0.0,0.0,0.0
2,2,1,3.73,40.27,45.83,0.0,0.0,0.0
2,2,2,4.72,38.2,46.58,0.0,0.0,0.0
2,2,3,4.72,37.91,46.88,0.0,0.0,0.0
2,2,4,4.32,36.87,46.13,0.0,0.0,0.0
2,3,0,6.09,43.95,36.76,15.51,0.0,0.0
2,3,1,7.86,39.97,36.46,16.28,0.0,0.0
2,3,2,7.47,39.53,37.35,17.2,0.0,0.0
2,3,3,7.27,40.27,37.2,18.13,0.0,0.0
2,3,4,7.66,45.58,40.77,23.04,0.0,0.0
2,4,0,3.54,45.13,33.78,17.05,38.97,0.0
2,4,1,1.96,47.94,27.83,24.42,46.03,0.0
2,4,2,2.16,47.49,27.98,24.88,46.03,0.0
2,4,3,2.16,47.49,28.27,25.19,45.74,0.0
2,4,4,2.95,47.05,29.17,24.58,46.03,0.0
