run,task,cycle,task_1,task_2,task_3,task_4,task_5,task_6
0,0,0,63.41,0.0,0.0,0.0,0.0,0.0
0,0,1,63.11,0.0,0.0,0.0,0.0,0.0
0,0,2,64.44,0.0,0.0,0.0,0.0,0.0
0,0,3,92.44,0.0,0.0,0.0,0.0,0.0
0,0,4,96.3,0.0,0.0,0.0,0.0,0.0
0,1,0,87.85,63.82,0.0,0.0,0.0,0.0
0,1,1,87.7,64.41,0.0,0.0,0.0,0.0
0,1,2,86.07,77.79,0.0,0.0,0.0,0.0
0,1,3,88.74,78.97,0.0,0.0,0.0,0.0
0,1,4,84.15,87.5,0.0,0.0,0.0,0.0
0,2,0,72.74,44.56,84.1,0.0,0.0,0.0
0,2,1,76.0,33.24,92.97,0.0,0.0,0.0
0,2,2,77.63,24.85,96.02,0.0,0.0,0.0
0,2,3,78.22,26.32,94.8,0.0,0.0,0.0
0,2,4,79.26,25.0,95.41,0.0,0.0,0.0
0,3,0,79.56,40.88,72.48,51.94,0.0,0.0
0,3,1,76.74,33.68,69.27,69.85,0.0,0.0
0,3,2,77.63,35.29,63.46,83.88,0.0,0.0
0,3,3,72.44,34.71,60.55,85.52,0.0,0.0
0,3,4,72.74,36.47,59.63,86.57,0.0,0.0
0,4,0,65.19,28.09,56.12,63.28,64.56,0.0
0,4,1,60.0,30.29,47.09,55.07,81.3,0.0
0,4,2,58.37,28.24,53.82,43.58,89.14,0.0
0,4,3,54.52,24.56,59.17,58.96,89.29,0.0
0,4,4,58.96,32.79,53.67,53.58,91.1,0.0
0,5,0,69.78,25.74,55.81,52.54,45.1,50.0
0,5,1,68.3,13.09,57.34,47.01,41.63,61.53
0,5,2,71.26,14.41,56.12,39.7,44.65,73.95
0,5,3,61.78,22.06,56.88,34.03,44.49,76.95
0,5,4,69.33,19.12,59.02,40.0,34.54,81.89
1,0,0,56.69,0.0,0.0,0.0,0.0,0.0
1,0,1,57.12,0.0,0.0,0.0,0.0,0.0
1,0,2,67.59,0.0,0.0,0.0,0.0,0.0
1,0,3,70.49,0.0,0.0,0.0,0.0,0.0
1,0,4,68.9,0.0,0.0,0.0,0.0,0.0
1,1,0,21.8,85.8,0.0,0.0,0.0,0.0
1,1,1,15.84,81.55,0.0,0.0,0.0,0.0
1,1,2,15.84,79.8,0.0,0.0,0.0,0.0
1,1,3,18.46,74.23,0.0,0.0,0.0,0.0
1,1,4,45.49,93.27,0.0,0.0,0.0,0.0
1,2,0,51.89,75.26,39.08,0.0,0.0,0.0
1,2,1,46.37,65.15,57.4,0.0,0.0,0.0
1,2,2,38.81,65.15,74.5,0.0,0.0,0.0
1,2,3,42.59,64.42,79.24,0.0,0.0,0.0
1,2,4,39.83,67.35,84.12,0.0,0.0,0.0
1,3,0,40.7,58.57,47.63,64.43,0.0,0.0
1,3,1,34.74,59.44,44.89,72.89,0.0,0.0
1,3,2,40.12,56.37,45.95,82.8,0.0,0.0
1,3,3,35.9,56.37,46.56,85.42,0.0,0.0
1,3,4,38.23,58.57,47.63,86.59,0.0,0.0
1,4,0,31.4,56.37,41.68,57.58,52.38,0.0
1,4,1,36.05,59.88,32.06,46.21,53.12,0.0
1,4,2,35.32,61.05,30.38,51.17,77.68,0.0
1,4,3,33.87,59.15,32.37,49.71,77.23,0.0
1,4,4,30.67,62.37,31.3,47.38,78.72,0.0
1,5,0,29.07,51.54,27.48,51.17,33.33,54.26
1,5,1,30.67,52.27,36.64,47.67,27.53,78.12
1,5,2,37.06,50.66,41.83,47.96,24.11,88.15
1,5,3,33.87,52.27,35.73,48.4,22.62,90.58
1,5,4,36.05,50.81,40.61,50.29,26.49,93.01
2,0,0,51.25,0.0,0.0,0.0,0.0,0.0
2,0,1,56.11,0.0,0.0,0.0,0.0,0.0
2,0,2,53.61,0.0,0.0,0.0,0.0,0.0
2,0,3,51.25,0.0,0.0,0.0,0.0,0.0
2,0,4,52.14,0.0,0.0,0.0,0.0,0.0
2,1,0,21.65,76.55,0.0,0.0,0.0,0.0
2,1,1,16.49,80.83,0.0,0.0,0.0,0.0
2,1,2,12.81,87.61,0.0,0.0,0.0,0.0
2,1,3,14.87,86.43,0.0,0.0,0.0,0.0
2,1,4,20.03,88.2,0.0,0.0,0.0,0.0
2,2,0,15.91,44.25,46.87,0.0,0.0,0.0
2,2,1,15.91,51.33,50.0,0.0,0.0,0.0
2,2,2,17.23,41.0,53.58,0.0,0.0,0.0
2,2,3,17.38,43.07,54.93,0.0,0.0,0.0
2,2,4,43.15,32.6,64.78,0.0,0.0,0.0
2,3,0,48.01,31.42,11.34,44.65,0.0,0.0
2,3,1,47.13,37.91,11.04,48.06,0.0,0.0
2,3,2,51.1,27.14,14.48,44.03,0.0,0.0
2,3,3,51.4,28.17,14.18,45.74,0.0,0.0
2,3,4,50.81,29.35,15.37,45.74,0.0,0.0
2,4,0,38.73,24.93,17.76,32.4,90.74,0.0
2,4,1,40.21,32.15,20.9,31.32,93.92,0.0
2,4,2,45.51,25.96,21.79,27.29,96.38,0.0
