run,task,cycle,task_1,task_2,task_3,task_4,task_5,task_6
0,0,0,63.41,0.0,0.0,0.0,0.0,0.0
0,0,1,61.78,0.0,0.0,0.0,0.0,0.0
0,0,2,59.85,0.0,0.0,0.0,0.0,0.0
0,0,3,59.85,0.0,0.0,0.0,0.0,0.0
0,0,4,93.63,0.0,0.0,0.0,0.0,0.0
0,1,0,88.44,54.71,0.0,0.0,0.0,0.0
0,1,1,86.07,67.94,0.0,0.0,0.0,0.0
0,1,2,84.44,66.32,0.0,0.0,0.0,0.0
0,1,3,81.48,75.59,0.0,0.0,0.0,0.0
0,1,4,82.52,75.44,0.0,0.0,0.0,0.0
0,2,0,72.15,39.71,78.13,0.0,0.0,0.0
0,2,1,73.04,38.68,94.95,0.0,0.0,0.0
0,2,2,74.22,35.15,98.62,0.0,0.0,0.0
0,2,3,74.22,32.5,98.17,0.0,0.0,0.0
0,2,4,74.81,33.82,97.86,0.0,0.0,0.0
0,3,0,72.0,33.82,74.92,58.06,0.0,0.0
0,3,1,73.48,29.26,62.84,83.13,0.0,0.0
0,3,2,74.81,33.68,57.19,85.52,0.0,0.0
0,3,3,74.81,34.26,57.8,85.67,0.0,0.0
0,3,4,71.56,31.62,58.1,87.76,0.0,0.0
0,4,0,66.37,34.71,64.53,54.93,66.97,0.0
0,4,1,56.3,25.88,70.18,52.99,88.24,0.0
0,4,2,51.85,28.82,57.49,50.15,92.76,0.0
0,4,3,51.85,30.88,57.49,51.79,92.16,0.0
0,4,4,52.0,28.24,61.47,47.31,94.57,0.0
0,5,0,62.81,30.88,66.21,49.4,58.22,51.65
0,5,1,62.22,27.94,64.07,37.31,58.82,67.81
0,5,2,63.11,24.71,60.4,30.0,49.92,71.86
0,5,3,62.52,25.44,60.7,32.09,53.24,74.1
0,5,4,61.48,25.29,61.01,33.43,53.54,73.5
1,0,0,56.69,0.0,0.0,0.0,0.0,0.0
1,0,1,61.19,0.0,0.0,0.0,0.0,0.0
