run,task,cycle,task_1,task_2,task_3,task_4,task_5,task_6
0,0,0,60.74,0.0,0.0,0.0,0.0,0.0
0,0,1,60.44,0.0,0.0,0.0,0.0,0.0
0,0,2,58.37,0.0,0.0,0.0,0.0,0.0
0,0,3,61.78,0.0,0.0,0.0,0.0,0.0
0,0,4,61.48,0.0,0.0,0.0,0.0,0.0
0,1,0,40.74,55.15,0.0,0.0,0.0,0.0
0,1,1,42.52,58.09,0.0,0.0,0.0,0.0
0,1,2,43.56,59.26,0.0,0.0,0.0,0.0
0,1,3,50.22,59.12,0.0,0.0,0.0,0.0
0,1,4,50.37,61.18,0.0,0.0,0.0,0.0
0,2,0,52.89,19.12,85.78,0.0,0.0,0.0
0,2,1,53.04,17.21,85.93,0.0,0.0,0.0
0,2,2,41.63,11.03,90.67,0.0,0.0,0.0
0,2,3,43.7,14.56,88.07,0.0,0.0,0.0
0,2,4,43.85,12.65,88.23,0.0,0.0,0.0
0,3,0,51.56,32.35,69.42,40.0,0.0,0.0
0,3,1,53.93,35.29,50.92,47.91,0.0,0.0
0,3,2,55.26,35.59,51.07,49.1,0.0,0.0
0,3,3,54.52,34.12,50.15,52.39,0.0,0.0
0,3,4,54.52,33.09,48.78,51.94,0.0,0.0
0,4,0,49.63,37.65,52.45,35.52,15.38,0.0
0,4,1,48.3,36.18,52.75,37.61,20.06,0.0
0,4,2,47.41,36.76,53.98,36.87,20.06,0.0
0,4,3,46.96,22.94,57.65,62.84,39.67,0.0
0,4,4,51.56,27.06,58.1,58.96,36.5,0.0
0,5,0,52.0,15.0,47.55,60.0,29.71,34.88
0,5,1,53.19,17.35,48.47,57.61,27.3,33.68
0,5,2,53.48,19.85,49.24,56.57,26.4,33.83
0,5,3,54.22,20.29,48.78,52.54,22.93,31.74
0,5,4,55.41,21.03,48.93,52.39,22.78,31.44
1,0,0,56.1,0.0,0.0,0.0,0.0,0.0
1,0,1,57.12,0.0,0.0,0.0,0.0,0.0
1,0,2,56.4,0.0,0.0,0.0,0.0,0.0
1,0,3,57.27,0.0,0.0,0.0,0.0,0.0
1,0,4,57.7,0.0,0.0,0.0,0.0,0.0
1,1,0,16.57,84.48,0.0,0.0,0.0,0.0
1,1,1,16.86,79.06,0.0,0.0,0.0,0.0
1,1,2,16.28,74.23,0.0,0.0,0.0,0.0
1,1,3,17.59,69.11,0.0,0.0,0.0,0.0
1,1,4,17.73,65.3,0.0,0.0,0.0,0.0
1,2,0,35.76,61.2,0.0,0.0,0.0,0.0
1,2,1,40.84,53.15,3.21,0.0,0.0,0.0
1,2,2,38.95,46.41,5.95,0.0,0.0,0.0
1,2,3,40.55,47.29,6.87,0.0,0.0,0.0
1,2,4,40.26,47.0,5.95,0.0,0.0,0.0
1,3,0,43.31,18.59,1.68,37.76,0.0,0.0
1,3,1,38.08,40.85,11.6,46.5,0.0,0.0
1,3,2,39.68,43.48,14.2,44.02,0.0,0.0
1,3,3,36.34,42.46,15.88,45.04,0.0,0.0
1,3,4,31.25,50.07,16.64,61.66,0.0,0.0
1,4,0,25.87,39.68,13.89,52.04,19.49,0.0
1,4,1,20.64,46.27,19.54,58.31,30.8,0.0
1,4,2,14.83,43.63,17.71,54.37,45.54,0.0
1,4,3,16.28,49.49,17.56,55.1,36.9,0.0
1,4,4,15.99,49.93,16.03,54.08,40.33,0.0
1,5,0,23.4,32.5,19.08,46.5,12.5,51.06
1,5,1,22.24,39.09,10.53,45.92,9.38,60.18
1,5,2,17.59,33.09,5.95,46.5,10.27,67.02
1,5,3,9.59,32.5,8.09,46.21,8.04,72.19
1,5,4,10.47,34.41,6.56,47.23,8.63,73.71
2,0,0,56.85,0.0,0.0,0.0,0.0,0.0
2,0,1,58.32,0.0,0.0,0.0,0.0,0.0
2,0,2,56.55,0.0,0.0,0.0,0.0,0.0
2,0,3,55.38,0.0,0.0,0.0,0.0,0.0
2,0,4,82.03,0.0,0.0,0.0,0.0,0.0
2,1,0,47.86,63.57,0.0,0.0,0.0,0.0
2,1,1,46.39,74.63,0.0,0.0,0.0,0.0
2,1,2,49.04,78.32,0.0,0.0,0.0,0.0
2,1,3,47.42,79.79,0.0,0.0,0.0,0.0
2,1,4,46.98,80.24,0.0,0.0,0.0,0.0
2,2,0,59.06,35.4,52.99,0.0,0.0,0.0
2,2,1,65.1,27.29,57.91,0.0,0.0,0.0
2,2,2,64.65,23.3,56.72,0.0,0.0,0.0
2,2,3,63.33,27.14,60.15,0.0,0.0,0.0
2,2,4,65.98,26.84,59.1,0.0,0.0,0.0
2,3,0,61.12,25.96,21.49,36.28,0.0,0.0
2,3,1,61.27,25.96,21.49,36.43,0.0,0.0
2,3,2,62.59,23.45,21.79,37.05,0.0,0.0
2,3,3,63.18,21.53,20.0,37.36,0.0,0.0
2,3,4,63.18,20.65,20.45,37.52,0.0,0.0
2,4,0,49.63,25.37,27.76,22.48,81.04,0.0
2,4,1,49.63,25.52,31.19,21.09,79.45,0.0
2,4,2,51.4,24.93,30.9,22.02,78.0,0.0
2,4,3,50.66,31.56,29.25,24.03,91.03,0.0
2,4,4,51.99,33.04,33.28,24.81,90.59,0.0
2,5,0,51.4,19.47,13.28,24.81,83.94,27.76
2,5,1,53.17,18.29,15.97,17.21,83.79,38.81
2,5,2,53.02,18.44,15.37,16.74,83.36,40.6
2,5,3,49.34,21.98,11.49,18.76,85.82,40.45
2,5,4,50.81,20.21,11.19,18.6,85.24,39.55
3,0,0,93.55,0.0,0.0,0.0,0.0,0.0
3,0,1,93.55,0.0,0.0,0.0,0.0,0.0
3,0,2,96.77,0.0,0.0,0.0,0.0,0.0
3,0,3,98.24,0.0,0.0,0.0,0.0,0.0
3,0,4,99.71,0.0,0.0,0.0,0.0,0.0
3,1,0,54.69,87.69,0.0,0.0,0.0,0.0
3,1,1,57.04,91.69,0.0,0.0,0.0,0.0
3,1,2,60.41,95.1,0.0,0.0,0.0,0.0
3,1,3,49.27,98.52,0.0,0.0,0.0,0.0
3,1,4,55.72,99.11,0.0,0.0,0.0,0.0
3,2,0,61.58,73.44,59.18,0.0,0.0,0.0
3,2,1,61.73,75.22,59.62,0.0,0.0,0.0
3,2,2,46.33,70.03,75.62,0.0,0.0,0.0
3,2,3,53.08,71.66,78.12,0.0,0.0,0.0
3,2,4,50.15,72.55,82.67,0.0,0.0,0.0
3,3,0,48.68,70.03,40.38,50.45,0.0,0.0
3,3,1,45.16,67.51,41.85,65.3,0.0,0.0
3,3,2,48.24,64.09,40.97,71.21,0.0,0.0
3,3,3,46.33,63.5,43.02,74.85,0.0,0.0
3,3,4,39.44,67.8,49.63,75.15,0.0,0.0
3,4,0,41.35,61.13,42.88,46.06,44.12,0.0
3,4,1,40.91,55.64,47.14,46.82,54.81,0.0
3,4,2,40.62,58.01,44.64,52.88,57.56,0.0
3,4,3,35.19,57.57,45.52,49.24,54.5,0.0
3,4,4,34.46,62.31,47.14,52.12,55.57,0.0
3,5,0,35.19,64.69,38.91,38.79,18.32,41.3
3,5,1,31.96,65.28,39.5,38.33,18.93,43.22
3,5,2,28.74,62.17,48.46,42.27,30.23,32.45
3,5,3,29.03,61.87,47.14,43.48,28.7,36.58
3,5,4,33.28,63.2,48.02,41.67,30.53,39.82
4,0,0,76.01,0.0,0.0,0.0,0.0,0.0
4,0,1,78.17,0.0,0.0,0.0,0.0,0.0
4,0,2,77.86,0.0,0.0,0.0,0.0,0.0
4,0,3,78.79,0.0,0.0,0.0,0.0,0.0
4,0,4,78.95,0.0,0.0,0.0,0.0,0.0
4,1,0,18.58,92.22,0.0,0.0,0.0,0.0
4,1,1,23.99,93.54,0.0,0.0,0.0,0.0
4,1,2,20.9,92.51,0.0,0.0,0.0,0.0
4,1,3,19.97,92.66,0.0,0.0,0.0,0.0
4,1,4,18.27,91.78,0.0,0.0,0.0,0.0
4,2,0,47.83,71.51,12.16,0.0,0.0,0.0
4,2,1,47.52,57.42,41.89,0.0,0.0,0.0
4,2,2,46.28,58.3,42.19,0.0,0.0,0.0
4,2,3,43.5,64.46,37.69,0.0,0.0,0.0
4,2,4,43.34,62.56,39.34,0.0,0.0,0.0
4,3,0,49.38,65.93,19.67,17.41,0.0,0.0
4,3,1,48.14,66.67,18.92,15.92,0.0,0.0
4,3,2,46.44,65.35,18.77,18.01,0.0,0.0
4,3,3,46.44,64.61,18.47,16.52,0.0,0.0
4,3,4,47.52,65.05,15.02,16.67,0.0,0.0
4,4,0,44.12,30.69,24.32,15.92,35.94,0.0
4,4,1,43.34,31.86,21.77,15.48,34.44,0.0
4,4,2,43.34,36.12,21.17,15.48,33.38,0.0
4,4,3,43.81,36.71,20.87,15.62,31.13,0.0
4,4,4,45.51,39.35,20.57,15.18,29.47,0.0
4,5,0,15.48,53.01,22.37,17.41,24.96,53.65
4,5,1,16.87,53.16,23.42,16.52,26.17,52.63
4,5,2,17.03,53.89,23.72,16.07,29.17,50.44
4,5,3,23.68,50.37,27.63,25.15,26.77,64.04
4,5,4,25.85,45.96,28.83,28.87,32.63,69.44
