run,task,cycle,task_1,task_2,task_3,task_4,task_5,task_6
0,0,0,60.74,0.0,0.0,0.0,0.0,0.0
0,0,1,60.44,0.0,0.0,0.0,0.0,0.0
0,0,2,58.37,0.0,0.0,0.0,0.0,0.0
0,0,3,61.78,0.0,0.0,0.0,0.0,0.0
0,0,4,61.48,0.0,0.0,0.0,0.0,0.0
0,1,0,28.3,50.0,0.0,0.0,0.0,0.0
0,1,1,31.41,51.32,0.0,0.0,0.0,0.0
0,1,2,32.0,53.97,0.0,0.0,0.0,0.0
0,1,3,33.63,54.71,0.0,0.0,0.0,0.0
0,1,4,35.85,57.94,0.0,0.0,0.0,0.0
0,2,0,43.11,40.0,68.96,0.0,0.0,0.0
0,2,1,36.3,15.88,80.43,0.0,0.0,0.0
0,2,2,31.56,16.76,80.43,0.0,0.0,0.0
0,2,3,35.26,20.0,80.73,0.0,0.0,0.0
0,2,4,37.04,22.21,79.66,0.0,0.0,0.0
0,3,0,39.7,38.82,70.8,25.07,0.0,0.0
0,3,1,48.59,35.74,52.91,56.27,0.0,0.0
0,3,2,49.48,36.91,53.36,55.22,0.0,0.0
0,3,3,52.74,31.47,52.45,60.45,0.0,0.0
0,3,4,52.74,30.59,51.07,60.0,0.0,0.0
0,4,0,36.0,28.24,56.27,44.03,28.81,0.0
0,4,1,36.3,36.62,46.79,40.6,29.86,0.0
0,4,2,33.93,37.79,56.57,40.6,30.92,0.0
0,4,3,33.19,37.06,55.81,41.64,31.07,0.0
0,4,4,32.44,35.29,52.45,41.64,33.79,0.0
0,5,0,41.48,27.06,54.43,52.54,25.79,22.01
0,5,1,45.78,23.24,56.42,53.88,27.0,23.2
0,5,2,48.74,19.71,58.26,54.48,26.24,24.7
0,5,3,50.37,20.0,51.83,46.72,18.4,30.39
0,5,4,50.96,18.53,51.38,46.72,17.19,32.19
1,0,0,56.1,0.0,0.0,0.0,0.0,0.0
1,0,1,57.12,0.0,0.0,0.0,0.0,0.0
1,0,2,56.4,0.0,0.0,0.0,0.0,0.0
1,0,3,57.27,0.0,0.0,0.0,0.0,0.0
1,0,4,57.7,0.0,0.0,0.0,0.0,0.0
1,1,0,25.15,82.14,0.0,0.0,0.0,0.0
1,1,1,23.26,80.09,0.0,0.0,0.0,0.0
1,1,2,20.35,73.79,0.0,0.0,0.0,0.0
1,1,3,15.41,73.5,0.0,0.0,0.0,0.0
1,1,4,15.55,70.72,0.0,0.0,0.0,0.0
1,2,0,19.04,72.62,0.0,0.0,0.0,0.0
1,2,1,35.03,47.0,11.45,0.0,0.0,0.0
1,2,2,41.28,44.22,11.91,0.0,0.0,0.0
1,2,3,42.01,43.78,11.91,0.0,0.0,0.0
1,2,4,41.86,41.73,12.37,0.0,0.0,0.0
1,3,0,27.91,29.43,2.9,50.29,0.0,0.0
1,3,1,29.36,29.58,1.68,44.17,0.0,0.0
1,3,2,28.92,30.89,0.61,44.75,0.0,0.0
1,3,3,26.31,30.31,0.46,45.19,0.0,0.0
1,3,4,23.84,29.72,0.46,45.77,0.0,0.0
1,4,0,16.13,44.22,7.94,23.62,19.64,0.0
1,4,1,14.83,45.39,8.7,26.09,28.27,0.0
1,4,2,12.21,42.31,8.55,27.7,34.08,0.0
1,4,3,8.72,43.48,9.62,34.99,36.16,0.0
1,4,4,8.14,42.9,9.01,33.38,36.16,0.0
1,5,0,21.22,19.47,10.23,30.76,9.67,50.46
1,5,1,18.6,20.35,9.01,34.84,9.08,52.13
1,5,2,17.88,17.28,8.7,38.92,8.93,61.09
1,5,3,21.8,19.91,8.24,39.21,9.23,64.29
1,5,4,18.46,24.3,4.58,30.9,8.04,67.63
2,0,0,56.85,0.0,0.0,0.0,0.0,0.0
2,0,1,58.32,0.0,0.0,0.0,0.0,0.0
2,0,2,56.55,0.0,0.0,0.0,0.0,0.0
2,0,3,55.38,0.0,0.0,0.0,0.0,0.0
2,0,4,82.03,0.0,0.0,0.0,0.0,0.0
2,1,0,55.23,50.88,0.0,0.0,0.0,0.0
2,1,1,49.93,71.39,0.0,0.0,0.0,0.0
2,1,2,49.34,72.27,0.0,0.0,0.0,0.0
2,1,3,49.48,71.53,0.0,0.0,0.0,0.0
2,1,4,48.6,73.3,0.0,0.0,0.0,0.0
2,2,0,60.53,35.25,51.49,0.0,0.0,0.0
2,2,1,63.77,20.35,59.55,0.0,0.0,0.0
2,2,2,64.21,22.27,57.16,0.0,0.0,0.0
2,2,3,61.86,29.5,64.18,0.0,0.0,0.0
2,2,4,63.18,31.12,62.69,0.0,0.0,0.0
2,3,0,58.91,32.01,16.87,41.09,0.0,0.0
2,3,1,66.86,25.37,16.27,46.67,0.0,0.0
2,3,2,67.01,22.71,17.61,49.92,0.0,0.0
2,3,3,67.01,18.88,12.69,52.56,0.0,0.0
2,3,4,66.86,18.88,10.75,51.94,0.0,0.0
2,4,0,52.58,22.57,31.04,24.34,76.27,0.0
2,4,1,43.0,49.56,25.97,28.53,80.9,0.0
2,4,2,32.7,44.54,28.21,31.47,90.88,0.0
2,4,3,35.2,43.51,25.37,32.56,92.19,0.0
2,4,4,35.64,28.91,38.21,28.99,96.24,0.0
2,5,0,47.13,29.35,13.73,20.78,83.21,26.72
2,5,1,50.81,33.33,14.18,16.43,75.69,29.55
2,5,2,47.86,22.12,19.25,14.11,79.74,36.27
2,5,3,49.93,21.83,15.82,15.5,78.58,36.57
2,5,4,50.81,18.58,15.52,14.42,76.12,37.46
3,0,0,93.55,0.0,0.0,0.0,0.0,0.0
3,0,1,93.55,0.0,0.0,0.0,0.0,0.0
3,0,2,96.77,0.0,0.0,0.0,0.0,0.0
3,0,3,98.24,0.0,0.0,0.0,0.0,0.0
3,0,4,99.71,0.0,0.0,0.0,0.0,0.0
3,1,0,74.78,83.09,0.0,0.0,0.0,0.0
3,1,1,55.43,91.39,0.0,0.0,0.0,0.0
3,1,2,60.7,97.18,0.0,0.0,0.0,0.0
3,1,3,60.56,97.77,0.0,0.0,0.0,0.0
3,1,4,52.79,99.55,0.0,0.0,0.0,0.0
3,2,0,51.76,75.22,71.07,0.0,0.0,0.0
3,2,1,56.6,63.8,77.83,0.0,0.0,0.0
3,2,2,55.87,74.04,82.97,0.0,0.0,0.0
3,2,3,53.67,66.32,84.43,0.0,0.0,0.0
3,2,4,53.23,62.17,89.57,0.0,0.0,0.0
3,3,0,43.99,65.13,42.0,44.7,0.0,0.0
3,3,1,42.82,57.27,48.02,67.58,0.0,0.0
3,3,2,33.87,60.24,49.34,78.79,0.0,0.0
3,3,3,30.94,56.38,45.96,83.48,0.0,0.0
3,3,4,31.09,59.94,48.31,82.58,0.0,0.0
3,4,0,36.07,50.74,51.4,58.79,35.73,0.0
3,4,1,29.77,58.9,50.81,47.12,55.27,0.0
3,4,2,30.21,59.05,50.95,46.21,52.98,0.0
3,4,3,30.79,58.31,50.81,46.52,52.98,0.0
3,4,4,35.63,53.12,48.31,52.88,57.56,0.0
3,5,0,33.43,65.88,46.99,52.27,23.21,24.04
3,5,1,32.4,66.91,46.7,53.94,22.75,20.65
3,5,2,32.11,66.02,46.11,54.55,21.98,22.57
3,5,3,33.28,69.44,45.67,49.09,17.4,36.73
3,5,4,35.34,60.39,38.91,53.48,22.29,33.92
4,0,0,76.01,0.0,0.0,0.0,0.0,0.0
4,0,1,78.17,0.0,0.0,0.0,0.0,0.0
4,0,2,77.86,0.0,0.0,0.0,0.0,0.0
4,0,3,78.79,0.0,0.0,0.0,0.0,0.0
4,0,4,78.95,0.0,0.0,0.0,0.0,0.0
4,1,0,25.23,92.22,0.0,0.0,0.0,0.0
4,1,1,14.09,92.51,0.0,0.0,0.0,0.0
4,1,2,14.86,91.63,0.0,0.0,0.0,0.0
4,1,3,12.07,90.6,0.0,0.0,0.0,0.0
4,1,4,10.84,88.11,0.0,0.0,0.0,0.0
4,2,0,35.91,79.44,9.91,0.0,0.0,0.0
4,2,1,13.62,66.67,35.74,0.0,0.0,0.0
4,2,2,11.46,64.9,36.94,0.0,0.0,0.0
4,2,3,23.07,74.16,29.58,0.0,0.0,0.0
4,2,4,23.22,73.42,31.98,0.0,0.0,0.0
4,3,0,33.13,72.39,16.37,7.74,0.0,0.0
4,3,1,50.46,58.88,19.37,38.39,0.0,0.0
4,3,2,47.83,59.32,18.77,41.52,0.0,0.0
4,3,3,46.28,58.88,18.92,44.05,0.0,0.0
4,3,4,45.51,60.65,17.12,44.49,0.0,0.0
4,4,0,42.41,49.93,27.18,22.32,35.64,0.0
4,4,1,46.13,48.16,22.97,27.98,39.85,0.0
4,4,2,34.06,56.39,29.43,30.21,67.07,0.0
4,4,3,39.32,52.28,31.53,30.51,69.32,0.0
4,4,4,29.57,56.39,22.37,33.63,76.69,0.0
4,5,0,20.74,59.18,32.73,25.6,45.26,50.29
4,5,1,22.45,55.8,34.98,32.74,43.46,65.94
4,5,2,22.45,56.39,34.53,32.74,45.71,65.5
4,5,3,20.28,46.99,22.37,30.8,47.82,68.57
4,5,4,27.71,53.74,30.03,28.27,39.85,72.95
