run,task,cycle,task_1,task_2,task_3,task_4,task_5,task_6
0,0,0,60.74,0.0,0.0,0.0,0.0,0.0
0,0,1,60.3,0.0,0.0,0.0,0.0,0.0
0,0,2,60.15,0.0,0.0,0.0,0.0,0.0
0,0,3,79.26,0.0,0.0,0.0,0.0,0.0
0,0,4,81.63,0.0,0.0,0.0,0.0,0.0
0,1,0,65.48,52.94,0.0,0.0,0.0,0.0
0,1,1,68.0,57.79,0.0,0.0,0.0,0.0
0,1,2,68.44,58.24,0.0,0.0,0.0,0.0
0,1,3,71.85,59.85,0.0,0.0,0.0,0.0
0,1,4,71.56,60.74,0.0,0.0,0.0,0.0
0,2,0,62.37,9.12,95.57,0.0,0.0,0.0
0,2,1,64.59,4.85,95.41,0.0,0.0,0.0
0,2,2,65.48,3.09,94.95,0.0,0.0,0.0
0,2,3,64.3,2.06,95.72,0.0,0.0,0.0
0,2,4,63.26,4.26,96.64,0.0,0.0,0.0
0,3,0,54.81,33.97,61.16,40.6,0.0,0.0
0,3,1,62.96,26.32,61.62,55.82,0.0,0.0
0,3,2,66.52,30.0,59.02,55.07,0.0,0.0
0,3,3,63.56,32.21,55.96,60.75,0.0,0.0
0,3,4,67.26,26.76,57.19,67.46,0.0,0.0
0,4,0,56.59,30.44,57.65,46.87,50.98,0.0
0,4,1,53.63,24.85,54.13,44.93,62.29,0.0
0,4,2,54.67,22.79,56.57,45.22,61.39,0.0
0,4,3,54.07,26.47,58.72,46.57,67.57,0.0
0,4,4,56.0,26.18,51.68,49.55,72.7,0.0
0,5,0,60.59,20.29,61.01,41.94,40.57,33.08
0,5,1,59.56,20.44,51.22,39.25,40.87,34.43
0,5,2,56.89,22.35,59.17,40.45,44.65,37.87
0,5,3,57.63,22.21,59.17,41.64,45.25,38.92
0,5,4,60.0,23.24,52.45,39.85,43.29,42.66
1,0,0,56.1,0.0,0.0,0.0,0.0,0.0
1,0,1,57.12,0.0,0.0,0.0,0.0,0.0
1,0,2,54.94,0.0,0.0,0.0,0.0,0.0
1,0,3,56.69,0.0,0.0,0.0,0.0,0.0
1,0,4,58.14,0.0,0.0,0.0,0.0,0.0
1,1,0,12.65,87.26,0.0,0.0,0.0,0.0
1,1,1,11.92,83.75,0.0,0.0,0.0,0.0
1,1,2,9.45,79.21,0.0,0.0,0.0,0.0
1,1,3,5.52,75.55,0.0,0.0,0.0,0.0
1,1,4,10.47,69.25,0.0,0.0,0.0,0.0
1,2,0,35.17,59.74,0.0,0.0,0.0,0.0
1,2,1,38.95,44.22,28.55,0.0,0.0,0.0
1,2,2,43.75,44.66,25.95,0.0,0.0,0.0
1,2,3,43.46,45.39,21.07,0.0,0.0,0.0
1,2,4,42.73,46.41,20.76,0.0,0.0,0.0
1,3,0,33.43,36.9,18.93,42.86,0.0,0.0
1,3,1,37.65,38.95,15.27,42.27,0.0,0.0
1,3,2,37.79,39.97,14.81,40.38,0.0,0.0
1,3,3,31.83,48.17,18.32,53.64,0.0,0.0
1,3,4,28.63,52.71,17.1,71.57,0.0,0.0
1,4,0,24.27,44.07,15.42,51.75,29.76,0.0
1,4,1,23.11,48.02,22.9,51.02,26.49,0.0
1,4,2,11.92,46.85,17.86,49.56,44.94,0.0
1,4,3,15.26,50.37,14.66,49.85,54.46,0.0
1,4,4,16.86,53.29,16.34,53.5,47.47,0.0
1,5,0,22.67,28.99,16.18,52.77,18.45,46.5
1,5,1,24.71,30.31,16.64,52.04,18.01,47.57
1,5,2,23.4,25.62,13.44,44.75,21.88,58.36
1,5,3,21.22,32.8,12.52,47.96,19.2,60.64
1,5,4,18.02,37.63,16.95,52.04,21.28,62.31
2,0,0,56.85,0.0,0.0,0.0,0.0,0.0
2,0,1,58.32,0.0,0.0,0.0,0.0,0.0
