run,task,cycle,task_1,task_2,task_3,task_4,task_5,task_6
0,0,0,60.74,0.0,0.0,0.0,0.0,0.0
0,0,1,60.3,0.0,0.0,0.0,0.0,0.0
0,0,2,60.15,0.0,0.0,0.0,0.0,0.0
0,0,3,79.26,0.0,0.0,0.0,0.0,0.0
0,0,4,81.63,0.0,0.0,0.0,0.0,0.0
0,1,0,69.19,52.06,0.0,0.0,0.0,0.0
0,1,1,71.11,51.76,0.0,0.0,0.0,0.0
0,1,2,62.22,56.03,0.0,0.0,0.0,0.0
0,1,3,66.07,55.59,0.0,0.0,0.0,0.0
0,1,4,63.7,56.91,0.0,0.0,0.0,0.0
0,2,0,62.96,16.03,88.07,0.0,0.0,0.0
0,2,1,57.33,18.97,83.18,0.0,0.0,0.0
0,2,2,59.41,16.91,92.81,0.0,0.0,0.0
0,2,3,64.44,17.79,95.11,0.0,0.0,0.0
0,2,4,64.0,13.97,98.01,0.0,0.0,0.0
0,3,0,63.41,32.94,70.18,44.33,0.0,0.0
0,3,1,61.78,27.21,61.62,63.28,0.0,0.0
0,3,2,61.33,28.53,56.27,57.91,0.0,0.0
0,3,3,65.19,21.76,61.31,69.55,0.0,0.0
0,3,4,59.56,26.62,61.47,75.67,0.0,0.0
0,4,0,47.85,32.94,66.67,51.34,49.92,0.0
0,4,1,47.85,36.76,60.24,55.22,53.85,0.0
0,4,2,54.52,36.91,60.24,49.55,61.39,0.0
0,4,3,49.19,28.53,54.74,47.16,72.85,0.0
0,4,4,54.52,30.74,59.33,47.31,73.3,0.0
0,5,0,57.04,28.38,60.7,37.91,38.91,33.83
0,5,1,62.52,22.94,59.17,36.27,40.27,42.07
0,5,2,61.93,19.71,58.72,34.78,41.18,48.2
0,5,3,57.63,19.85,61.77,35.07,44.19,56.29
0,5,4,60.3,20.0,62.23,34.48,41.33,53.74
1,0,0,56.1,0.0,0.0,0.0,0.0,0.0
1,0,1,57.12,0.0,0.0,0.0,0.0,0.0
1,0,2,54.94,0.0,0.0,0.0,0.0,0.0
1,0,3,56.69,0.0,0.0,0.0,0.0,0.0
1,0,4,58.14,0.0,0.0,0.0,0.0,0.0
1,1,0,25.15,81.99,0.0,0.0,0.0,0.0
1,1,1,23.69,80.82,0.0,0.0,0.0,0.0
1,1,2,4.36,80.38,0.0,0.0,0.0,0.0
1,1,3,3.34,78.92,0.0,0.0,0.0,0.0
1,1,4,2.62,78.77,0.0,0.0,0.0,0.0
1,2,0,41.57,47.73,8.09,0.0,0.0,0.0
1,2,1,30.09,52.12,29.47,0.0,0.0,0.0
1,2,2,30.81,51.98,27.79,0.0,0.0,0.0
1,2,3,33.14,52.12,28.7,0.0,0.0,0.0
1,2,4,35.76,45.68,30.08,0.0,0.0,0.0
1,3,0,26.6,47.73,22.14,43.44,0.0,0.0
1,3,1,26.31,44.95,15.11,56.85,0.0,0.0
1,3,2,24.42,47.73,14.96,63.12,0.0,0.0
1,3,3,29.8,49.49,16.18,67.64,0.0,0.0
1,3,4,28.2,53.15,15.57,74.78,0.0,0.0
1,4,0,26.6,49.34,20.15,43.44,23.07,0.0
1,4,1,26.16,57.25,15.11,45.19,35.27,0.0
1,4,2,24.71,52.27,17.1,49.56,33.33,0.0
1,4,3,26.89,52.42,16.34,48.98,41.52,0.0
1,4,4,22.09,50.66,19.54,45.34,45.39,0.0
1,5,0,25.0,36.75,14.2,44.02,22.77,48.48
1,5,1,25.87,33.38,16.03,49.42,20.98,60.94
1,5,2,26.31,34.11,16.49,50.0,21.43,60.64
1,5,3,24.85,35.14,16.34,50.0,20.09,60.33
1,5,4,24.71,34.99,16.64,50.15,20.68,59.73
2,0,0,56.85,0.0,0.0,0.0,0.0,0.0
2,0,1,58.32,0.0,0.0,0.0,0.0,0.0
