run,task,cycle,task_1,task_2,task_3,task_4,task_5,task_6
0,0,0,60.74,0.0,0.0,0.0,0.0,0.0
0,0,1,60.3,0.0,0.0,0.0,0.0,0.0
0,0,2,60.15,0.0,0.0,0.0,0.0,0.0
0,0,3,79.26,0.0,0.0,0.0,0.0,0.0
0,0,4,81.63,0.0,0.0,0.0,0.0,0.0
0,1,0,65.48,52.94,0.0,0.0,0.0,0.0
0,1,1,67.41,54.41,0.0,0.0,0.0,0.0
0,1,2,73.93,57.06,0.0,0.0,0.0,0.0
0,1,3,69.33,60.0,0.0,0.0,0.0,0.0
0,1,4,70.96,68.97,0.0,0.0,0.0,0.0
0,2,0,56.44,24.71,77.98,0.0,0.0,0.0
0,2,1,61.78,16.62,89.76,0.0,0.0,0.0
0,2,2,64.59,16.76,93.88,0.0,0.0,0.0
0,2,3,65.48,16.76,94.95,0.0,0.0,0.0
0,2,4,64.0,21.47,93.73,0.0,0.0,0.0
0,3,0,64.89,40.59,54.59,38.51,0.0,0.0
0,3,1,63.7,26.18,66.36,62.24,0.0,0.0
0,3,2,68.3,34.26,62.69,71.94,0.0,0.0
0,3,3,68.44,26.91,59.33,76.42,0.0,0.0
0,3,4,66.07,27.06,61.01,75.52,0.0,0.0
0,4,0,50.81,32.21,54.74,51.19,51.89,0.0
0,4,1,54.81,33.24,65.29,44.03,65.61,0.0
0,4,2,54.22,32.79,51.99,48.36,71.19,0.0
0,4,3,47.41,25.88,53.21,41.49,79.03,0.0
0,4,4,52.59,26.18,50.92,42.09,86.43,0.0
0,5,0,60.59,22.06,61.31,41.64,45.55,25.6
0,5,1,59.26,19.12,54.89,38.21,50.38,45.96
0,5,2,59.41,19.85,54.89,38.96,50.23,45.51
0,5,3,61.63,18.82,55.5,36.87,42.68,54.04
0,5,4,61.33,19.26,53.67,38.06,41.78,55.09
1,0,0,56.1,0.0,0.0,0.0,0.0,0.0
1,0,1,57.12,0.0,0.0,0.0,0.0,0.0
1,0,2,54.94,0.0,0.0,0.0,0.0,0.0
1,0,3,56.69,0.0,0.0,0.0,0.0,0.0
1,0,4,58.14,0.0,0.0,0.0,0.0,0.0
1,1,0,12.65,87.26,0.0,0.0,0.0,0.0
1,1,1,11.48,85.51,0.0,0.0,0.0,0.0
1,1,2,6.54,83.02,0.0,0.0,0.0,0.0
1,1,3,5.23,80.67,0.0,0.0,0.0,0.0
1,1,4,34.59,82.87,0.0,0.0,0.0,0.0
1,2,0,39.24,63.84,13.89,0.0,0.0,0.0
1,2,1,35.76,61.79,31.6,0.0,0.0,0.0
1,2,2,33.58,65.01,42.6,0.0,0.0,0.0
1,2,3,28.63,62.96,54.96,0.0,0.0,0.0
1,2,4,27.62,62.37,54.35,0.0,0.0,0.0
1,3,0,22.97,53.44,19.24,44.46,0.0,0.0
1,3,1,31.83,52.12,22.44,59.77,0.0,0.0
1,3,2,27.18,47.29,20.0,69.68,0.0,0.0
1,3,3,26.89,55.34,20.76,77.41,0.0,0.0
1,3,4,15.99,53.15,24.73,82.07,0.0,0.0
1,4,0,19.19,50.95,13.13,62.83,37.35,0.0
1,4,1,19.04,49.93,15.57,60.35,36.16,0.0
1,4,2,19.48,50.95,11.76,55.69,54.91,0.0
1,4,3,17.73,48.61,14.2,57.14,60.27,0.0
1,4,4,12.21,48.61,19.69,53.64,64.88,0.0
1,5,0,22.82,36.02,22.6,46.21,22.32,44.83
1,5,1,18.31,34.41,18.02,48.4,18.15,61.09
1,5,2,22.97,31.04,18.47,49.13,21.88,72.49
1,5,3,25.15,31.63,19.69,49.56,21.43,74.62
1,5,4,20.06,31.19,15.27,44.75,20.39,81.16
2,0,0,56.85,0.0,0.0,0.0,0.0,0.0
2,0,1,58.32,0.0,0.0,0.0,0.0,0.0
