run,task,cycle,task_1,task_2,task_3,task_4,task_5,task_6
0,0,0,60.74,0.0,0.0,0.0,0.0,0.0
0,0,1,60.3,0.0,0.0,0.0,0.0,0.0
0,0,2,60.15,0.0,0.0,0.0,0.0,0.0
0,0,3,79.26,0.0,0.0,0.0,0.0,0.0
0,0,4,81.63,0.0,0.0,0.0,0.0,0.0
0,1,0,69.19,52.06,0.0,0.0,0.0,0.0
0,1,1,69.93,49.26,0.0,0.0,0.0,0.0
0,1,2,68.3,62.79,0.0,0.0,0.0,0.0
0,1,3,69.04,61.76,0.0,0.0,0.0,0.0
0,1,4,66.81,62.06,0.0,0.0,0.0,0.0
0,2,0,62.81,14.56,88.07,0.0,0.0,0.0
0,2,1,61.48,3.24,95.57,0.0,0.0,0.0
0,2,2,60.74,2.06,95.11,0.0,0.0,0.0
0,2,3,59.7,12.21,95.41,0.0,0.0,0.0
0,2,4,62.22,15.0,96.33,0.0,0.0,0.0
0,3,0,57.93,32.35,71.1,38.51,0.0,0.0
0,3,1,61.63,23.97,58.56,71.79,0.0,0.0
0,3,2,60.89,24.26,64.98,77.01,0.0,0.0
0,3,3,61.93,23.09,65.44,77.31,0.0,0.0
0,3,4,67.26,25.88,57.19,79.55,0.0,0.0
0,4,0,54.67,34.26,62.69,51.94,49.17,0.0
0,4,1,50.37,33.82,61.93,51.19,57.92,0.0
0,4,2,49.78,30.0,61.62,50.45,67.42,0.0
0,4,3,46.22,35.44,60.55,46.42,71.95,0.0
0,4,4,50.67,28.97,59.33,38.06,81.6,0.0
0,5,0,59.85,28.24,59.94,30.75,54.3,27.69
0,5,1,62.22,23.68,61.77,36.72,46.0,42.07
0,5,2,60.89,24.56,59.94,33.28,48.57,44.91
0,5,3,58.07,23.09,60.55,29.4,48.57,55.39
0,5,4,60.3,21.47,59.17,30.6,43.59,59.73
1,0,0,56.1,0.0,0.0,0.0,0.0,0.0
1,0,1,57.12,0.0,0.0,0.0,0.0,0.0
1,0,2,54.94,0.0,0.0,0.0,0.0,0.0
1,0,3,56.69,0.0,0.0,0.0,0.0,0.0
1,0,4,58.14,0.0,0.0,0.0,0.0,0.0
1,1,0,25.15,81.99,0.0,0.0,0.0,0.0
1,1,1,24.13,82.14,0.0,0.0,0.0,0.0
1,1,2,0.15,84.33,0.0,0.0,0.0,0.0
1,1,3,0.0,83.6,0.0,0.0,0.0,0.0
1,1,4,0.0,82.14,0.0,0.0,0.0,0.0
1,2,0,37.65,51.24,6.26,0.0,0.0,0.0
1,2,1,35.47,46.71,35.27,0.0,0.0,0.0
1,2,2,32.99,51.83,49.47,0.0,0.0,0.0
1,2,3,29.8,52.71,58.32,0.0,0.0,0.0
1,2,4,32.99,50.95,56.64,0.0,0.0,0.0
1,3,0,37.94,53.15,19.08,48.4,0.0,0.0
1,3,1,26.45,41.58,14.2,69.1,0.0,0.0
1,3,2,30.09,37.04,18.47,67.06,0.0,0.0
1,3,3,26.16,53.73,13.74,80.32,0.0,0.0
1,3,4,28.49,55.64,14.05,81.78,0.0,0.0
1,4,0,24.13,51.68,14.96,52.48,25.15,0.0
1,4,1,20.35,50.81,13.74,49.56,41.22,0.0
1,4,2,23.26,44.51,19.85,45.04,43.6,0.0
1,4,3,22.38,55.93,17.4,44.31,48.81,0.0
1,4,4,26.45,42.31,18.32,42.57,66.37,0.0
1,5,0,27.76,29.72,20.0,40.23,40.48,46.35
1,5,1,23.69,36.9,18.47,44.75,32.44,53.95
1,5,2,23.69,33.53,18.63,40.82,31.25,69.6
1,5,3,21.51,27.38,14.35,40.38,29.76,79.33
1,5,4,31.54,28.4,16.03,43.73,28.87,82.67
2,0,0,56.85,0.0,0.0,0.0,0.0,0.0
2,0,1,58.32,0.0,0.0,0.0,0.0,0.0
