run,task,cycle,task_1,task_2,task_3,task_4,task_5,task_6
0,0,0,58.7,0.0,0.0,0.0,0.0,0.0
0,0,1,61.86,0.0,0.0,0.0,0.0,0.0
0,0,2,61.86,0.0,0.0,0.0,0.0,0.0
0,0,3,62.45,0.0,0.0,0.0,0.0,0.0
0,0,4,62.06,0.0,0.0,0.0,0.0,0.0
0,1,0,36.17,46.69,0.0,0.0,0.0,0.0
0,1,1,31.03,50.96,0.0,0.0,0.0,0.0
0,1,2,29.25,50.81,0.0,0.0,0.0,0.0
0,1,3,29.25,50.52,0.0,0.0,0.0,0.0
0,1,4,29.45,50.52,0.0,0.0,0.0,0.0
0,2,0,28.06,46.69,52.73,0.0,0.0,0.0
0,2,1,29.05,46.69,52.73,0.0,0.0,0.0
0,2,2,29.05,46.54,52.27,0.0,0.0,0.0
0,2,3,29.25,46.39,51.52,0.0,0.0,0.0
0,2,4,29.45,46.1,50.91,0.0,0.0,0.0
0,3,0,25.49,41.24,47.73,28.53,0.0,0.0
0,3,1,21.15,39.76,50.76,24.77,0.0,0.0
0,3,2,21.34,37.85,50.61,25.68,0.0,0.0
0,3,3,29.84,38.73,53.64,27.33,0.0,0.0
0,3,4,30.83,37.26,54.09,27.93,0.0,0.0
0,4,0,24.51,38.29,45.0,24.02,13.68,0.0
0,4,1,50.4,33.14,61.06,35.14,26.62,0.0
0,4,2,50.0,24.45,64.85,43.84,32.48,0.0
0,4,3,51.58,24.89,66.06,49.25,33.23,0.0
0,4,4,51.38,24.89,66.21,48.95,33.68,0.0
0,5,0,48.81,25.92,64.7,35.74,31.28,8.4
0,5,1,63.04,30.19,61.06,27.33,30.98,11.99
0,5,2,63.04,30.04,61.36,27.33,30.98,12.14
0,5,3,62.85,27.69,51.06,20.12,46.17,32.68
0,5,4,67.98,29.46,45.61,17.87,46.47,38.68
1,0,0,67.64,0.0,0.0,0.0,0.0,0.0
1,0,1,64.53,0.0,0.0,0.0,0.0,0.0
1,0,2,64.34,0.0,0.0,0.0,0.0,0.0
1,0,3,65.31,0.0,0.0,0.0,0.0,0.0
1,0,4,65.5,0.0,0.0,0.0,0.0,0.0
1,1,0,54.07,47.37,0.0,0.0,0.0,0.0
1,1,1,51.94,47.22,0.0,0.0,0.0,0.0
1,1,2,60.47,49.27,0.0,0.0,0.0,0.0
1,1,3,60.66,48.98,0.0,0.0,0.0,0.0
1,1,4,61.05,48.68,0.0,0.0,0.0,0.0
1,2,0,53.88,36.7,9.82,0.0,0.0,0.0
1,2,1,54.65,40.5,18.73,0.0,0.0,0.0
1,2,2,54.84,39.62,19.34,0.0,0.0,0.0
1,2,3,54.26,38.6,20.24,0.0,0.0,0.0
1,2,4,53.88,38.3,20.85,0.0,0.0,0.0
1,3,0,52.91,37.28,19.94,3.54,0.0,0.0
1,3,1,55.43,13.01,4.83,6.34,0.0,0.0
1,3,2,55.23,15.79,6.65,6.49,0.0,0.0
1,3,3,55.81,17.84,7.25,6.49,0.0,0.0
1,3,4,54.65,22.22,8.76,6.64,0.0,0.0
1,4,0,54.07,23.83,7.85,6.34,1.63,0.0
1,4,1,54.26,23.83,8.01,6.34,1.63,0.0
1,4,2,54.65,23.98,8.01,6.05,1.63,0.0
1,4,3,56.01,32.16,11.78,4.72,2.07,0.0
1,4,4,54.84,31.73,12.08,4.57,2.22,0.0
1,5,0,53.88,31.87,11.78,4.57,2.07,0.61
1,5,1,53.49,31.29,11.78,4.57,2.07,0.61
1,5,2,56.2,29.68,8.61,4.28,2.66,4.08
1,5,3,56.2,29.82,8.31,4.13,2.51,4.08
1,5,4,56.2,30.12,8.01,3.69,2.51,4.08
2,0,0,65.82,0.0,0.0,0.0,0.0,0.0
2,0,1,65.62,0.0,0.0,0.0,0.0,0.0
2,0,2,64.44,0.0,0.0,0.0,0.0,0.0
2,0,3,62.28,0.0,0.0,0.0,0.0,0.0
2,0,4,61.3,0.0,0.0,0.0,0.0,0.0
2,1,0,8.84,52.8,0.0,0.0,0.0,0.0
2,1,1,8.45,53.69,0.0,0.0,0.0,0.0
2,1,2,2.75,60.62,0.0,0.0,0.0,0.0
2,1,3,2.55,60.62,0.0,0.0,0.0,0.0
2,1,4,2.36,60.47,0.0,0.0,0.0,0.0
2,2,0,11.2,42.48,36.31,0.0,0.0,0.0
2,2,1,8.06,41.59,49.26,0.0,0.0,0.0
2,2,2,9.23,37.61,50.6,0.0,0.0,0.0
2,2,3,10.02,37.61,49.85,0.0,0.0,0.0
2,2,4,10.22,37.46,50.0,0.0,0.0,0.0
2,3,0,11.39,49.41,42.71,11.06,0.0,0.0
2,3,1,16.11,42.77,38.39,18.59,0.0,0.0
2,3,2,16.5,43.66,38.39,18.89,0.0,0.0
2,3,3,17.09,43.95,38.39,19.05,0.0,0.0
2,3,4,20.43,41.3,33.04,20.28,0.0,0.0
2,4,0,33.4,42.63,34.08,19.05,45.74,0.0
2,4,1,26.52,46.31,31.99,16.59,49.41,0.0
2,4,2,26.72,46.61,31.7,16.74,49.26,0.0
2,4,3,25.74,46.46,31.7,16.9,49.41,0.0
2,4,4,25.54,46.46,31.4,17.05,49.41,0.0
2,5,0,34.97,38.79,31.1,14.13,32.79,12.3
2,5,1,36.15,37.61,22.02,9.83,45.29,30.07
2,5,2,43.03,36.73,22.17,9.98,46.91,35.26
2,5,3,42.63,33.04,19.2,7.07,51.03,43.85
2,5,4,44.2,34.22,23.21,8.91,57.35,49.19
3,0,0,93.35,0.0,0.0,0.0,0.0,0.0
3,0,1,91.39,0.0,0.0,0.0,0.0,0.0
3,0,2,90.61,0.0,0.0,0.0,0.0,0.0
3,0,3,89.63,0.0,0.0,0.0,0.0,0.0
3,0,4,89.24,0.0,0.0,0.0,0.0,0.0
3,1,0,63.41,78.55,0.0,0.0,0.0,0.0
3,1,1,44.62,77.81,0.0,0.0,0.0,0.0
3,1,2,44.62,77.96,0.0,0.0,0.0,0.0
3,1,3,44.62,77.96,0.0,0.0,0.0,0.0
3,1,4,45.01,77.96,0.0,0.0,0.0,0.0
3,2,0,41.88,69.82,37.56,0.0,0.0,0.0
3,2,1,33.66,70.86,42.27,0.0,0.0,0.0
3,2,2,35.03,70.86,43.0,0.0,0.0,0.0
3,2,3,40.51,71.01,44.48,0.0,0.0,0.0
3,2,4,40.51,70.27,44.18,0.0,0.0,0.0
3,3,0,41.29,70.56,43.74,9.46,0.0,0.0
3,3,1,48.53,65.53,44.92,19.22,0.0,0.0
3,3,2,51.66,64.05,43.74,19.37,0.0,0.0
3,3,3,51.86,63.61,43.59,19.22,0.0,0.0
3,3,4,55.97,58.43,54.05,33.48,0.0,0.0
3,4,0,63.21,58.88,48.6,26.43,12.04,0.0
