run,task,cycle,task_1,task_2,task_3,task_4,task_5,task_6
0,0,0,65.78,0.0,0.0,0.0,0.0,0.0
0,0,1,67.85,0.0,0.0,0.0,0.0,0.0
0,0,2,76.0,0.0,0.0,0.0,0.0,0.0
0,0,3,83.56,0.0,0.0,0.0,0.0,0.0
0,0,4,87.41,0.0,0.0,0.0,0.0,0.0
0,1,0,74.07,59.56,0.0,0.0,0.0,0.0
0,1,1,79.7,69.56,0.0,0.0,0.0,0.0
0,1,2,81.19,76.32,0.0,0.0,0.0,0.0
0,1,3,78.37,74.71,0.0,0.0,0.0,0.0
0,1,4,78.81,74.12,0.0,0.0,0.0,0.0
0,2,0,73.93,42.5,80.12,0.0,0.0,0.0
0,2,1,78.37,17.65,95.87,0.0,0.0,0.0
0,2,2,79.26,19.41,94.5,0.0,0.0,0.0
0,2,3,79.26,20.29,94.34,0.0,0.0,0.0
0,2,4,81.33,30.0,91.13,0.0,0.0,0.0
0,3,0,81.33,28.53,63.91,75.67,0.0,0.0
0,3,1,80.74,20.29,54.59,82.09,0.0,0.0
0,3,2,81.04,20.44,54.74,83.58,0.0,0.0
0,3,3,79.85,19.71,54.43,87.01,0.0,0.0
0,3,4,79.41,20.59,54.59,86.57,0.0,0.0
0,4,0,71.26,28.24,57.95,48.21,67.57,0.0
0,4,1,69.63,26.91,56.27,45.52,82.2,0.0
0,4,2,65.33,27.65,55.66,46.27,85.82,0.0
0,4,3,66.67,31.03,54.74,46.27,84.01,0.0
0,4,4,70.52,28.09,55.2,44.48,86.88,0.0
0,5,0,71.11,32.35,57.03,32.69,38.16,37.57
0,5,1,73.78,25.88,55.5,35.22,46.46,51.8
0,5,2,75.26,33.53,53.21,26.87,44.95,55.09
0,5,3,74.67,31.91,53.21,26.72,45.1,55.84
0,5,4,75.11,30.88,52.6,25.82,42.53,59.13
1,0,0,59.16,0.0,0.0,0.0,0.0,0.0
1,0,1,62.21,0.0,0.0,0.0,0.0,0.0
1,0,2,60.76,0.0,0.0,0.0,0.0,0.0
1,0,3,61.48,0.0,0.0,0.0,0.0,0.0
1,0,4,62.35,0.0,0.0,0.0,0.0,0.0
1,1,0,50.73,60.61,0.0,0.0,0.0,0.0
1,1,1,9.3,76.57,0.0,0.0,0.0,0.0
1,1,2,6.69,80.53,0.0,0.0,0.0,0.0
1,1,3,4.07,79.65,0.0,0.0,0.0,0.0
1,1,4,3.63,78.92,0.0,0.0,0.0,0.0
1,2,0,25.73,62.08,35.88,0.0,0.0,0.0
1,2,1,12.35,49.19,61.53,0.0,0.0,0.0
1,2,2,12.06,48.9,61.53,0.0,0.0,0.0
1,2,3,12.06,49.34,61.37,0.0,0.0,0.0
1,2,4,23.84,54.76,54.35,0.0,0.0,0.0
1,3,0,11.48,34.11,5.34,70.12,0.0,0.0
1,3,1,11.48,40.85,4.73,72.16,0.0,0.0
1,3,2,10.61,41.58,4.89,71.28,0.0,0.0
1,3,3,10.32,43.34,5.34,69.1,0.0,0.0
1,3,4,10.32,43.78,5.34,67.64,0.0,0.0
1,4,0,17.01,47.44,13.44,25.66,43.3,0.0
1,4,1,19.91,53.44,19.08,24.49,50.74,0.0
1,4,2,18.31,53.59,18.93,26.68,51.04,0.0
1,4,3,14.68,47.29,13.44,30.61,55.51,0.0
1,4,4,15.26,50.51,12.82,33.09,60.86,0.0
1,5,0,22.24,12.01,12.37,31.05,12.35,66.41
1,5,1,9.3,21.96,9.62,36.73,20.09,81.76
1,5,2,15.12,22.84,4.89,31.78,17.71,82.67
1,5,3,14.53,23.28,4.89,32.51,17.41,83.28
1,5,4,15.26,24.74,7.48,38.48,20.83,83.89
2,0,0,57.29,0.0,0.0,0.0,0.0,0.0
2,0,1,57.44,0.0,0.0,0.0,0.0,0.0
2,0,2,56.55,0.0,0.0,0.0,0.0,0.0
2,0,3,56.55,0.0,0.0,0.0,0.0,0.0
2,0,4,55.38,0.0,0.0,0.0,0.0,0.0
2,1,0,6.33,82.74,0.0,0.0,0.0,0.0
2,1,1,10.9,85.4,0.0,0.0,0.0,0.0
2,1,2,10.31,84.96,0.0,0.0,0.0,0.0
2,1,3,21.06,84.07,0.0,0.0,0.0,0.0
2,1,4,15.46,88.2,0.0,0.0,0.0,0.0
2,2,0,31.96,47.2,51.79,0.0,0.0,0.0
2,2,1,51.1,36.73,66.27,0.0,0.0,0.0
2,2,2,51.25,33.19,66.87,0.0,0.0,0.0
2,2,3,51.69,30.83,67.16,0.0,0.0,0.0
2,2,4,51.69,27.14,66.87,0.0,0.0,0.0
2,3,0,49.19,40.12,35.22,42.02,0.0,0.0
2,3,1,51.25,27.29,31.49,48.68,0.0,0.0
2,3,2,51.4,36.14,21.94,56.59,0.0,0.0
2,3,3,55.96,30.38,21.04,50.7,0.0,0.0
2,3,4,54.64,28.76,15.22,61.71,0.0,0.0
2,4,0,27.54,31.71,49.85,20.16,92.62,0.0
