run,task,cycle,task_1,task_2,task_3,task_4,task_5,task_6
0,0,0,61.33,0.0,0.0,0.0,0.0,0.0
0,0,1,63.11,0.0,0.0,0.0,0.0,0.0
0,0,2,63.7,0.0,0.0,0.0,0.0,0.0
0,0,3,63.7,0.0,0.0,0.0,0.0,0.0
0,0,4,63.85,0.0,0.0,0.0,0.0,0.0
0,1,0,43.56,54.12,0.0,0.0,0.0,0.0
0,1,1,43.11,54.26,0.0,0.0,0.0,0.0
0,1,2,43.26,54.12,0.0,0.0,0.0,0.0
0,1,3,43.7,54.85,0.0,0.0,0.0,0.0
0,1,4,43.85,55.15,0.0,0.0,0.0,0.0
0,2,0,37.04,28.97,80.89,0.0,0.0,0.0
0,2,1,39.26,27.35,80.73,0.0,0.0,0.0
0,2,2,36.15,8.24,86.24,0.0,0.0,0.0
0,2,3,36.59,8.24,85.78,0.0,0.0,0.0
0,2,4,37.63,8.24,85.63,0.0,0.0,0.0
0,3,0,56.89,36.32,72.94,15.22,0.0,0.0
0,3,1,53.48,36.76,62.23,27.76,0.0,0.0
0,3,2,52.74,38.24,62.54,28.21,0.0,0.0
0,3,3,54.37,39.12,61.31,29.1,0.0,0.0
0,3,4,54.67,39.41,61.16,28.96,0.0,0.0
0,4,0,47.41,36.03,71.56,21.34,19.16,0.0
0,4,1,44.3,35.15,56.27,19.55,24.74,0.0
0,4,2,44.44,35.15,56.73,19.7,24.43,0.0
0,4,3,44.74,35.0,57.34,19.7,24.28,0.0
0,4,4,45.19,35.15,57.65,19.4,24.28,0.0
0,5,0,52.74,36.47,61.01,26.27,20.66,4.34
0,5,1,56.15,34.41,64.22,21.19,19.31,9.58
0,5,2,56.15,34.56,64.22,21.34,19.31,9.28
0,5,3,56.3,34.56,64.07,21.34,19.31,9.43
0,5,4,59.85,37.35,64.37,22.24,16.74,19.76
1,0,0,59.88,0.0,0.0,0.0,0.0,0.0
1,0,1,59.88,0.0,0.0,0.0,0.0,0.0
1,0,2,59.88,0.0,0.0,0.0,0.0,0.0
1,0,3,65.55,0.0,0.0,0.0,0.0,0.0
1,0,4,65.41,0.0,0.0,0.0,0.0,0.0
1,1,0,54.65,47.58,0.0,0.0,0.0,0.0
1,1,1,32.12,65.3,0.0,0.0,0.0,0.0
1,1,2,30.38,67.2,0.0,0.0,0.0,0.0
1,1,3,29.07,68.08,0.0,0.0,0.0,0.0
1,1,4,28.34,67.94,0.0,0.0,0.0,0.0
1,2,0,42.59,34.26,26.11,0.0,0.0,0.0
1,2,1,39.39,34.26,25.19,0.0,0.0,0.0
1,2,2,39.68,34.7,25.19,0.0,0.0,0.0
1,2,3,36.63,34.99,24.73,0.0,0.0,0.0
1,2,4,36.77,34.99,24.73,0.0,0.0,0.0
1,3,0,34.74,5.86,30.99,9.48,0.0,0.0
1,3,1,33.28,41.87,18.47,22.45,0.0,0.0
1,3,2,33.43,39.68,16.64,23.32,0.0,0.0
1,3,3,33.28,39.82,15.73,23.76,0.0,0.0
1,3,4,32.7,39.24,15.27,24.05,0.0,0.0
1,4,0,29.36,34.41,15.88,7.43,31.99,0.0
1,4,1,30.09,35.14,9.77,11.66,43.75,0.0
1,4,2,30.09,35.14,9.62,11.81,44.2,0.0
1,4,3,30.38,35.58,9.31,11.81,43.75,0.0
1,4,4,29.8,35.72,8.55,12.1,43.6,0.0
1,5,0,37.79,10.98,11.45,8.89,16.07,32.37
1,5,1,34.01,24.74,1.98,9.04,22.02,29.94
1,5,2,34.01,26.21,2.14,8.16,22.92,31.46
1,5,3,34.16,27.38,2.14,8.16,23.07,31.61
1,5,4,34.59,28.26,1.98,7.58,21.73,33.28
2,0,0,64.65,0.0,0.0,0.0,0.0,0.0
2,0,1,62.0,0.0,0.0,0.0,0.0,0.0
2,0,2,59.06,0.0,0.0,0.0,0.0,0.0
2,0,3,58.62,0.0,0.0,0.0,0.0,0.0
2,0,4,57.73,0.0,0.0,0.0,0.0,0.0
2,1,0,8.69,76.84,0.0,0.0,0.0,0.0
2,1,1,7.36,78.91,0.0,0.0,0.0,0.0
2,1,2,7.07,78.02,0.0,0.0,0.0,0.0
