run,task,cycle,task_1,task_2,task_3,task_4,task_5,task_6
0,0,0,61.33,0.0,0.0,0.0,0.0,0.0
0,0,0,61.33,0.0,0.0,0.0,0.0,0.0
0,0,0,61.33,0.0,0.0,0.0,0.0,0.0
0,0,1,62.96,0.0,0.0,0.0,0.0,0.0
0,0,2,63.7,0.0,0.0,0.0,0.0,0.0
0,0,3,63.85,0.0,0.0,0.0,0.0,0.0
0,0,4,64.3,0.0,0.0,0.0,0.0,0.0
0,1,0,44.89,54.41,0.0,0.0,0.0,0.0
0,1,1,44.0,54.71,0.0,0.0,0.0,0.0
0,1,2,44.3,54.71,0.0,0.0,0.0,0.0
0,1,3,45.04,54.71,0.0,0.0,0.0,0.0
0,1,4,45.48,54.56,0.0,0.0,0.0,0.0
0,2,0,33.63,46.47,62.08,0.0,0.0,0.0
0,2,1,36.15,45.74,61.93,0.0,0.0,0.0
0,2,2,42.96,35.0,62.54,0.0,0.0,0.0
0,2,3,47.11,35.74,68.96,0.0,0.0,0.0
0,2,4,47.41,31.62,71.25,0.0,0.0,0.0
0,3,0,67.11,25.15,66.82,55.82,0.0,0.0
0,3,1,65.33,20.59,58.1,74.03,0.0,0.0
0,3,2,64.59,20.74,58.56,74.03,0.0,0.0
0,3,3,64.74,22.94,61.93,71.04,0.0,0.0
0,3,4,64.15,22.79,61.77,70.45,0.0,0.0
0,4,0,62.37,30.15,62.54,58.51,45.55,0.0
0,4,1,55.41,18.82,42.05,42.84,67.42,0.0
0,4,2,56.0,18.09,43.27,42.99,66.67,0.0
0,4,3,56.59,18.24,43.43,43.58,65.91,0.0
0,4,4,63.56,17.35,66.36,46.42,68.78,0.0
0,5,0,67.56,20.0,62.69,54.18,53.54,14.97
0,5,1,64.15,14.26,44.04,34.78,53.39,22.16
0,5,2,70.96,12.06,58.72,46.87,45.55,34.58
0,5,3,70.96,12.35,58.26,46.87,46.15,34.73
0,5,4,70.96,12.79,57.49,46.72,46.0,34.73
1,0,0,59.88,0.0,0.0,0.0,0.0,0.0
1,0,1,59.88,0.0,0.0,0.0,0.0,0.0
1,0,2,59.45,0.0,0.0,0.0,0.0,0.0
1,0,3,60.47,0.0,0.0,0.0,0.0,0.0
1,0,4,62.79,0.0,0.0,0.0,0.0,0.0
1,1,0,53.49,51.39,0.0,0.0,0.0,0.0
1,1,1,53.49,49.19,0.0,0.0,0.0,0.0
1,1,2,53.49,47.0,0.0,0.0,0.0,0.0
1,1,3,21.51,64.13,0.0,0.0,0.0,0.0
1,1,4,18.31,64.42,0.0,0.0,0.0,0.0
1,2,0,36.19,37.34,31.3,0.0,0.0,0.0
1,2,1,16.13,35.58,51.91,0.0,0.0,0.0
1,2,2,17.59,34.55,52.52,0.0,0.0,0.0
1,2,3,17.88,35.29,54.05,0.0,0.0,0.0
1,2,4,19.48,35.43,51.45,0.0,0.0,0.0
1,3,0,33.28,38.65,6.87,37.76,0.0,0.0
1,3,1,27.03,22.84,7.18,44.61,0.0,0.0
1,3,2,26.89,26.65,5.65,45.77,0.0,0.0
1,3,3,26.31,27.23,5.65,47.08,0.0,0.0
1,3,4,27.62,30.89,6.41,46.79,0.0,0.0
1,4,0,36.05,33.67,4.58,30.47,6.4,0.0
1,4,1,30.52,30.45,3.82,32.22,5.06,0.0
1,4,2,30.09,30.01,3.82,32.8,5.21,0.0
1,4,3,29.94,29.72,3.36,33.24,5.21,0.0
1,4,4,29.65,29.58,3.21,33.38,5.36,0.0
1,5,0,36.48,37.04,4.73,15.89,9.97,39.82
1,5,1,21.08,36.16,3.97,15.89,8.63,56.84
1,5,2,21.66,34.7,3.66,15.89,8.04,56.69
1,5,3,21.8,33.97,2.75,15.74,8.48,58.21
1,5,4,25.44,41.0,2.9,15.31,13.69,60.18
2,0,0,64.65,0.0,0.0,0.0,0.0,0.0
2,0,1,62.3,0.0,0.0,0.0,0.0,0.0
2,0,2,60.24,0.0,0.0,0.0,0.0,0.0
2,0,3,59.2,0.0,0.0,0.0,0.0,0.0
2,0,4,57.29,0.0,0.0,0.0,0.0,0.0
2,1,0,15.32,70.8,0.0,0.0,0.0,0.0
