run,task,cycle,task_1,task_2,task_3,task_4,task_5,task_6
0,0,0,61.33,0.0,0.0,0.0,0.0,0.0
0,0,1,63.56,0.0,0.0,0.0,0.0,0.0
0,0,2,62.96,0.0,0.0,0.0,0.0,0.0
0,0,3,62.81,0.0,0.0,0.0,0.0,0.0
0,0,4,62.67,0.0,0.0,0.0,0.0,0.0
0,1,0,43.26,59.12,0.0,0.0,0.0,0.0
0,1,1,42.67,59.41,0.0,0.0,0.0,0.0
0,1,2,42.67,58.24,0.0,0.0,0.0,0.0
0,1,3,42.81,58.24,0.0,0.0,0.0,0.0
0,1,4,42.52,58.82,0.0,0.0,0.0,0.0
0,2,0,40.3,33.53,77.06,0.0,0.0,0.0
0,2,1,41.33,33.09,76.91,0.0,0.0,0.0
0,2,2,46.81,20.29,82.87,0.0,0.0,0.0
0,2,3,46.52,19.41,82.57,0.0,0.0,0.0
0,2,4,46.67,18.38,82.42,0.0,0.0,0.0
0,3,0,55.11,27.06,74.62,19.1,0.0,0.0
0,3,1,58.22,27.35,61.47,25.52,0.0,0.0
0,3,2,57.78,27.5,61.31,24.93,0.0,0.0
0,3,3,57.93,27.5,62.23,24.93,0.0,0.0
0,3,4,58.37,28.09,62.39,25.52,0.0,0.0
0,4,0,54.22,36.76,59.63,21.19,14.78,0.0
0,4,1,61.33,37.06,62.69,20.45,43.74,0.0
0,4,2,62.22,32.94,62.84,23.13,46.91,0.0
0,4,3,61.93,35.29,62.84,22.09,46.0,0.0
0,4,4,62.07,35.29,62.84,22.09,46.0,0.0
0,5,0,68.74,30.59,59.02,23.73,41.03,28.14
0,5,1,66.52,26.03,52.6,13.73,40.72,30.09
0,5,2,70.67,25.88,58.56,18.96,40.42,29.94
0,5,3,69.19,28.68,57.34,25.07,41.03,31.29
0,5,4,69.19,28.82,57.65,24.03,41.03,31.29
1,0,0,59.88,0.0,0.0,0.0,0.0,0.0
1,0,1,59.59,0.0,0.0,0.0,0.0,0.0
1,0,2,59.45,0.0,0.0,0.0,0.0,0.0
1,0,3,59.59,0.0,0.0,0.0,0.0,0.0
1,0,4,62.5,0.0,0.0,0.0,0.0,0.0
1,1,0,53.2,52.27,0.0,0.0,0.0,0.0
1,1,1,52.91,50.51,0.0,0.0,0.0,0.0
