run,task,cycle,task_1,task_2,task_3,task_4,task_5,task_6
0,0,0,64.23,0.0,0.0,0.0,0.0,0.0
0,0,1,66.6,0.0,0.0,0.0,0.0,0.0
0,0,2,69.37,0.0,0.0,0.0,0.0,0.0
0,0,3,75.49,0.0,0.0,0.0,0.0,0.0
0,0,4,75.1,0.0,0.0,0.0,0.0,0.0
0,1,0,50.2,51.99,0.0,0.0,0.0,0.0
0,1,1,51.38,52.43,0.0,0.0,0.0,0.0
0,1,2,53.95,52.72,0.0,0.0,0.0,0.0
0,1,3,56.72,55.82,0.0,0.0,0.0,0.0
0,1,4,64.23,60.97,0.0,0.0,0.0,0.0
0,2,0,50.2,52.87,49.7,0.0,0.0,0.0
0,2,1,58.3,53.17,50.91,0.0,0.0,0.0
0,2,2,59.09,53.61,49.85,0.0,0.0,0.0
0,2,3,59.49,53.76,49.24,0.0,0.0,0.0
0,2,4,67.39,44.18,63.94,0.0,0.0,0.0
0,3,0,72.92,42.42,44.85,47.0,0.0,0.0
0,3,1,74.51,35.05,42.88,53.9,0.0,0.0
0,3,2,71.74,40.35,52.88,49.7,0.0,0.0
0,3,3,76.88,35.64,48.94,57.06,0.0,0.0
0,3,4,76.68,35.64,49.09,56.91,0.0,0.0
0,4,0,71.34,34.32,36.52,56.31,41.35,0.0
0,4,1,56.32,27.25,20.3,52.85,53.53,0.0
0,4,2,65.02,31.96,35.76,57.51,51.13,0.0
0,4,3,68.97,31.52,32.27,54.05,52.63,0.0
0,4,4,68.77,31.52,32.27,54.2,52.48,0.0
0,5,0,70.36,31.96,36.21,53.3,46.77,14.09
0,5,1,64.03,33.73,37.12,52.25,50.98,21.89
0,5,2,70.75,28.28,29.85,47.9,52.93,30.43
0,5,3,70.75,28.28,29.85,47.45,53.23,30.28
0,5,4,70.55,28.28,30.15,47.15,53.38,30.43
1,0,0,56.2,0.0,0.0,0.0,0.0,0.0
1,0,1,55.43,0.0,0.0,0.0,0.0,0.0
1,0,2,56.98,0.0,0.0,0.0,0.0,0.0
1,0,3,53.88,0.0,0.0,0.0,0.0,0.0
1,0,4,60.66,0.0,0.0,0.0,0.0,0.0
1,1,0,57.95,45.47,0.0,0.0,0.0,0.0
1,1,1,51.55,46.49,0.0,0.0,0.0,0.0
1,1,2,51.16,46.93,0.0,0.0,0.0,0.0
1,1,3,49.81,46.2,0.0,0.0,0.0,0.0
1,1,4,46.71,46.2,0.0,0.0,0.0,0.0
1,2,0,25.19,43.27,17.82,0.0,0.0,0.0
1,2,1,34.3,44.44,22.21,0.0,0.0,0.0
1,2,2,35.66,43.27,22.81,0.0,0.0,0.0
1,2,3,35.47,42.98,23.11,0.0,0.0,0.0
1,2,4,35.47,43.13,23.26,0.0,0.0,0.0
1,3,0,39.53,48.83,22.66,12.54,0.0,0.0
1,3,1,39.15,48.25,22.36,12.54,0.0,0.0
1,3,2,36.82,35.82,24.32,17.26,0.0,0.0
1,3,3,36.63,35.67,24.02,17.11,0.0,0.0
1,3,4,36.63,35.67,24.32,17.26,0.0,0.0
