run,task,cycle,task_1,task_2,task_3,task_4,task_5,task_6
0,0,0,64.23,0.0,0.0,0.0,0.0,0.0
0,0,1,66.6,0.0,0.0,0.0,0.0,0.0
0,0,2,69.37,0.0,0.0,0.0,0.0,0.0
0,0,3,75.49,0.0,0.0,0.0,0.0,0.0
0,0,4,75.1,0.0,0.0,0.0,0.0,0.0
0,1,0,47.83,44.04,0.0,0.0,0.0,0.0
0,1,1,51.19,48.31,0.0,0.0,0.0,0.0
0,1,2,52.96,51.4,0.0,0.0,0.0,0.0
0,1,3,60.87,54.05,0.0,0.0,0.0,0.0
0,1,4,63.83,61.56,0.0,0.0,0.0,0.0
0,2,0,56.13,55.67,49.39,0.0,0.0,0.0
0,2,1,73.32,50.37,63.33,0.0,0.0,0.0
0,2,2,73.91,48.45,67.73,0.0,0.0,0.0
0,2,3,73.91,48.01,66.97,0.0,0.0,0.0
0,2,4,74.51,44.48,65.76,0.0,0.0,0.0
0,3,0,74.7,41.68,58.03,27.93,0.0,0.0
0,3,1,74.7,41.38,58.03,28.08,0.0,0.0
0,3,2,74.51,41.53,58.18,27.63,0.0,0.0
0,3,3,75.1,34.46,71.06,35.59,0.0,0.0
0,3,4,77.67,31.81,68.33,48.5,0.0,0.0
0,4,0,71.94,32.11,66.82,33.18,25.26,0.0
0,4,1,67.59,28.72,60.45,32.58,33.08,0.0
0,4,2,68.77,28.57,60.91,32.43,32.93,0.0
0,4,3,68.97,29.01,60.91,32.88,32.78,0.0
0,4,4,69.17,29.01,61.21,32.88,32.63,0.0
0,5,0,72.92,29.16,67.27,25.83,30.53,12.59
0,5,1,69.76,27.69,62.27,22.97,33.83,22.79
0,5,2,69.37,27.84,62.12,23.27,33.68,22.79
0,5,3,75.89,27.1,58.94,20.42,33.98,30.13
0,5,4,73.32,25.77,57.27,24.02,38.2,34.48
1,0,0,56.2,0.0,0.0,0.0,0.0,0.0
1,0,1,55.43,0.0,0.0,0.0,0.0,0.0
1,0,2,56.98,0.0,0.0,0.0,0.0,0.0
1,0,3,53.88,0.0,0.0,0.0,0.0,0.0
1,0,4,60.66,0.0,0.0,0.0,0.0,0.0
1,1,0,42.44,44.74,0.0,0.0,0.0,0.0
1,1,1,44.38,45.47,0.0,0.0,0.0,0.0
1,1,2,44.57,45.03,0.0,0.0,0.0,0.0
1,1,3,44.19,44.59,0.0,0.0,0.0,0.0
1,1,4,45.16,44.3,0.0,0.0,0.0,0.0
1,2,0,50.58,44.15,15.26,0.0,0.0,0.0
1,2,1,38.57,44.88,21.6,0.0,0.0,0.0
1,2,2,36.24,44.88,21.45,0.0,0.0,0.0
1,2,3,36.43,46.2,22.36,0.0,0.0,0.0
1,2,4,32.75,42.11,20.85,0.0,0.0,0.0
1,3,0,49.81,35.38,15.41,2.8,0.0,0.0
1,3,1,44.57,41.23,23.26,8.26,0.0,0.0
1,3,2,44.96,39.62,23.41,10.77,0.0,0.0
1,3,3,42.44,38.45,23.56,11.21,0.0,0.0
1,3,4,42.64,38.6,23.26,11.36,0.0,0.0
