run,task,cycle,task_1,task_2,task_3,task_4,task_5,task_6
0,0,0,61.33,0.0,0.0,0.0,0.0,0.0
0,0,1,62.37,0.0,0.0,0.0,0.0,0.0
0,1,0,44.44,60.88,0.0,0.0,0.0,0.0
0,1,1,48.3,67.06,0.0,0.0,0.0,0.0
0,2,0,37.19,33.53,74.46,0.0,0.0,0.0
0,2,1,45.48,28.97,77.37,0.0,0.0,0.0
0,3,0,57.04,35.74,72.94,15.37,0.0,0.0
0,3,1,60.15,31.03,68.35,29.55,0.0,0.0
0,4,0,63.41,41.18,71.25,23.58,32.28,0.0
0,4,1,63.56,43.09,68.65,32.69,39.82,0.0
0,5,0,66.22,34.71,67.13,41.19,44.65,2.84
0,5,1,66.81,34.71,67.58,39.4,44.49,2.84
1,0,0,59.88,0.0,0.0,0.0,0.0,0.0
1,0,1,60.03,0.0,0.0,0.0,0.0,0.0
1,1,0,52.03,54.47,0.0,0.0,0.0,0.0
1,1,1,52.18,52.56,0.0,0.0,0.0,0.0
1,2,0,26.02,47.88,28.7,0.0,0.0,0.0
1,2,1,23.26,36.16,40.31,0.0,0.0,0.0
1,3,0,36.92,7.76,15.88,27.41,0.0,0.0
1,3,1,37.06,8.35,15.57,25.95,0.0,0.0
1,4,0,29.65,22.11,17.25,14.87,16.67,0.0
1,4,1,29.65,28.55,15.88,8.89,24.26,0.0
1,5,0,31.1,3.37,21.98,10.2,15.33,26.14
1,5,1,30.67,2.64,22.9,10.06,15.33,25.38
2,0,0,64.65,0.0,0.0,0.0,0.0,0.0
2,0,1,63.92,0.0,0.0,0.0,0.0,0.0
2,1,0,8.84,80.09,0.0,0.0,0.0,0.0
2,1,1,7.07,83.04,0.0,0.0,0.0,0.0
2,2,0,14.43,54.57,46.87,0.0,0.0,0.0
2,2,1,14.58,55.6,46.27,0.0,0.0,0.0
2,3,0,28.13,53.54,36.57,19.22,0.0,0.0
2,3,1,29.75,52.8,36.42,18.6,0.0,0.0
2,4,0,48.9,30.09,26.72,19.38,69.9,0.0
2,4,1,43.89,33.92,24.93,16.43,67.87,0.0
2,5,0,43.74,32.01,22.39,17.83,55.28,10.0
2,5,1,45.07,31.86,21.64,18.29,54.99,9.85
3,0,0,94.28,0.0,0.0,0.0,0.0,0.0
3,0,1,91.5,0.0,0.0,0.0,0.0,0.0
3,1,0,40.18,87.69,0.0,0.0,0.0,0.0
3,1,1,37.54,86.94,0.0,0.0,0.0,0.0
3,2,0,34.31,78.64,56.24,0.0,0.0,0.0
3,2,1,34.9,79.38,54.48,0.0,0.0,0.0
3,3,0,50.59,71.07,44.2,28.94,0.0,0.0
3,3,1,51.03,71.81,44.05,29.24,0.0,0.0
3,4,0,48.09,46.59,46.7,40.45,57.1,0.0
3,4,1,43.99,43.62,45.96,38.03,65.19,0.0
3,5,0,43.84,43.18,42.44,37.27,56.34,19.32
3,5,1,43.84,43.47,42.29,37.12,56.03,18.88
4,0,0,80.03,0.0,0.0,0.0,0.0,0.0
4,0,1,78.33,0.0,0.0,0.0,0.0,0.0
4,1,0,40.09,89.57,0.0,0.0,0.0,0.0
4,1,1,15.02,95.89,0.0,0.0,0.0,0.0
4,2,0,47.21,61.82,24.77,0.0,0.0,0.0
4,2,1,37.0,56.09,34.68,0.0,0.0,0.0
4,3,0,51.08,53.45,34.98,19.94,0.0,0.0
4,3,1,50.93,53.45,33.63,20.83,0.0,0.0
4,4,0,41.02,25.7,26.13,25.6,26.62,0.0
4,4,1,40.71,26.14,25.38,25.45,26.77,0.0
4,5,0,26.16,27.17,20.87,32.14,19.25,21.49
4,5,1,26.01,28.78,19.52,32.74,19.1,21.05
