run,task,cycle,task_1,task_2,task_3,task_4,task_5,task_6
0,0,0,61.33,0.0,0.0,0.0,0.0,0.0
0,0,1,62.37,0.0,0.0,0.0,0.0,0.0
0,0,2,62.81,0.0,0.0,0.0,0.0,0.0
0,0,3,62.96,0.0,0.0,0.0,0.0,0.0
0,0,4,63.56,0.0,0.0,0.0,0.0,0.0
0,1,0,45.33,61.18,0.0,0.0,0.0,0.0
0,1,1,45.04,61.18,0.0,0.0,0.0,0.0
0,1,2,44.59,61.91,0.0,0.0,0.0,0.0
0,1,3,45.19,61.91,0.0,0.0,0.0,0.0
0,1,4,45.78,61.47,0.0,0.0,0.0,0.0
0,2,0,32.74,48.97,66.67,0.0,0.0,0.0
0,2,1,49.48,29.12,77.68,0.0,0.0,0.0
0,2,2,52.0,24.12,79.36,0.0,0.0,0.0
0,2,3,52.3,21.47,79.97,0.0,0.0,0.0
0,2,4,51.85,15.59,79.82,0.0,0.0,0.0
0,3,0,65.19,32.21,68.04,43.73,0.0,0.0
0,3,1,66.07,32.06,68.35,43.73,0.0,0.0
0,3,2,66.37,25.59,59.02,65.82,0.0,0.0
0,3,3,68.0,25.88,59.94,71.04,0.0,0.0
0,3,4,66.37,17.5,59.02,66.72,0.0,0.0
0,4,0,47.7,24.85,55.35,57.16,31.52,0.0
0,4,1,47.11,23.53,50.46,54.78,38.31,0.0
0,4,2,57.63,21.91,54.74,52.09,40.12,0.0
0,4,3,58.07,21.32,56.88,52.99,41.18,0.0
0,4,4,58.22,21.62,57.95,53.28,41.33,0.0
0,5,0,59.11,27.94,51.99,43.13,33.79,15.27
0,5,1,57.48,23.82,51.53,33.13,30.62,24.25
0,5,2,60.74,21.18,53.21,41.64,33.18,29.64
0,5,3,60.74,21.62,53.52,42.24,33.03,29.49
0,5,4,60.89,23.68,57.34,23.88,31.98,30.24
1,0,0,59.88,0.0,0.0,0.0,0.0,0.0
1,0,1,59.88,0.0,0.0,0.0,0.0,0.0
1,0,2,60.47,0.0,0.0,0.0,0.0,0.0
1,0,3,61.48,0.0,0.0,0.0,0.0,0.0
1,0,4,61.05,0.0,0.0,0.0,0.0,0.0
1,1,0,53.2,52.56,0.0,0.0,0.0,0.0
1,1,1,53.2,51.24,0.0,0.0,0.0,0.0
1,1,2,52.62,49.63,0.0,0.0,0.0,0.0
1,1,3,16.86,73.94,0.0,0.0,0.0,0.0
1,1,4,14.68,75.4,0.0,0.0,0.0,0.0
1,2,0,48.69,35.43,13.89,0.0,0.0,0.0
1,2,1,42.01,36.16,25.8,0.0,0.0,0.0
1,2,2,40.7,38.65,27.18,0.0,0.0,0.0
1,2,3,37.65,37.19,31.91,0.0,0.0,0.0
1,2,4,39.83,34.99,31.3,0.0,0.0,0.0
1,3,0,36.63,5.86,19.54,24.78,0.0,0.0
1,3,1,40.7,31.04,14.66,29.15,0.0,0.0
1,3,2,39.39,27.82,13.89,33.82,0.0,0.0
1,3,3,37.21,25.18,14.2,37.9,0.0,0.0
1,3,4,37.5,20.5,8.55,33.67,0.0,0.0
1,4,0,44.62,16.54,10.53,20.99,2.08,0.0
1,4,1,44.62,17.57,10.38,20.55,2.38,0.0
1,4,2,44.62,18.01,10.53,20.26,2.38,0.0
1,4,3,46.66,20.2,11.45,16.47,2.23,0.0
1,4,4,47.53,18.45,11.76,15.16,2.38,0.0
1,5,0,49.13,15.23,18.17,23.32,2.98,15.05
1,5,1,48.84,15.96,18.17,23.03,2.98,14.13
1,5,2,45.06,15.96,11.45,19.24,3.72,17.33
1,5,3,43.9,19.47,9.77,16.33,2.08,20.67
1,5,4,34.74,31.04,7.33,15.45,3.27,42.55
2,0,0,64.65,0.0,0.0,0.0,0.0,0.0
2,0,1,64.06,0.0,0.0,0.0,0.0,0.0
2,0,2,61.86,0.0,0.0,0.0,0.0,0.0
2,0,3,60.38,0.0,0.0,0.0,0.0,0.0
2,0,4,59.65,0.0,0.0,0.0,0.0,0.0
2,1,0,9.72,76.7,0.0,0.0,0.0,0.0
2,1,1,9.43,76.7,0.0,0.0,0.0,0.0
2,1,2,7.81,81.86,0.0,0.0,0.0,0.0
2,1,3,7.81,81.71,0.0,0.0,0.0,0.0
2,1,4,9.57,80.53,0.0,0.0,0.0,0.0
2,2,0,15.02,51.03,38.51,0.0,0.0,0.0
2,2,1,17.23,44.54,55.37,0.0,0.0,0.0
2,2,2,17.38,46.61,58.96,0.0,0.0,0.0
2,2,3,18.41,46.76,58.96,0.0,0.0,0.0
2,2,4,19.15,46.61,59.25,0.0,0.0,0.0
2,3,0,19.29,33.33,14.93,35.19,0.0,0.0
2,3,1,19.59,32.6,14.78,34.88,0.0,0.0
2,3,2,31.22,15.04,22.54,38.76,0.0,0.0
2,3,3,37.26,11.06,12.84,54.26,0.0,0.0
2,3,4,38.14,10.77,11.19,54.57,0.0,0.0
2,4,0,50.52,12.09,13.43,36.28,61.22,0.0
2,4,1,49.04,11.65,13.73,35.81,61.79,0.0
2,4,2,48.9,11.8,14.18,35.81,62.23,0.0
2,4,3,47.57,11.5,14.78,35.81,62.52,0.0
2,4,4,45.8,11.36,10.9,39.69,66.86,0.0
2,5,0,46.69,17.11,7.91,44.34,50.94,2.99
2,5,1,46.54,15.78,7.91,44.96,50.65,2.84
2,5,2,47.13,15.19,7.91,45.74,51.23,2.84
2,5,3,47.13,9.44,10.15,37.98,54.56,8.66
2,5,4,47.57,10.18,9.7,38.45,54.41,8.66
3,0,0,94.28,0.0,0.0,0.0,0.0,0.0
3,0,1,91.5,0.0,0.0,0.0,0.0,0.0
3,0,2,87.1,0.0,0.0,0.0,0.0,0.0
3,0,3,84.02,0.0,0.0,0.0,0.0,0.0
3,0,4,80.5,0.0,0.0,0.0,0.0,0.0
3,1,0,40.76,86.8,0.0,0.0,0.0,0.0
3,1,1,40.03,86.94,0.0,0.0,0.0,0.0
3,1,2,57.33,90.36,0.0,0.0,0.0,0.0
3,1,3,55.13,89.02,0.0,0.0,0.0,0.0
3,1,4,54.4,88.43,0.0,0.0,0.0,0.0
3,2,0,50.29,71.81,61.97,0.0,0.0,0.0
3,2,1,41.2,73.74,64.17,0.0,0.0,0.0
3,2,2,40.03,73.89,67.84,0.0,0.0,0.0
3,2,3,39.74,73.89,67.84,0.0,0.0,0.0
3,2,4,39.59,73.89,67.55,0.0,0.0,0.0
3,3,0,45.01,76.71,55.07,32.12,0.0,0.0
3,3,1,46.48,74.04,56.98,45.61,0.0,0.0
3,3,2,43.55,70.47,56.24,54.55,0.0,0.0
3,3,3,43.55,72.55,63.14,59.24,0.0,0.0
3,3,4,40.47,61.13,57.42,66.97,0.0,0.0
3,4,0,41.5,62.91,68.28,46.97,27.18,0.0
3,4,1,42.96,51.63,65.79,42.12,57.25,0.0
3,4,2,42.82,52.08,67.99,43.64,59.54,0.0
3,4,3,44.43,51.78,60.65,50.15,54.5,0.0
3,4,4,43.55,58.75,60.79,47.58,57.71,0.0
3,5,0,42.38,59.94,66.81,42.58,27.18,23.16
3,5,1,43.55,46.14,64.17,36.97,21.98,30.83
3,5,2,42.23,52.52,60.5,48.33,23.21,34.66
3,5,3,41.35,52.97,58.88,44.09,22.44,38.35
3,5,4,41.35,52.67,58.44,44.09,22.9,37.61
4,0,0,80.03,0.0,0.0,0.0,0.0,0.0
4,0,1,78.33,0.0,0.0,0.0,0.0,0.0
4,0,2,78.33,0.0,0.0,0.0,0.0,0.0
4,0,3,76.78,0.0,0.0,0.0,0.0,0.0
4,0,4,76.16,0.0,0.0,0.0,0.0,0.0
4,1,0,46.28,88.25,0.0,0.0,0.0,0.0
