run,task,cycle,task_1,task_2,task_3,task_4,task_5,task_6
0,0,0,61.33,0.0,0.0,0.0,0.0,0.0
0,0,1,62.37,0.0,0.0,0.0,0.0,0.0
0,1,0,44.44,60.88,0.0,0.0,0.0,0.0
0,1,1,44.74,62.21,0.0,0.0,0.0,0.0
0,2,0,40.0,36.76,73.55,0.0,0.0,0.0
0,2,1,49.04,18.97,89.76,0.0,0.0,0.0
0,3,0,55.56,35.59,73.7,31.64,0.0,0.0
0,3,1,55.7,37.94,74.01,32.24,0.0,0.0
0,4,0,63.11,22.94,77.22,14.78,39.22,0.0
0,4,1,52.74,21.32,68.96,11.94,48.72,0.0
0,5,0,65.63,17.5,68.04,25.37,47.81,14.22
0,5,1,62.22,13.09,64.83,21.64,45.55,27.1
1,0,0,59.88,0.0,0.0,0.0,0.0,0.0
1,0,1,59.88,0.0,0.0,0.0,0.0,0.0
1,1,0,52.03,54.47,0.0,0.0,0.0,0.0
1,1,1,25.44,72.91,0.0,0.0,0.0,0.0
1,2,0,44.04,46.12,22.14,0.0,0.0,0.0
1,2,1,41.42,45.68,37.4,0.0,0.0,0.0
1,3,0,36.34,28.7,17.56,21.87,0.0,0.0
1,3,1,22.53,20.79,7.48,40.67,0.0,0.0
1,4,0,35.47,30.16,19.69,20.26,7.29,0.0
1,4,1,30.81,26.65,11.15,22.45,16.37,0.0
1,5,0,33.72,23.72,13.74,27.99,5.95,15.5
1,5,1,35.76,13.47,6.56,19.53,5.95,26.14
2,0,0,64.65,0.0,0.0,0.0,0.0,0.0
2,0,1,64.06,0.0,0.0,0.0,0.0,0.0
2,1,0,7.36,79.94,0.0,0.0,0.0,0.0
2,1,1,7.51,79.79,0.0,0.0,0.0,0.0
2,2,0,14.14,46.76,46.72,0.0,0.0,0.0
2,2,1,12.81,49.12,54.18,0.0,0.0,0.0
2,3,0,25.92,30.09,50.45,12.87,0.0,0.0
2,3,1,27.1,29.5,50.9,12.87,0.0,0.0
2,4,0,37.11,23.45,41.64,7.91,60.93,0.0
2,4,1,34.9,25.52,43.88,8.37,64.69,0.0
2,5,0,42.56,14.16,26.27,4.03,48.63,32.09
2,5,1,51.25,5.31,20.75,2.64,54.85,40.0
3,0,0,94.28,0.0,0.0,0.0,0.0,0.0
3,0,1,91.5,0.0,0.0,0.0,0.0,0.0
3,1,0,40.18,87.69,0.0,0.0,0.0,0.0
3,1,1,37.24,87.09,0.0,0.0,0.0,0.0
3,2,0,33.87,78.78,55.8,0.0,0.0,0.0
3,2,1,36.22,68.4,56.53,0.0,0.0,0.0
3,3,0,49.71,62.91,47.58,30.15,0.0,0.0
3,3,1,55.28,52.23,36.42,44.09,0.0,0.0
3,4,0,53.67,63.5,51.4,35.3,12.21,0.0
3,4,1,51.03,56.53,52.86,29.7,32.21,0.0
3,5,0,53.37,57.42,55.21,29.55,20.76,14.9
3,5,1,46.63,57.57,58.44,31.52,20.46,26.25
4,0,0,80.03,0.0,0.0,0.0,0.0,0.0
4,0,1,78.33,0.0,0.0,0.0,0.0,0.0
4,1,0,39.16,89.72,0.0,0.0,0.0,0.0
4,1,1,19.35,95.89,0.0,0.0,0.0,0.0
4,2,0,49.85,58.74,30.18,0.0,0.0,0.0
4,2,1,41.64,60.79,38.44,0.0,0.0,0.0
4,3,0,53.25,59.47,18.32,20.39,0.0,0.0
4,3,1,46.28,54.92,20.42,30.95,0.0,0.0
4,4,0,41.33,36.56,24.77,21.13,34.29,0.0
4,4,1,34.83,42.88,23.42,23.81,41.65,0.0
4,5,0,25.54,31.28,23.87,21.43,21.65,29.53
4,5,1,25.08,38.77,23.57,16.37,15.34,39.33
