task,cycle,task_1,task_2,task_3,task_4,task_5,task_6,average_accuracy,learning_accuracy
0,0,67.17,0.0,0.0,0.0,0.0,0.0,67.17,67.17
0,1,76.63,0.0,0.0,0.0,0.0,0.0,76.63,76.63
0,2,79.88,0.0,0.0,0.0,0.0,0.0,79.88,79.88
0,3,87.28,0.0,0.0,0.0,0.0,0.0,87.28,87.28
0,4,87.58,0.0,0.0,0.0,0.0,0.0,87.58,87.58
1,0,58.35,72.57,0.0,0.0,0.0,0.0,65.46,72.57
1,1,53.57,88.2,0.0,0.0,0.0,0.0,70.89,88.2
1,2,51.05,90.76,0.0,0.0,0.0,0.0,70.9,90.76
1,3,56.08,91.79,0.0,0.0,0.0,0.0,73.94,91.79
1,4,52.48,92.37,0.0,0.0,0.0,0.0,72.42,92.37
2,0,57.64,64.57,50.37,0.0,0.0,0.0,57.53,50.37
2,1,53.45,51.14,71.02,0.0,0.0,0.0,58.54,71.02
2,2,52.81,50.72,74.88,0.0,0.0,0.0,59.47,74.88
2,3,54.01,50.73,78.85,0.0,0.0,0.0,61.2,78.85
2,4,52.86,51.36,80.64,0.0,0.0,0.0,61.62,80.64
3,0,53.17,50.27,43.17,54.46,0.0,0.0,50.27,54.46
3,1,50.37,51.51,44.6,65.93,0.0,0.0,53.1,65.93
3,2,48.11,52.04,37.66,73.63,0.0,0.0,52.86,73.63
3,3,48.51,51.77,41.4,73.24,0.0,0.0,53.73,73.24
3,4,48.62,49.45,40.01,76.52,0.0,0.0,53.65,76.52
4,0,41.02,48.18,39.35,46.54,56.96,0.0,46.41,56.96
4,1,39.97,51.43,39.07,45.07,77.78,0.0,50.66,77.78
4,2,40.29,51.98,39.73,41.67,84.58,0.0,51.65,84.58
4,3,39.92,50.45,40.82,42.81,85.71,0.0,51.94,85.71
4,4,43.2,51.2,45.3,42.88,87.87,0.0,54.09,87.87
5,0,40.15,44.7,33.61,36.32,56.67,48.74,43.36,48.74
5,1,42.57,41.98,37.16,35.36,52.08,64.79,45.66,64.79
5,2,38.86,44.01,34.35,36.57,48.05,74.31,46.02,74.31
5,3,38.56,42.04,35.91,38.65,48.69,78.63,47.08,78.63
5,4,41.1,41.28,38.07,36.94,48.15,81.35,47.82,81.35
