task,cycle,task_1,task_2,task_3,task_4,task_5,task_6,average_accuracy,learning_accuracy
0,0,52.58,0.0,0.0,0.0,0.0,0.0,52.58,52.58
0,1,59.83,0.0,0.0,0.0,0.0,0.0,59.83,59.83
0,2,60.41,0.0,0.0,0.0,0.0,0.0,60.41,60.41
0,3,70.39,0.0,0.0,0.0,0.0,0.0,70.39,70.39
0,4,71.54,0.0,0.0,0.0,0.0,0.0,71.54,71.54
1,0,37.27,66.44,0.0,0.0,0.0,0.0,51.86,66.44
1,1,24.35,84.36,0.0,0.0,0.0,0.0,54.36,84.36
1,2,25.9,88.79,0.0,0.0,0.0,0.0,57.34,88.79
1,3,27.5,90.61,0.0,0.0,0.0,0.0,59.06,90.61
1,4,27.07,91.0,0.0,0.0,0.0,0.0,59.04,91.0
2,0,30.0,55.6,45.33,0.0,0.0,0.0,43.64,45.33
2,1,25.35,42.69,66.95,0.0,0.0,0.0,45.0,66.95
2,2,24.78,44.59,72.88,0.0,0.0,0.0,47.42,72.88
2,3,25.7,44.71,79.91,0.0,0.0,0.0,50.11,79.91
2,4,28.36,44.98,81.71,0.0,0.0,0.0,51.68,81.71
3,0,24.89,39.76,44.46,44.14,0.0,0.0,38.31,44.14
3,1,23.42,38.02,38.25,62.3,0.0,0.0,40.5,62.3
3,2,24.68,41.58,37.14,71.27,0.0,0.0,43.67,71.27
3,3,24.07,39.81,32.95,76.86,0.0,0.0,43.42,76.86
3,4,24.9,41.53,34.17,80.86,0.0,0.0,45.36,80.86
4,0,18.27,41.39,35.39,46.49,62.31,0.0,40.77,62.31
4,1,17.47,37.9,36.1,43.05,76.12,0.0,42.13,76.12
4,2,19.2,38.96,34.85,39.31,82.2,0.0,42.9,82.2
4,3,19.43,38.11,38.21,39.0,84.37,0.0,43.82,84.37
4,4,18.62,39.24,37.13,39.33,88.24,0.0,44.51,88.24
5,0,17.04,37.32,33.41,32.44,55.49,43.81,36.58,43.81
5,1,15.16,35.02,34.11,26.33,50.11,59.42,36.69,59.42
5,2,17.83,34.74,34.71,23.84,43.85,73.36,38.06,73.36
5,3,17.36,34.77,34.83,24.47,41.96,74.66,38.01,74.66
5,4,17.67,33.94,34.92,27.12,43.14,81.11,39.65,81.11
