task,cycle,task_1,task_2,task_3,task_4,task_5,task_6,average_accuracy,learning_accuracy
0,0,52.58,0.0,0.0,0.0,0.0,0.0,52.58,52.58
0,1,59.83,0.0,0.0,0.0,0.0,0.0,59.83,59.83
0,2,60.41,0.0,0.0,0.0,0.0,0.0,60.41,60.41
0,3,70.39,0.0,0.0,0.0,0.0,0.0,70.39,70.39
0,4,71.54,0.0,0.0,0.0,0.0,0.0,71.54,71.54
1,0,46.2,59.97,0.0,0.0,0.0,0.0,53.08,59.97
1,1,28.44,82.54,0.0,0.0,0.0,0.0,55.49,82.54
1,2,28.04,85.64,0.0,0.0,0.0,0.0,56.84,85.64
1,3,27.18,88.94,0.0,0.0,0.0,0.0,58.06,88.94
1,4,28.85,91.27,0.0,0.0,0.0,0.0,60.06,91.27
2,0,31.83,55.53,45.0,0.0,0.0,0.0,44.12,45.0
2,1,26.71,39.36,74.1,0.0,0.0,0.0,46.72,74.1
2,2,26.72,38.54,79.64,0.0,0.0,0.0,48.3,79.64
2,3,26.76,42.1,80.54,0.0,0.0,0.0,49.8,80.54
2,4,29.46,43.37,84.4,0.0,0.0,0.0,52.41,84.4
3,0,25.43,38.33,44.95,47.87,0.0,0.0,39.15,47.87
3,1,24.66,37.16,34.0,72.22,0.0,0.0,42.01,72.22
3,2,22.83,38.05,29.95,75.72,0.0,0.0,41.64,75.72
3,3,20.72,35.22,33.01,81.21,0.0,0.0,42.54,81.21
3,4,22.07,36.11,35.1,83.91,0.0,0.0,44.3,83.91
4,0,21.29,39.62,38.92,43.93,58.48,0.0,40.45,58.48
4,1,17.29,33.84,36.09,35.44,78.52,0.0,40.24,78.52
4,2,16.83,40.79,34.7,36.52,83.58,0.0,42.48,83.58
4,3,17.5,38.89,36.35,35.35,86.77,0.0,42.97,86.77
4,4,18.75,39.09,39.64,34.81,89.82,0.0,44.42,89.82
5,0,22.39,38.74,37.64,32.44,53.1,36.1,36.74,36.1
5,1,19.76,34.54,31.96,29.17,45.99,68.09,38.25,68.09
5,2,21.19,33.1,33.86,28.71,47.31,73.36,39.59,73.36
5,3,20.78,31.9,35.28,29.05,46.17,77.3,40.08,77.3
5,4,20.48,33.58,35.12,31.18,45.63,79.38,40.9,79.38
