task,cycle,task_1,task_2,task_3,task_4,task_5,task_6,average_accuracy,learning_accuracy
0,0,67.17,0.0,0.0,0.0,0.0,0.0,67.17,67.17
0,1,76.63,0.0,0.0,0.0,0.0,0.0,76.63,76.63
0,2,79.88,0.0,0.0,0.0,0.0,0.0,79.88,79.88
0,3,87.28,0.0,0.0,0.0,0.0,0.0,87.28,87.28
0,4,87.58,0.0,0.0,0.0,0.0,0.0,87.58,87.58
1,0,58.35,72.57,0.0,0.0,0.0,0.0,65.46,72.57
1,1,53.57,88.2,0.0,0.0,0.0,0.0,70.89,88.2
1,2,51.05,90.76,0.0,0.0,0.0,0.0,70.9,90.76
1,3,56.08,91.79,0.0,0.0,0.0,0.0,73.94,91.79
1,4,52.48,92.37,0.0,0.0,0.0,0.0,72.42,92.37
2,0,57.64,64.57,50.37,0.0,0.0,0.0,57.53,50.37
2,1,53.45,51.14,71.02,0.0,0.0,0.0,58.54,71.02
2,2,52.81,50.72,74.88,0.0,0.0,0.0,59.47,74.88
2,3,54.01,50.73,78.85,0.0,0.0,0.0,61.2,78.85
2,4,52.86,51.36,80.64,0.0,0.0,0.0,61.62,80.64
3,0,53.17,50.27,43.17,54.46,0.0,0.0,50.27,54.46
3,1,50.37,51.51,44.6,65.93,0.0,0.0,53.1,65.93
3,2,48.11,52.04,37.66,73.63,0.0,0.0,52.86,73.63
3,3,48.51,51.77,41.4,73.24,0.0,0.0,53.73,73.24
3,4,49.03,49.22,40.97,77.97,0.0,0.0,54.3,77.97
4,0,41.58,48.89,40.99,46.38,57.91,0.0,47.15,57.91
4,1,42.18,52.97,38.89,45.13,77.64,0.0,51.36,77.64
4,2,40.79,54.25,39.17,42.76,84.79,0.0,52.35,84.79
4,3,40.18,52.72,41.03,41.97,86.03,0.0,52.39,86.03
4,4,42.96,52.97,45.12,41.67,87.64,0.0,54.07,87.64
5,0,41.03,45.9,34.6,36.66,55.31,47.4,43.48,47.4
5,1,41.74,42.74,38.89,34.93,51.88,67.17,46.22,67.17
5,2,38.47,45.04,36.35,36.76,48.69,76.7,47.0,76.7
5,3,38.41,43.9,36.09,37.84,48.11,79.05,47.23,79.05
5,4,40.37,44.64,37.8,35.92,47.54,82.28,48.09,82.28
